报表日期,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
货币资金,76216.56,100225.17,250784.88,176215.84,131866.75,247239.05,173246.38,138282.78,93394.81,576060.41,511424.35,370416.56,464261.26
交易性金融资产,47258.66,29084.26,43418.68,56895.74,110340.98,1473.92,40977.7,144442.34,153136.99,212533.37,258286.29,315235.89,252368.02
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3705.38,7287.18,1326.46,41.95
应收票据及应收账款,102453.45,147146.77,137996.35,147383.6,0.0,159715.74,170300.98,189916.61,187329.15,199739.69,219925.66,250802.8,300366.55
应收票据,1015.0,882.89,579.58,20.0,172.81,32.48,0.0,0.0,77.12,270.85,675.89,475.66,2146.86
应收账款,101438.45,146263.88,137416.77,147363.6,157422.79,159683.26,170300.98,189916.61,187252.03,199468.84,219249.78,250327.14,298219.69
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,1532.94,2273.49,3903.34,5529.33,5664.78,5192.27,6583.17,6216.34,8576.85,7827.93,9238.02,9456.88,9089.95
其他应收款(合计),74422.64,242364.43,5906.26,6595.69,0.0,2561.66,2043.1,3643.42,3802.27,8932.95,6141.48,3952.14,4273.75
应收利息,32.37,413.31,110.83,14.99,0.0,0.0,0.0,687.53,713.54,129.71,1958.9,292.77,401.05
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,74390.27,241951.11,5795.44,6580.7,3721.45,2561.66,2043.1,2955.89,0.0,8803.24,0.0,3659.37,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,29891.77,25214.78,51127.11,57756.81,66599.14,72693.77,77170.78,84070.71,89222.37,95247.34,98258.94,109235.87,126333.97
划分为持有待售的资产,0.0,1324.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,1188.33,1114.35,980.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,143774.8,88043.23,109705.98,124409.02,37835.12,57803.67,51348.25,173173.46,146320.62,38160.01,38738.79,38823.06,43560.05
流动资产合计,475550.81,635676.84,604030.93,575900.38,514604.38,546680.09,521670.37,739745.65,713008.41,1180660.11,1183767.23,1131493.76,1230429.83
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,20770.93,27803.89,61478.65,65877.34,64070.17,68340.5,72259.35,139612.45,0.0,0.0,0.0,0.0,0.0
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,3319.58,3094.53,2645.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期股权投资,1662.59,4065.03,23163.05,22625.22,27376.75,38308.13,50333.39,69605.84,81329.65,65555.77,86474.74,78666.7,92843.02
投资性房地产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
在建工程(合计),49024.47,93601.3,71221.98,59442.79,0.0,84366.53,104873.06,92978.72,126233.89,152698.34,148911.68,195262.62,197527.98
在建工程,49024.47,93601.3,71221.98,59442.79,102793.64,84366.53,104873.06,92978.72,126233.89,152698.34,0.0,195262.62,0.0
工程物资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产及清理(合计),147548.79,133780.14,197104.11,197630.6,0.0,283355.85,285508.04,312029.71,327749.02,349117.68,367436.49,373788.05,398171.97
固定资产净额,147548.79,133780.14,197104.11,197630.6,258039.51,283355.85,285508.04,312029.71,327749.02,349117.68,0.0,373788.05,0.0
固定资产清理,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7748.9
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
使用权资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68504.37,76872.73,76938.55
无形资产,14110.55,25612.22,31216.9,30831.08,52573.8,42605.14,42265.96,47179.72,54008.98,62649.25,62901.16,77367.99,77148.42
开发支出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
商誉,19289.2,30816.01,32628.62,32498.1,100620.83,95803.79,95100.89,96039.13,114494.47,114407.59,113703.33,124882.79,126259.2
长期待摊费用,22566.07,7621.86,26767.25,44986.32,40999.2,57882.35,57120.14,82392.41,86282.4,103958.24,111693.18,102406.16,128671.56
递延所得税资产,3600.74,6475.82,4557.19,5006.55,23085.48,24415.85,26008.76,26203.57,28738.9,25017.48,23982.23,25378.68,29848.26
