报表日期,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
货币资金,12516.32,17026.49,22765.26,25756.56,117339.56,118079.22,108954.24,102406.25,101100.04,43200.03,48637.34,54003.55,40679.56,136606.28,63840.3,62342.63,54442.64,84879.27,53305.59,53975.3,49674.85,36492.08,52924.19,44919.53,35142.66,88776.03,63157.41,112116.32,114518.79,111525.68,88601.73,108305.8,111475.77
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1686.45,0.0,2278.52,0.0,2105.13,0.0,2524.02,2768.72,1986.36,1794.41,3032.68,3101.48,2406.97,2133.46
应收票据,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收账款,361.65,380.19,985.58,900.33,1090.84,400.05,338.2,656.38,514.72,606.09,346.19,727.53,555.06,419.32,652.01,1470.7,1782.12,1628.75,1619.06,1686.45,2498.85,2278.52,1830.71,2105.13,2627.13,2524.02,2768.72,1986.36,1794.41,3032.68,3101.48,2406.97,2133.46
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,3280.45,15216.55,17307.82,17801.4,18673.2,17094.78,20220.32,20931.68,26541.53,23249.64,21527.54,13216.9,17224.88,14707.68,15254.77,19960.66,52399.0,25381.83,30387.75,30828.77,37396.38,26633.31,27607.46,27796.7,36590.86,26144.99,36260.26,25089.58,26690.37,30897.28,43560.26,37812.03,41838.06
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5862.2,0.0,6692.45,0.0,5908.81,0.0,4334.36,6117.26,5810.26,5782.79,6181.41,6292.02,5859.52,7252.89
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
