报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30
货币资金,261848.31,168170.26,194104.64,198749.27,336705.1,362805.0,388847.29,522982.61,504642.46,558123.96,563183.61,705176.69,582946.83,656849.2,672923.32,1023546.79,929156.13,975338.39,1104449.18,1115078.45,992985.94,1192004.43,959837.6,1087831.3,929078.03,1087069.13,1197782.68,1343823.71,1471554.56,1909261.95,1701101.61,1399981.19,1513103.38,1368101.62,1128597.11,1025449.44,1001103.23,1154805.78,1414964.71,1195505.61,1175994.22,1261292.64,1251948.54,1504846.06,1272694.62,1237703.02,1249432.72,1687102.14,1403164.97,1600554.81,1731320.3,1948990.93,1842699.2,1759747.82,1750214.91,1986399.97,1632813.8,1671125.88
交易性金融资产,21399.18,28948.55,11026.01,9967.45,8232.49,11640.95,12110.85,9664.8,11397.58,13061.07,5115.33,6525.7,5088.03,4339.95,4116.47,4983.52,5244.83,4779.72,4572.28,5180.02,4356.49,3913.86,3859.51,2812.0,2998.86,13175.8,20014.29,2603.71,3603.16,3755.14,5600.09,8630.41,9573.99,6533.3,2522.54,5166.62,6.28,5989.94,10965.08,24106.47,16418.98,6403.33,5033.05,12184.62,14160.43,19200.58,30385.22,27232.64,3032.48,2580.62,1425.89,65843.48,94753.11,55670.27,25000.0,80500.0,140633.53,148192.66
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12926.69,9685.55,21517.4,11241.2,13307.81,6477.55,13259.81,18592.32,13097.17,14758.56
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1774195.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344524.15,1520602.12,1546859.51,1561769.31,1452682.5,1438683.54,1486504.61,1488230.87,1112916.98,981261.53,1137555.22,1458335.22,1040737.46,1233988.53,1410790.56
应收票据,179917.59,214001.86,339361.14,392013.12,330744.91,248679.68,249813.45,206081.45,225105.9,294875.48,434506.12,475755.12,482973.0,539332.16,575976.77,636875.48,703806.03,731223.31,782242.98,907685.91,855016.79,737556.51,804702.35,864584.97,845683.23,806969.03,892967.04,832196.62,788207.69,752321.5,814717.94,887216.19,943621.84,882349.27,687476.15,631790.95,634017.52,510010.77,516466.22,559051.1,577290.09,602575.97,708571.49,537205.97,604665.56,609305.4,543861.72,610163.87,479150.82,430041.15,476744.84,272087.16,168940.22,206641.45,286639.33,175164.64,235237.51,190896.84
应收账款,250084.2,243241.15,245746.31,225877.86,245688.81,293959.91,258255.7,253336.63,294822.0,336084.79,346321.7,299917.6,376052.68,399767.67,365076.07,462436.9,438532.84,494739.37,593995.03,592994.52,599827.67,594144.03,725592.49,653686.71,695617.86,780406.57,762205.33,816235.77,870808.44,854268.02,803638.51,847405.13,778057.6,891846.67,917370.54,803277.72,845398.25,942525.87,796061.66,778856.36,872567.95,907813.4,864302.98,807318.18,915936.56,937554.11,1017907.58,842518.62,959532.72,1056463.46,1011486.03,840829.82,812321.31,930913.76,1171695.89,865572.81,998751.02,1219893.72
预付款项,37486.55,48834.8,59906.42,41402.39,67011.49,64498.2,62039.27,62590.45,60064.44,65434.13,70134.36,56582.85,64632.61,101552.03,86043.31,60501.34,97359.75,111090.53,125952.42,107778.0,130058.18,141688.58,165926.99,127944.51,154151.06,112330.29,80427.72,76794.29,85670.14,99450.46,93071.7,164589.59,137717.77,145846.22,154424.4,170190.24,139217.76,163041.58,170568.65,167723.43,168708.27,189239.01,196667.39,170651.53,182949.26,193479.93,238584.36,209819.24,227097.16,124168.09,146982.45,152836.49,153057.67,158754.21,186386.14,212403.02,183484.79,197623.0
应收利息,0.0,0.0,0.0,51.65,0.0,0.0,0.68,718.16,960.13,1454.05,1070.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.59,354.19,3033.0,2770.97,5226.49,2566.37,5098.18,9273.75,10760.75,12777.4,13774.93,15761.35,12718.52,17259.62,10020.85,8060.5,7148.25,3259.72,3940.26,3810.69,2719.41,3562.12,3536.93,5808.59,3587.8,4775.4,6101.99,12791.41,12948.19,12374.08,13061.7,14942.63,10464.51,8564.37,7888.1,8096.47,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.14,332.14,166.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1068.53,1068.53,1068.53,1068.53,1068.53,1134.67,1068.53,1097.43,1068.53,0.0,0.0,0.0
其他应收款,46590.56,56040.42,126669.71,39721.58,59818.72,52160.35,114461.57,48938.64,51506.92,56079.13,58515.1,34709.04,43982.91,33332.65,35198.68,53821.68,77854.19,75958.77,96479.85,66616.11,59087.8,52360.52,85942.04,48883.54,54839.85,156645.72,175995.76,66142.36,78043.36,61277.78,67248.08,309479.26,325459.73,294116.71,291553.62,51518.61,61578.64,63262.92,57487.44,50616.58,55411.81,62251.2,66974.28,44904.6,39028.04,41855.94,0.0,44465.04,0.0,49289.13,0.0,74574.08,0.0,71641.51,0.0,56796.28,0.0,64066.74
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,513935.23,549208.33,632195.45,658671.84,741054.06,720269.13,664777.79,600782.32,593865.24,605126.43,724277.16,829634.67,955659.89,995166.17,1016009.21,885190.35,957530.9,1056297.1,1139974.6,1004708.54,1154580.38,1135691.93,1224357.64,1255601.33,1378356.78,1322050.36,1385041.21,1254179.26,1188758.87,1196778.91,1214681.7,1191725.63,1289991.93,1376698.61,1284399.43,1174560.22,1129761.67,1124458.33,1158452.36,1204463.84,1419801.96,1430024.9,1410453.36,1485898.66,1562916.52,1575611.83,1584753.56,1411272.39,1472044.62,1562324.22,1498821.9,1593721.4,1645058.5,1848834.05,1801783.69,1765759.64,1863112.68,1903229.81
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
