报表日期,2012-12-31,2013-12-31,2014-12-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
一、营业总收入,39135.1,39770.15,35972.36,16391.61,25413.39,36746.23,4414.63,15166.77,24185.38,34974.42,4531.35,16162.8,25228.43,34766.07,5628.28,15689.35,22520.13,34465.39,3423.03,6336.64,8692.21,14394.24,809.77,5499.08,7782.99,15042.49,1458.79,4364.98,8376.29,20019.13,1052.47
营业收入,39135.1,39770.15,35972.36,16391.61,25413.39,36746.23,4414.63,15166.77,24185.38,34974.42,4531.35,16162.8,25228.43,34766.07,5628.28,15689.35,22520.13,34465.39,3423.03,6336.64,8692.21,14394.24,809.77,5499.08,7782.99,15042.49,1458.79,4364.98,8376.29,20019.13,1052.47
二、营业总成本,33289.24,35074.6,31410.45,14945.43,22805.16,32477.81,4860.92,13873.02,21976.92,31529.31,4880.74,15544.98,24462.9,33528.12,6065.23,15267.26,22238.2,34493.64,3985.09,7646.83,11417.96,18615.02,1913.96,6569.89,9745.58,17635.78,2320.25,5979.48,10431.51,21289.97,2157.98
营业成本,24853.44,26453.13,22987.93,10596.75,16388.21,23718.19,2887.82,9775.73,15775.39,21848.27,2990.44,10781.87,17337.3,23325.85,4052.12,10908.34,15458.17,24325.74,2413.74,4218.04,5811.16,10061.16,468.91,3431.21,5043.18,11237.6,797.48,2797.18,5843.28,14950.94,785.54
营业税金及附加,494.02,369.88,337.44,203.56,222.56,341.32,48.17,143.52,208.62,411.19,58.25,181.82,260.55,364.09,66.42,179.61,268.01,415.1,63.42,136.86,169.68,225.67,49.09,116.68,140.44,214.19,26.5,71.86,106.94,281.43,23.79
销售费用,2273.97,2448.29,2076.72,1115.71,1820.41,2278.51,593.32,1077.55,1581.69,2436.7,523.76,1217.43,1907.36,2555.21,725.92,1378.16,2195.71,2885.49,523.34,1060.75,1593.38,2127.17,377.89,776.03,1286.51,1353.81,309.04,558.11,822.61,1042.62,129.76
管理费用,5008.63,5274.63,5267.27,2927.76,4342.43,5752.61,1500.95,2664.99,4154.44,5549.37,1459.28,3150.81,4616.33,6192.07,1436.08,2845.69,3122.06,4058.52,848.84,1700.78,3118.16,4567.59,849.37,1829.69,2622.37,3847.48,996.96,2112.43,2888.17,3976.47,1081.17
财务费用,89.49,76.67,74.1,40.68,47.28,77.97,-7.15,40.85,75.44,42.03,34.68,123.67,148.8,204.84,20.58,21.55,-82.55,-77.14,21.32,46.22,21.13,54.53,-14.25,-9.05,13.64,100.21,9.29,26.54,1.43,31.6,17.96
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074.69,1502.0,289.08,484.18,704.44,1578.9,182.94,425.32,639.44,882.5,180.98,413.37,769.08,1006.91,119.77
资产减值损失,569.69,452.01,667.0,60.97,-15.74,309.21,-162.2,170.38,181.34,1241.74,-185.66,89.38,192.55,886.07,-235.9,-66.09,202.11,1383.92,-174.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
