报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31
一、营业总收入,38338.47,142683.17,256383.74,386041.42,69683.54,223187.39,343735.73,456873.39,61431.45,251936.82,483040.45,693772.88,126381.87,458036.29,800629.47,1106409.77,221461.0,714299.45,1203389.24,1572816.55,191488.04,638009.71,1109921.22,1461333.96,161314.36,655101.06,1153972.39,1571073.45,214038.46,707076.78,1198980.16,1566473.54,150909.12,511223.09,852139.15,1110824.78,144000.54,525949.17,907595.37,1233515.49,175861.21,654379.99,1139329.08,1528971.41,198767.13,782350.05,2211862.51,3084858.03,500829.25,1607814.48,2625357.86,3450703.2,309974.39
营业收入,38338.47,142683.17,256383.74,386041.42,69683.54,223187.39,343735.73,456873.39,61431.45,251936.82,483040.45,693772.88,126381.87,458036.29,800629.47,1106409.77,221461.0,714299.45,1203389.24,1572816.55,191488.04,638009.71,1109921.22,1461333.96,161314.36,655101.06,1153972.39,1571073.45,214038.46,707076.78,1198980.16,1566473.54,150909.12,511223.09,852139.15,1110824.78,144000.54,525949.17,907595.37,1233515.49,175861.21,654379.99,1139329.08,1528971.41,198767.13,782350.05,2211862.51,3084858.03,500829.25,1607814.48,2625357.86,3450703.2,309974.39
二、营业总成本,42487.94,132993.49,230012.93,350853.31,73028.05,210330.14,315039.79,430549.62,67033.16,229839.74,421655.2,619351.06,130754.28,404548.87,685174.96,965827.2,215739.42,615609.2,1034181.43,1410789.18,223755.56,643070.46,1114128.91,1501244.52,221461.19,695530.23,1173133.03,1596324.58,270248.19,755653.4,1243596.87,1659387.9,229499.44,657281.09,1044131.78,1389037.37,226243.96,622159.84,963374.25,1320327.48,223034.25,657190.76,1101827.16,1517364.95,259743.35,734702.72,1982521.15,2798888.51,503769.29,1346428.41,2145861.19,2891358.08,355503.38
营业成本,31756.19,105152.85,185048.75,282271.68,55640.49,169032.75,256948.45,326136.09,45715.34,172319.64,323906.6,473795.7,95867.37,318515.02,547370.78,755843.45,161310.86,484117.78,815187.64,1089803.29,154241.16,481459.12,842524.54,1115633.9,145237.66,513449.36,871667.21,1170762.44,189603.5,575864.5,953227.62,1238111.9,145256.06,454083.14,728557.49,940603.16,146545.61,453375.46,709314.46,935331.32,138260.65,466567.91,805541.65,1072920.94,146833.94,507527.77,1529090.81,2139787.69,335500.64,1006944.16,1636139.57,2171556.14,210240.38
营业税金及附加,242.22,1139.85,2359.67,3422.49,455.06,1786.22,3086.68,3989.06,322.99,1512.26,3229.59,4780.12,579.29,3213.46,5616.17,7478.09,726.89,4117.62,8257.13,10100.88,593.96,3348.48,6631.39,8833.36,421.85,3713.71,7511.9,9314.58,757.19,3209.27,6067.07,8198.94,715.24,3426.66,4757.6,6397.88,657.82,3151.34,5838.41,14731.95,3676.24,9758.6,16254.36,21556.24,5044.71,14963.5,34623.27,45971.13,10260.16,24572.61,39717.61,53584.17,7241.19
销售费用,3070.75,8465.8,13491.86,19896.12,4115.75,10533.47,15044.19,19965.01,4118.43,9930.14,17760.74,26425.01,6895.62,17017.85,28129.93,40351.76,8185.38,19728.76,33761.0,47886.05,10329.6,25619.42,43164.15,57817.46,11792.17,30280.92,51557.57,68679.01,7967.4,16270.44,28527.6,41923.13,7253.67,17487.96,28775.85,40540.53,7279.81,18971.77,32130.12,45483.54,8494.47,27360.25,45270.71,61916.05,10304.06,25886.53,74283.88,108248.13,22686.64,59205.59,89978.5,125375.47,20395.63
管理费用,3709.73,9141.22,14838.42,24324.4,6739.01,14550.64,20711.94,52616.02,12881.73,32609.72,53046.63,84775.73,17047.01,40715.79,66716.17,106198.32,28029.29,65176.41,109473.67,168516.55,34473.68,76033.94,130912.42,191013.81,35330.83,80007.88,137968.11,197616.02,39923.16,88763.94,147069.71,216195.69,44793.12,109174.13,171971.36,230014.54,40480.68,83331.99,122017.65,167413.86,45243.23,92739.14,144224.83,239605.71,70255.73,130671.14,239258.48,355236.44,101097.69,185089.62,279048.18,415638.51,89432.81
财务费用,3709.05,8613.77,13584.23,20091.41,6077.75,14269.22,19003.23,25070.04,4026.67,12829.89,22022.98,27184.52,10381.13,22786.5,36665.88,54084.15,17525.67,40135.0,64659.17,89278.6,24346.39,54586.12,87949.3,121555.14,29022.45,67103.19,102449.08,141350.94,33216.84,70471.38,107989.81,151972.53,33067.25,71155.13,107116.78,143409.67,31993.29,61835.89,92555.4,125015.25,27352.19,59211.73,88086.94,118041.68,28393.4,57637.23,94580.2,126969.97,31737.07,64191.51,90953.44,118015.86,25736.03
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4756.45,4495.09,3118.27,6424.92,10023.89,7187.91,2457.33
资产减值损失,0.0,480.0,690.0,847.2,0.0,157.85,245.31,2773.4,-32.0,638.09,1688.66,2389.99,-16.15,2300.24,676.03,1871.43,-38.67,2333.64,2842.82,5203.81,-229.23,2023.39,2947.1,6390.86,-343.76,975.17,1979.17,8601.58,-1219.9,1073.88,715.07,2985.71,-1585.91,1954.05,2952.71,28071.59,-713.25,1493.4,1518.21,32351.55,7.48,1553.13,2448.66,3324.33,-1088.48,-1983.45,3149.02,10260.46,58.66,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791.48,-235.11,-2324.57,-2184.82,-2268.8,-314.92,-503.88,2120.49,7453.2,4744.85,19622.65,-45873.55,-15700.05,-14157.24,-20306.34,-12000.12,-12680.32,4561.39,-13818.34,124.12,19925.74,-173.7,-173.7,-727.66,4139.57,971.78,1079.53,1079.53,2338.82,0.0
投资收益,706.11,3051.9,5104.13,1289.83,80.12,460.24,5728.07,13760.51,3906.12,16265.04,29123.06,39153.58,5154.3,14481.26,23404.08,33059.95,-1452.01,4717.18,10942.38,12764.14,-3565.17,8967.29,18629.8,23855.35,-1282.12,6602.51,15033.33,24730.55,-8283.07,-1076.35,2583.12,1590.78,-11388.37,128858.04,125183.79,95113.6,-8830.84,-6987.44,-2728.78,55764.4,-4891.72,-97.65,-1466.54,-20099.27,-4294.94,9622.49,21099.0,6424.25,4504.36,19623.7,27858.24,34596.76,-2069.31
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,1187.37,0.0,0.0,5728.07,13760.51,3906.12,16265.04,29123.06,39157.49,5154.3,14481.26,23404.08,29812.31,-2585.99,3138.67,8961.29,12243.35,-3565.17,8967.29,18629.8,23223.28,-4881.73,6399.55,14830.46,24293.72,-8283.07,-1076.35,2373.17,1374.47,-11399.35,-13244.13,-16920.95,-41593.34,-8830.84,-6987.44,-1841.62,-4962.83,-4891.72,-34.02,6444.44,7201.01,-4297.99,9619.44,19796.75,10190.85,4636.72,20692.36,28924.23,35181.12,-2069.31
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
