报表日期,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
货币资金,2978.6,6563.16,4480.64,9068.92,12407.61,7558.28,62751.44,60360.37,54762.72,54751.37,56525.35,49254.2,46758.78,36402.64,40367.8,36329.21,31703.3,35034.29,31273.1,25206.28,26266.9,27841.77,24463.52,21142.98,18505.01,16398.96,20547.29,16749.6,25302.38,14156.23,18632.06,25664.09,26410.34,31990.36,33676.83,28039.6,22138.36,19253.06,23478.78,18689.9,17572.74,19111.94,16304.15,16010.27
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45832.01,0.0,35338.02,0.0,49765.05,0.0,42106.76,41555.81,46459.3,48072.27,41335.51,39318.32,41184.7,35201.54,48608.04,53150.7,52150.57
应收票据,3107.68,674.56,1400.29,3082.56,2267.68,4311.9,2058.37,3736.95,11033.24,11445.63,4748.59,3612.29,6224.63,7726.7,7369.93,14274.52,14091.96,11803.46,10822.5,13735.43,9947.1,9808.42,9169.16,11022.37,13719.66,14701.64,14879.83,14790.67,13913.5,12172.84,7947.29,16249.46,17521.0,11094.55,5644.29,10488.18,12605.05,8699.84,8296.13,11148.48,7223.87,21022.9,26949.24,26209.31
应收账款,5974.64,4926.71,9154.11,14724.79,15980.72,13945.42,18252.47,19547.88,21256.57,17184.26,21967.55,24668.41,24606.73,24266.53,24470.61,25781.09,24122.49,25823.01,22334.63,24821.89,25727.55,25996.39,28414.56,32803.57,30511.72,28585.59,30165.31,31041.34,28092.96,23165.19,37443.94,33515.59,33032.91,31012.21,35911.52,35971.12,35467.22,32635.67,31022.19,30036.22,27977.67,27585.14,26201.46,25941.26
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879.17,279.37,124.09
预付款项,2126.11,1816.57,1753.56,2824.81,3818.06,2316.77,4412.48,5316.41,4943.49,8278.65,9675.24,10387.88,9182.5,10039.76,12320.04,11391.17,11034.49,10897.77,10807.59,10524.29,12164.55,6170.78,9874.55,6435.53,2804.96,2811.82,4291.37,4376.87,4466.76,2503.31,4152.77,5422.75,5742.66,3709.43,7643.35,4164.82,5531.82,2363.12,2157.13,1993.22,2487.76,1847.73,1429.51,1351.13
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3997.15,0.0,3313.7,0.0,4270.2,0.0,4067.87,5371.59,5081.44,4672.45,3504.94,3420.81,3690.9,1428.34,1313.99,1415.17,997.88
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
