报表日期,2007-12-31,2008-12-31,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
一、营业总收入,6685.03,14185.75,14787.7,20529.04,8534.82,16155.16,25064.5,34608.08,13022.01,28079.76,47674.68,65796.37,27950.82,52818.74,80963.01,106669.21,36423.2,75235.32,116274.32,148224.19,47613.59,93817.0,138499.24,170498.05,57763.98,117704.84,178060.3,226604.3,65592.13,123333.11,191281.72,230911.24,73605.48,148654.27,235022.69,311079.54,106752.88,216966.67,342146.39,435077.56,157107.1,296977.49,438096.91
营业收入,6685.03,14185.75,14787.7,20529.04,8534.82,16155.16,25064.5,34608.08,13022.01,28079.76,47674.68,65796.37,27950.82,52818.74,80963.01,106669.21,36423.2,75235.32,116274.32,148224.19,47613.59,93817.0,138499.24,170498.05,57763.98,117704.84,178060.3,226604.3,65592.13,123333.11,191281.72,230911.24,73605.48,148654.27,235022.69,311079.54,106752.88,216966.67,342146.39,435077.56,157107.1,296977.49,438096.91
二、营业总成本,4899.14,10562.14,9818.1,14392.25,4676.82,9687.49,16428.47,23862.7,8195.2,17642.18,30369.96,44054.31,15449.55,31670.38,52468.28,73496.46,22763.6,47790.66,74202.55,97944.85,27010.39,54062.85,84143.62,115087.35,35154.63,70276.9,112345.81,157701.42,41984.58,84582.97,129514.11,171250.49,41257.57,90903.99,150221.75,236726.93,57634.71,134686.05,222950.21,332233.2,94708.16,197490.52,307998.57
营业成本,3079.42,5632.68,5519.52,7552.79,3167.74,5931.18,8856.87,12297.01,4716.51,10239.66,17161.05,23582.1,9731.91,19143.12,29710.65,39070.12,12943.34,26750.15,41091.59,52327.44,16353.13,31323.67,46838.17,58000.88,20279.82,39034.88,59527.6,76421.08,23361.57,42865.76,66286.66,82207.32,25805.96,49161.91,78106.07,102414.55,34577.75,66835.33,105708.51,140692.17,51493.56,95002.23,143165.17
营业税金及附加,9.45,125.41,142.92,206.51,91.41,177.76,283.45,335.91,148.95,341.02,607.93,743.91,344.98,560.62,858.42,1102.81,420.92,895.11,1455.91,1820.44,768.73,1407.25,1899.22,2198.38,808.91,1548.98,2167.34,2762.9,950.28,1718.12,2616.97,3800.41,885.14,2086.25,3424.48,4570.68,1616.08,3334.27,5176.11,6312.99,2263.59,3296.27,4701.07
销售费用,1083.17,2975.84,2526.66,4580.29,967.46,2355.79,5493.83,8579.32,3162.94,6714.14,11612.62,18085.45,4425.09,9257.22,17966.58,26589.15,6962.22,15412.55,23960.88,31701.72,6054.06,14730.24,25526.45,39704.12,10921.8,23320.3,40189.69,61860.88,13465.74,30952.75,47699.3,63885.14,10993.74,28713.21,53392.54,97326.7,16694.63,49346.52,78703.81,128007.81,30083.56,74391.11,121215.78
管理费用,803.3,1810.48,1462.24,2023.26,438.97,1145.58,1718.31,2760.59,753.08,1875.62,3253.29,5128.48,1543.74,4243.83,6259.58,10095.44,2731.46,6231.88,9817.77,15397.47,4491.39,8375.93,12176.62,17672.6,4070.53,8871.93,14010.84,21339.29,4675.75,10238.52,15038.73,24447.29,4536.4,12601.48,17976.93,30602.55,4843.01,13137.37,20020.54,40091.15,7557.48,18693.03,29290.87
财务费用,-2.37,5.57,14.64,16.66,11.24,17.86,16.7,-151.35,-705.72,-1636.64,-2619.52,-3638.87,-858.8,-1658.4,-2474.13,-3556.72,-768.9,-1638.56,-2489.43,-3438.53,-1087.84,-2062.86,-3231.54,-4386.71,-1489.27,-2886.8,-4272.35,-5124.88,-1093.04,-1635.06,-2972.06,-4310.89,-1470.45,-2353.33,-3611.14,-4622.76,-1214.62,-3017.0,-2708.24,-2120.07,595.68,957.63,1456.44
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6090.65,10348.99,2112.74,5150.26,8169.25
资产减值损失,-73.83,12.17,152.12,12.74,0.0,59.31,59.31,41.21,119.44,108.38,354.6,153.23,262.63,123.99,147.19,195.65,474.55,139.53,365.84,136.33,430.92,288.62,934.72,1898.09,562.85,387.62,722.7,442.14,624.28,442.88,844.5,1221.23,506.78,694.47,932.87,6435.21,1117.86,5049.56,9958.84,8900.17,601.56,0.0,0.0
公允价值变动收益,-6.37,6.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.54,105.79,0.0
投资收益,7.38,-135.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.33,257.3,977.37,3180.48,1517.27,2476.75,3404.99,3922.24,3015.42,12103.38,12103.38,12586.78,200.87,962.49,2373.67,4798.23,675.44,933.43,1868.26
