报表日期,2007-12-31,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资收益,0.0,0.0,6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4,17.26,94.75,100.73,100.73,0.0,0.0,0.0,-0.24,0.0,-4.87,-17.96,272.77,0.0,681.42,1052.76,1993.48,464.25,471.0,652.96,1318.26,10.87,-8.93,-8.93,-126.34,368.84,639.74,1066.3,2276.64,968.95,1258.38,1967.56,2504.62,481.39,-436.16,-305.86,-3119.54,-342.42
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,-21.01,0.0,0.0,-8.08,260.86,0.0,0.0,0.0,-171.51,0.0,0.0,0.0,-140.16,0.0,0.0,0.0,-208.91,0.0,0.0,170.46,-477.01,-54.19,-1394.75,-1700.82,-4695.63,-629.27
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,7615.14,9524.63,12352.71,4326.0,10175.29,15853.15,24570.28,10198.41,20910.57,29941.74,41272.02,12320.65,22847.55,33189.99,46677.36,14606.97,29403.55,50510.18,72979.35,23727.53,46349.21,70289.78,96776.39,29788.94,57460.49,86948.03,120718.57,36961.01,72706.55,108879.33,147847.78,41665.05,81075.41,121385.76,163084.8,44224.33,84720.29,127419.38,171462.27,49494.19,93713.83,135744.75,171996.18,39095.92,73440.06,84710.29,84608.13,18180.93
加:营业外收入,47.39,153.38,396.9,14.62,136.72,299.82,454.67,104.76,106.99,135.33,410.48,65.58,128.39,203.2,879.74,160.78,1289.16,1715.93,2512.37,164.73,341.63,507.32,2091.57,224.18,676.54,995.32,1271.32,167.66,506.31,921.54,1454.4,903.83,1415.6,1788.26,2780.83,703.06,1731.51,2441.85,2060.63,2.1,3.55,128.72,693.7,1.4,2503.45,2505.78,2520.97,28.74
减：营业外支出,3.54,75.46,86.43,0.0,0.07,0.09,89.71,0.0,232.93,233.65,133.71,11.01,33.97,43.65,101.08,1.52,105.12,119.2,462.88,0.02,79.29,267.23,1224.53,24.58,125.89,235.0,253.6,3.07,95.33,96.82,153.37,327.83,452.44,540.26,818.11,60.17,294.31,753.58,1990.64,262.45,689.79,937.74,2065.31,583.08,1183.87,1858.2,1994.51,270.12
其中：非流动资产处置损失,0.0,10.95,10.95,0.0,0.0,0.0,88.6,0.0,0.0,0.0,0.94,0.0,8.0,0.0,60.07,0.0,0.0,0.0,31.25,0.0,0.0,185.64,639.44,0.0,62.12,84.97,72.98,0.15,19.94,21.43,27.91,31.22,133.88,155.43,242.12,0.44,25.21,42.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,7658.99,9602.55,12663.18,4340.62,10311.93,16152.88,24935.23,10303.18,20784.62,29843.42,41548.79,12375.22,22941.97,33349.54,47456.01,14766.23,30587.59,52106.91,75028.84,23892.24,46611.54,70529.87,97643.43,29988.54,58011.15,87708.35,121736.3,37125.61,73117.53,109704.06,149148.81,42241.05,82038.58,122633.75,165047.52,44867.22,86157.49,129107.65,171532.26,49233.84,93027.59,134935.74,170624.57,38514.24,74759.63,85357.87,85134.59,17939.56
减：所得税费用,345.21,933.17,969.0,431.34,1548.05,2435.48,3367.33,1544.01,3045.75,4412.69,5997.82,1800.42,3355.65,4708.06,6911.16,2161.61,5372.37,8583.51,11473.63,3679.5,7260.48,11117.84,14317.38,4399.9,8142.65,12503.58,17397.88,5699.78,11076.22,16942.64,22181.44,6480.01,12787.0,19026.34,26043.65,7599.57,13816.63,20741.88,27844.22,8087.95,14214.5,20203.45,25166.48,6512.63,11738.02,16306.31,16950.51,3017.57
五、净利润,7313.77,8669.38,11694.18,3909.28,8763.89,13717.4,21567.9,8759.17,17738.88,25430.72,35550.97,10574.8,19586.32,28641.49,40544.85,12604.61,25215.23,43523.4,63555.2,20212.74,39351.07,59412.03,83326.04,25588.64,49868.5,75204.77,104338.42,31425.83,62041.32,92761.42,126967.37,35761.04,69251.58,103607.41,139003.88,37267.65,72340.86,108365.77,143688.05,41145.89,78813.09,114732.29,145458.09,32001.61,63021.61,69051.56,68184.08,14921.99
归属于母公司所有者的净利润,7313.77,8669.38,11694.18,3909.28,8765.21,13720.67,21574.71,8768.84,17736.53,25422.54,35531.43,10567.18,19574.02,28620.18,40524.94,12601.68,25207.95,43502.36,63516.75,20192.25,39283.69,59264.56,83041.66,25416.13,49525.57,75139.66,104229.71,31357.48,61907.83,92591.32,126592.0,35783.5,69434.62,103957.83,139641.42,37642.37,73041.28,109404.55,145188.73,41532.17,78969.01,115000.74,145822.33,32158.99,63256.4,71694.33,71520.11,15009.06
少数股东损益,0.0,0.0,0.0,0.0,-1.32,-3.28,-6.8,-9.67,2.35,8.18,19.54,7.61,12.3,21.3,19.91,2.94,7.28,21.04,38.45,20.49,67.38,147.47,284.39,172.51,342.92,65.11,108.71,68.35,133.48,170.1,375.37,-22.47,-183.03,-350.42,-637.54,-374.72,-700.42,-1038.77,-1500.68,-386.28,-155.92,-268.45,-364.24,-157.38,-234.79,-2642.77,-3336.03,-87.07
基本每股收益(元/股),0.86,1.02,1.38,0.46,1.03,1.21,2.34,0.77,0.78,1.12,1.57,0.47,0.54,0.79,1.12,0.35,0.58,1.0,1.46,0.46,0.6,0.91,1.27,0.39,0.76,1.15,1.59,0.48,0.59,0.89,1.21,0.34,0.66,0.99,1.33,0.36,0.7,1.05,1.39,0.4,0.75,1.1,1.39,0.31,0.6,0.69,0.68,0.14
稀释每股收益(元/股),0.86,1.02,1.38,0.46,1.03,1.21,2.34,0.77,0.78,1.12,1.57,0.47,0.54,0.79,1.12,0.35,0.58,1.0,1.46,0.46,0.6,0.91,1.27,0.39,0.76,1.15,1.59,0.48,0.59,0.89,1.21,0.34,0.66,0.99,1.33,0.36,0.7,1.05,1.39,0.4,0.75,1.1,1.39,0.31,0.6,0.69,0.68,0.14
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,0.16,-2.34,-2.37,-4.1,4.36,-0.92,0.31,2.16,-1.13,-1.09,-4.24,16.09,104.55,69.34,236.25,191.72,-72.39,-15.82,-15.6,200.69,-73.55,-354.35,-561.86,-621.84,-322.33,-163.1,429.86,331.33,-5.72,41.61,323.33,1599.18,759.13
八、综合收益总额,7313.77,8669.38,11694.18,3909.28,8763.89,13717.4,21567.9,8759.17,17738.88,25430.72,35550.97,10574.8,19586.32,28641.49,40544.7,12604.77,25212.88,43521.03,63551.11,20217.1,39350.15,59412.34,83328.21,25587.51,49867.4,75200.54,104354.51,31530.38,62110.66,92997.67,127159.09,35688.64,69235.76,103591.81,139204.57,37194.1,71986.51,107803.92,143066.21,40823.57,78649.99,115162.15,145789.41,31995.88,63063.23,69374.89,69783.25,15681.12
归属于母公司所有者的综合收益总额,7313.77,8669.38,11694.18,3909.28,8765.21,13720.67,21574.71,8768.84,17736.53,25422.54,35531.43,10567.18,19574.02,28620.18,40524.79,12601.84,25205.6,43499.99,63512.66,20196.61,39282.77,59264.88,83043.82,25415.0,49524.48,75135.42,104245.8,31462.03,61977.17,92827.57,126783.72,35711.11,69418.79,103942.23,139842.1,37568.82,72686.93,108842.69,144566.89,41209.85,78805.91,115430.6,146153.65,32153.27,63298.01,72017.66,73119.28,15768.19
归属于少数股东的综合收益总额,0.0,0.0,0.0,0.0,-1.32,-3.28,-6.8,-9.67,2.35,8.18,19.54,7.61,12.3,21.3,19.91,2.94,7.28,21.04,38.45,20.49,67.38,147.47,284.39,172.51,342.92,65.11,108.71,68.35,133.48,170.1,375.37,-22.47,-183.03,-350.42,-637.54,-374.72,-700.42,-1038.77,-1500.68,-386.28,-155.92,-268.45,-364.24,-157.38,-234.79,-2642.77,-3336.03,-87.07
