报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
货币资金,111264.64,63006.0,48858.99,61414.25,67068.99,105714.38,91265.41,55282.04,72831.06,59779.06,101174.95,64059.16,81501.22,69477.68,76345.91,69779.19,48845.91,99376.37,109624.79,214370.08,248446.49,283401.34,269258.77,298217.52,307180.69,224962.42,296735.41,313055.76,297062.54,360664.47,350399.48,329569.57,307561.06,361088.79,446384.33,372696.68,420635.52,301289.53,381750.74,313410.17,322032.95,458552.79,235681.97,307052.13,415601.06,507753.99,485803.74,545087.07,355646.77,371864.32,567420.58,577717.96,1040961.79,1013630.23,1038326.99,879926.44,1167488.64,1167480.09,1270240.07,1486908.09,1394717.39,1227319.86,1177179.99
交易性金融资产,465.35,9518.38,1153.69,3925.01,2695.72,1865.71,1103.8,712.72,871.18,1464.85,1312.38,5312.11,1416.23,3824.18,3338.2,2030.46,4225.21,3164.52,2737.7,2461.03,2316.97,2533.16,8454.58,2551.03,3520.93,3313.25,89850.1,27779.8,16070.45,10020.18,46002.84,5811.61,2699.1,2767.49,4231.87,2681.31,4668.97,3904.76,547.06,1082.0,650.39,360.14,647.45,552.56,747.31,820.89,728.39,512.19,720.75,1217.15,1055.05,459.43,610.19,542.06,3205.6,219.68,1367.98,2207.61,3760.68,2053.59,5827.83,8690.58,10866.7
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55863.24,81358.48,78093.01,97637.59,63168.93,95729.0,116352.65,120091.33,95814.14,127274.07,109737.77,122251.12,89045.7,139396.35,156807.51,174142.22,115629.38,179666.52,165456.49,185100.41
应收票据,843.49,139.72,165.8,765.42,350.96,237.83,54.78,177.53,55.0,55.4,69.85,55.78,120.01,1378.92,1023.02,817.96,534.26,650.5,560.36,3116.45,1995.03,1552.96,2555.05,4265.2,3917.41,2878.63,3998.34,5773.6,4641.2,3985.46,5292.2,6192.68,4809.68,3834.98,1105.91,1598.01,3198.15,4930.11,4563.4,5101.48,5856.75,2927.32,3578.71,3315.87,4673.78,5442.14,3431.34,6415.12,3257.72,2327.33,6817.14,6409.13,1899.9,1564.9,1421.9,2511.6,4631.01,6350.69,5879.59,8122.85,6592.75,8591.08,14271.35
应收账款,10058.99,10324.55,11353.35,10438.6,12961.77,14439.05,17200.48,10955.35,13079.95,15394.14,16214.93,10800.89,15413.15,18088.98,20916.8,15999.85,24223.9,30662.92,32272.87,66688.14,67857.61,72522.23,74484.83,56800.24,67790.78,84804.57,85215.62,50279.74,74025.75,90037.79,82063.74,43422.81,60047.67,65112.99,63376.7,38703.7,60166.61,61085.57,74531.72,48284.68,68305.73,80665.8,88997.98,52547.37,76684.69,72650.87,94206.25,56753.81,92471.28,114025.31,113274.19,89405.02,125374.17,108172.87,120829.22,86534.1,134765.34,150456.83,168262.63,107506.53,173073.77,156865.4,170829.05
预付款项,7793.24,16706.67,10820.74,15370.18,15556.67,17623.82,13672.5,11151.05,14175.77,8983.84,12564.43,10589.13,11681.96,12349.48,9925.07,19547.87,22948.71,21094.07,17181.74,65117.64,53223.97,79859.2,92319.28,62235.46,81845.54,93621.0,99528.78,86239.79,98939.31,101333.13,138005.04,61959.05,78991.36,72500.65,48898.68,26590.33,47124.7,52404.6,56147.81,32656.16,47249.12,42531.13,48009.28,38602.65,85353.96,75511.06,81859.91,48265.35,57351.8,77252.44,102407.48,64425.26,91296.51,141523.68,253809.36,314670.36,492969.05,474643.27,238191.49,213873.63,278613.95,297699.33,321922.87
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.98,2.23,15.45,15.45,40.49,17.89,34.67,17.89,91.83,91.49,80.88,61.76,54.09,93.43,100.35,74.9,99.96,123.22,148.35,93.78,634.14,683.45,1101.91,316.83,203.35,358.75,518.79,531.36,241.79,1250.67,2138.16,0.0,1647.53,2358.92,2917.77,4531.01,5273.51,7722.87,2675.39,3229.41,2884.12,1423.28,4699.42,7084.36,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.66,141.66,0.0,0.0,141.65,141.65,283.3,141.65,0.0,141.65,141.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20380.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.25,25620.75,481.25,177.01,177.01,13894.95,0.0,249.01,249.01,63326.3,249.01,0.0,0.0,67648.11,0.0,0.0,0.0,8410.5,600.0,600.0,600.0,600.0,600.0
其他应收款,20151.63,7574.81,11019.3,7964.0,6448.64,8315.93,8160.99,4866.69,7232.96,5071.6,5165.02,4093.06,4878.08,5726.46,4292.13,4181.96,4783.43,4427.24,4721.83,36203.46,42720.82,40532.52,42820.47,36900.39,44808.43,47890.55,47339.31,46593.32,42978.32,50842.53,51830.99,52277.51,58295.52,65206.89,67222.68,51828.99,51343.4,64032.85,55660.74,48146.72,57694.51,66496.02,69669.72,75295.45,85901.61,54592.84,56152.21,41515.23,0.0,37455.28,0.0,29377.33,0.0,28907.17,0.0,43550.92,0.0,50796.08,0.0,52236.16,0.0,76386.94,0.0
