报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31
货币资金,38382.43,27861.46,34597.33,39992.91,41872.76,73898.03,121021.15,82836.15,72358.04,76488.49,54253.49,66171.65,224552.65,197507.6,225222.63,229472.52,240175.96,244306.53,286768.38,287065.63,295646.45,229852.22,241829.98,236852.0,246278.71,187119.77,218881.66,266471.06,263631.69,271203.91,250345.38,274603.37,249540.24,242719.23,222717.29,222844.18,193906.69,209320.68,260011.68,200704.23,226482.16,257758.51,250781.08,735849.02,262357.66,245262.36,262014.67,261140.95,260443.8,428977.03,368750.68,342248.02,401121.67,546513.59,539467.37,492765.72,642018.3,641261.29,634044.02,595290.96,610831.98,659001.29,714155.76,534385.2,586451.92
交易性金融资产,0.0,0.0,0.0,0.0,0.0,4001.15,290.0,0.0,0.0,0.0,18.44,26.83,9.59,51.17,215.14,199.59,45.55,93.3,29.27,39.06,65.97,0.0,17.68,242.1,105.06,0.0,158.46,365.48,0.0,0.0,1302.15,0.0,303.01,465.65,72.16,125.59,107.3,0.0,5.36,9.56,0.0,0.0,0.0,0.0,0.0,0.0,8.44,0.0,0.0,0.0,0.0,140000.0,110000.0,10192.92,10435.08,85222.8,92000.0,132642.62,125741.61,125073.64,90827.63,66955.55,40000.0,72031.46,34000.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197709.71,288051.5,188567.53,190479.13,210086.82,199513.44,201704.38,196665.3,185328.28,242053.82,241816.53,228345.08,226299.53,283953.4,296384.94,280718.47,310431.39,358839.62,340101.9,275495.32,284891.09,277338.43
应收票据,293.75,179.49,367.87,655.01,1199.76,1674.66,605.42,1342.62,2417.89,2878.05,3318.53,1910.83,3980.72,4665.68,6326.69,9607.63,9804.0,9830.79,10271.88,5293.04,9030.93,4600.96,11429.93,15338.93,17144.91,18090.76,17826.55,21345.42,23099.81,17762.57,10278.55,8873.05,10772.7,11394.73,10420.26,11915.59,11284.56,10397.45,15216.11,16795.26,26346.24,20385.15,28133.85,28895.46,29261.91,17358.04,31970.6,39387.22,31663.68,40525.2,42020.28,29189.16,34110.69,35144.2,39761.75,33206.44,33444.78,46097.34,45699.97,34914.53,32957.96,33914.34,36426.15,37264.18,29009.68
应收账款,36970.39,37224.24,38914.87,37277.38,79628.64,86889.8,71040.97,52685.74,57668.51,60003.55,64882.11,68395.66,66875.01,64503.97,61914.81,66997.03,71259.52,81113.06,63169.69,63878.02,65969.02,68360.68,60682.73,71209.85,75901.97,84018.97,65683.04,85680.56,80361.72,86374.81,73702.06,83407.14,77796.38,77554.5,75088.52,72650.92,77855.5,95088.69,88879.78,88230.05,85191.81,97682.64,97941.17,168814.25,258789.6,171209.49,158508.53,170699.6,167849.76,161179.18,154645.02,156139.11,207943.13,206672.33,188583.33,193093.09,250508.61,250287.61,235018.51,275516.86,325881.66,306187.56,239069.18,247626.9,248328.75
预付款项,292.82,1462.05,1608.17,2689.44,2744.61,2327.71,3083.18,10737.92,9017.42,4183.48,4044.5,3633.36,21244.44,6369.47,5971.95,5508.12,9319.94,9920.48,11330.06,7639.93,12052.27,12717.86,15269.41,3879.61,4902.32,4810.92,4961.35,2212.15,2792.29,1350.44,1828.49,336.81,857.73,1230.14,1518.05,1432.07,2052.75,1893.28,4768.4,1401.29,2531.43,2830.69,3203.39,2694.77,5478.68,3876.59,4261.21,3406.88,4297.11,5133.85,4424.81,5317.03,6241.77,3840.64,7417.0,11606.36,14800.57,16247.47,17716.04,7897.0,10940.74,12329.12,20740.88,22233.68,16788.13
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2174.0,2174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.93,0.0,0.0,0.0,2073.6,0.0
其他应收款,1099.32,2395.05,2636.84,4130.28,4097.04,5294.41,4111.15,4181.54,3703.03,4199.2,5661.59,4858.14,4796.17,3233.2,3149.18,4159.09,4733.68,4111.38,3256.73,4112.45,2690.0,4910.37,17814.07,5471.01,5250.64,11971.07,12227.66,10360.1,10733.14,10576.51,10493.82,12110.09,9756.4,9667.28,7452.71,7527.68,7922.06,10158.01,7102.25,25511.12,19189.14,17638.25,17169.81,25645.77,22263.29,19317.46,17120.92,16460.9,0.0,16321.94,0.0,19559.66,0.0,22936.27,0.0,17861.1,0.0,21082.8,0.0,24733.8,0.0,24786.37,0.0,24883.16,0.0
