报表日期,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
资本公积,2.38,352.38,982.81,982.81,982.81,982.81,15781.67,13333.55,13333.55,14822.61,15053.09,15283.57,11407.63,11608.68,11707.33,11783.21
减：库存股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1486.13,1486.13,1486.13,1679.99,947.57,947.57,938.52
其他综合收益,-2.32,-12.08,-10.95,3.51,10.52,25.65,23.79,17.65,10.88,5.83,0.0,0.0,0.0,0.0,0.0,0.0
专项储备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
盈余公积,227.1,433.92,369.09,751.59,751.59,1200.82,1200.82,1200.82,1200.82,1781.32,1781.32,1781.32,1781.32,2331.12,2331.12,2329.59
一般风险准备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未分配利润,2775.06,4507.92,2993.47,5089.6,6189.59,8232.11,8863.63,9411.92,11683.01,12356.61,13055.82,14714.53,14808.11,15504.65,16230.63,17382.03
归属于母公司股东权益合计,5002.22,7382.15,10484.42,12977.5,14084.5,16591.39,34069.91,34623.95,36888.27,38214.14,39137.99,41027.18,41361.89,43541.7,44366.33,45599.87
少数股东权益,0.0,0.0,128.33,20.2,-94.24,-116.62,-130.61,-130.39,-119.29,-146.4,-168.7,-148.21,-133.53,-188.39,-258.06,-8.11
所有者权益(或股东权益)合计,5002.22,7382.15,10612.75,12997.71,13990.26,16474.77,33939.31,34493.56,36768.98,38067.74,38969.29,40878.97,41228.36,43353.31,44108.27,45591.76
负债和所有者权益(或股东权益)总计,16345.34,18821.25,27452.91,32539.96,32986.82,40168.93,51815.27,53269.28,62705.83,60829.63,60037.66,62764.96,62074.87,65906.66,62617.07,62843.02
