报表日期,2009-12-31,2010-12-31,2011-12-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
一、营业总收入,42871.54,44451.77,113426.95,96244.84,149083.64,29956.58,74890.89,117492.62,204440.28,44906.5,107823.29,174373.25,260476.34,49990.0,112472.65,194620.57,300347.47,91222.7,228430.46,390015.52,560590.7,196784.47,423065.57,715713.89,1004241.59,275552.68,551295.48,918143.01,1338815.77,304810.93,715986.47,1173328.87,2022133.25,806994.28,2103285.46
营业收入,42871.54,44451.77,113426.95,96244.84,149083.64,29956.58,74890.89,117492.62,204440.28,44906.5,107823.29,174373.25,260476.34,49990.0,112472.65,194620.57,300347.47,91222.7,228430.46,390015.52,560590.7,196784.47,423065.57,715713.89,1004241.59,275552.68,551295.48,918143.01,1338815.77,304810.93,715986.47,1173328.87,2022133.25,806994.28,2103285.46
二、营业总成本,34495.62,38536.68,78832.57,0.0,119058.76,27291.45,69232.59,0.0,178468.44,51524.05,117564.84,176316.85,258577.78,53885.53,111062.8,171337.07,249937.59,56172.26,125590.49,220355.74,338602.48,130478.11,311055.55,546011.21,787114.64,269328.54,575130.97,907131.91,1328044.54,373572.46,756878.05,1063505.42,1441971.06,359932.18,952704.55
营业成本,31002.16,34713.26,69717.55,0.0,107236.83,24370.38,63052.68,0.0,163929.77,46678.5,108305.8,162585.75,240329.33,48737.46,100424.42,154709.24,226391.36,49199.74,111086.53,197316.92,304444.32,117154.37,277711.3,491060.17,704899.39,239549.51,516288.68,819079.65,1207404.5,335977.0,686743.83,953398.88,1295114.05,286251.78,790902.79
营业税金及附加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.79,546.8,762.97,1131.49,1656.39,544.02,1024.69,1462.99,2178.33,598.31,1086.06,1605.9,2743.15,1072.47,2235.89
销售费用,141.62,191.24,530.43,0.0,562.67,143.56,292.06,0.0,645.68,188.51,310.24,422.68,529.04,114.27,274.04,435.72,620.13,177.4,454.46,869.45,1356.32,765.37,1552.13,2792.7,3884.93,1119.93,2275.74,3644.86,5413.97,2252.52,4788.79,7407.54,11074.57,4344.44,9586.44
管理费用,1958.01,2154.42,4503.64,0.0,6184.35,1498.58,3044.19,0.0,6288.85,1633.98,3641.44,5408.24,7410.09,1985.06,4279.26,6684.35,10174.84,3141.75,6712.84,10528.91,14953.97,5361.49,17219.25,29722.25,45423.48,16527.42,31006.9,37077.26,50033.66,15048.83,27993.61,46296.98,69133.92,52934.55,107043.79
财务费用,1354.24,1515.15,4128.22,0.0,5091.91,1278.93,2844.28,0.0,7604.83,3020.54,5307.78,7899.67,10309.75,3044.02,6084.94,9506.9,12749.98,3648.59,7331.08,11611.12,17223.55,6640.03,13794.45,21258.03,31204.86,11580.42,24530.38,39280.37,53826.85,17726.31,32384.56,47903.73,52753.72,12076.49,27837.9
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6526.1,9121.12,1790.73,3881.2,6892.39,11151.65,3252.45,15097.74
资产减值损失,39.6,-37.38,-47.27,0.0,-17.0,0.0,-0.62,0.0,-0.69,2.53,-0.42,0.52,-0.42,4.71,0.14,0.87,1.27,4.79,5.57,29.34,0.53,10.04,15.45,46.58,45.59,7.25,4.57,60.66,66.11,178.76,0.0,0.0,0.0,0.0,0.0
