报表日期,2014-12-31,2015-12-31,2016-12-31,2017-06-30,2017-12-31,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
货币资金,11879.07,11403.94,41855.41,66586.13,41800.74,81679.8,85573.91,116871.25,154454.54,97032.42,163801.31,126364.91
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,19302.11,7796.22,14020.54,30363.65,19126.44,23491.86,31686.95,26030.22,15548.28,22958.0
应收票据,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收账款,4117.29,6950.21,0.0,7796.22,14020.54,30363.65,19126.44,23491.86,31686.95,26030.22,15548.28,22958.0
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,318.66,2627.93,4906.02,7091.18,6857.96,4803.85,4434.42,6541.4,7311.33,7440.52,5366.24,12025.14
其他应收款(合计),0.0,0.0,1063.16,1557.24,2040.95,2659.42,3235.16,3147.72,3353.76,4108.53,5942.88,5753.51
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,342.95,453.04,0.0,1557.24,2040.95,2659.42,0.0,3147.72,0.0,4108.53,0.0,5753.51
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,34858.72,65838.9,116800.08,38145.72,108754.53,123971.6,52229.55,48542.07,116501.32,247964.49,80343.03,75277.93
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,51.05,91.64,0.0,367.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,5063.79,6284.69,5417.5,816.34,5408.88,4349.98,22736.72,2249.33,5782.33,25960.5,8958.12,13228.67
流动资产合计,56631.52,93650.34,189344.28,122360.69,178883.6,247828.3,187336.2,200843.63,319090.23,408536.67,299959.86,255608.15
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期股权投资,0.0,0.0,200.0,398.97,395.38,404.27,425.59,459.09,496.05,580.57,457.26,466.78
投资性房地产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
在建工程(合计),0.0,0.0,1207.36,950.77,1921.73,18824.55,21221.19,25488.61,13526.02,16342.82,17453.06,18556.94
在建工程,845.27,2452.95,0.0,950.77,1921.73,18824.55,0.0,25488.61,0.0,16342.82,0.0,18556.94
工程物资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产及清理(合计),0.0,0.0,17201.59,19764.37,26610.48,25531.35,24475.28,23841.15,35030.61,39554.27,40912.05,39564.74
固定资产净额,4716.78,8852.86,17201.59,19764.37,26610.48,25531.35,0.0,23841.15,0.0,39554.27,0.0,39564.74
固定资产清理,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
使用权资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
无形资产,1115.86,1931.4,4067.57,6558.14,6446.3,11407.37,11333.24,11288.48,11224.52,11637.37,11102.69,11088.02
开发支出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.49
商誉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期待摊费用,69.23,135.84,574.09,221.64,2981.23,2936.48,2870.72,3339.63,3794.45,4261.2,3783.4,4615.69
递延所得税资产,248.34,164.84,229.36,347.9,724.15,1171.17,1141.76,1206.97,1168.87,1414.86,1301.66,1602.82
其他非流动资产,1568.58,465.55,380.33,399.43,256.88,1545.93,1774.43,1575.96,1845.61,1837.11,132.85,1664.58
非流动资产合计,8564.06,14003.44,23860.31,28641.21,39336.15,61821.1,63242.22,67199.89,67086.13,75628.2,75142.96,78140.07
资产总计,65195.58,107653.78,213204.59,151001.9,218219.75,309649.4,250578.42,268043.52,386176.36,484164.88,375102.83,333748.23
短期借款,2186.37,11500.0,15800.0,0.0,0.0,0.0,0.0,0.0,0.0,14525.0,0.0,0.0
交易性金融负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付票据及应付账款,0.0,0.0,89361.3,34708.01,89733.81,133938.42,53931.72,68582.84,126246.95,178864.56,92698.77,61235.57
应付票据,8137.11,4300.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0
应付账款,37706.74,53180.01,0.0,34708.01,89733.81,133938.42,53931.72,68582.84,126246.95,178864.56,67698.77,61235.57
预收款项,1.02,295.67,2391.59,199.84,987.02,4970.1,917.69,1522.05,2410.86,23275.32,4354.83,5691.31
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,694.52,1583.9,2824.45,2062.3,3585.8,4559.94,3968.19,4829.57,3608.44,7913.68,6630.36,4800.42
应交税费,25.73,65.33,4339.36,5514.51,1158.21,3321.25,10380.33,7344.64,7221.31,1914.56,8104.95,4075.23
其他应付款(合计),0.0,0.0,11846.64,7612.62,14343.28,23165.13,16947.36,19511.7,23079.24,39402.5,26320.12,28957.25
应付利息,0.4,14.38,0.0,235.53,85.58,85.0,0.0,235.83,8.33,0.0,0.0,0.0
应付股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应付款,3339.26,5794.97,0.0,7377.1,14257.7,23080.13,0.0,19275.86,0.0,39402.5,0.0,28957.25
预提费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,185.83,262.0
其他流动负债,4.74,4.74,4.74,35.83,129.16,214.95,0.0,0.0,0.0,0.0,0.0,0.0
流动负债合计,52095.89,76739.34,126568.08,50133.11,109937.27,170169.79,86145.29,101790.8,162566.79,265980.62,138294.87,105021.78
长期借款,0.0,0.0,25400.0,25400.0,25400.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
应付债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
