报表日期,2007-03-31,2007-06-30,2007-12-31,2008-03-31,2008-06-30,2008-12-31,2009-06-30,2009-12-31,2010-06-30,2010-12-31,2011-06-30,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-12-31,2016-06-30,2016-12-31,2017-03-31,2017-06-30,2017-12-31,2018-06-30,2018-12-31,2019-06-30,2019-09-30
货币资金,0.0,721748.7,1612189.22,0.0,717324.29,708535.46,865511.78,1233975.1,1067061.99,876094.06,820985.57,755101.66,607942.37,712579.03,628084.75,774263.45,881385.35,1819220.28,3183242.36,1597477.02,1881278.23,862553.53,1702439.11,1459332.8,1027037.99,1239474.56,1142392.86,1752446.78,1663289.02
其中：客户资金存款,0.0,674732.4,1518069.68,0.0,675429.07,664988.42,747656.1,1172873.26,1009929.07,810139.91,811433.41,628052.61,573801.14,584430.26,522745.29,591245.83,763133.51,1657619.31,2745535.75,1471721.65,1554939.11,708918.08,1364559.59,0.0,880295.67,1071057.18,1036119.25,1574851.86,1532660.34
结算备付金,0.0,396033.79,165129.68,0.0,87092.29,43732.32,65240.67,86059.12,74435.11,364399.23,73188.79,81859.16,64303.5,118529.44,94211.35,101450.5,753639.76,204087.08,338332.35,707767.55,372512.84,882144.71,321174.67,258829.19,486756.32,240687.64,404045.68,227394.27,340167.11
其中：客户备付金,0.0,368413.28,157989.75,0.0,68891.61,40106.75,39572.24,82527.46,68203.56,357402.76,64164.73,72146.8,55531.05,108811.51,78206.57,87154.46,708420.75,175356.84,288544.6,680476.15,347240.86,855952.22,0.0,0.0,465769.69,224402.61,389213.49,198574.76,308373.99
融出资金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114077.82,197370.09,213005.55,877630.58,1196617.85,1664395.99,1054556.05,758527.7,851360.57,810779.28,740658.87,850828.32,737046.48,611531.32,798100.71,803981.86
交易性金融资产,0.0,0.0,161475.13,0.0,263396.91,377565.73,199586.75,208737.77,317399.52,216789.82,186030.62,309040.27,414819.81,289233.18,304122.95,361059.48,368680.42,482703.93,369119.02,688020.55,321742.39,408796.24,458855.8,549689.76,598042.7,526326.0,598095.38,956604.29,893665.3
衍生金融资产,0.0,0.0,0.0,0.0,181.26,421.68,0.0,0.0,0.0,561.66,1270.74,106.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
买入返售金融资产,0.0,0.0,165911.67,0.0,0.0,0.0,0.0,0.0,99608.68,0.0,122000.0,22920.0,10100.0,15309.0,58587.0,148465.0,309589.0,170306.0,122748.0,490328.0,188972.12,814523.68,696390.58,949412.83,1139927.62,1443228.84,1020940.69,739792.45,555587.65
应收账款,0.0,13858.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10591.45,13668.45,16712.34,15911.72,18510.47,31550.95,37742.08,31707.5,24455.38,60844.04,47509.99,52907.68,305331.22,324712.84,302274.35
应收利息,0.0,868.02,1346.43,0.0,787.03,419.59,511.55,740.45,560.34,568.27,480.76,795.4,630.57,1440.5,4102.78,4107.84,8716.97,12969.69,17379.65,19764.06,26567.48,13490.8,21557.41,22650.82,14657.35,13278.73,12292.14,0.0,0.0
存出保证金,0.0,12605.07,16333.8,0.0,24611.5,8936.92,12523.89,23974.16,16680.4,31546.51,18147.68,50741.37,60173.51,54286.26,54288.54,59137.91,99706.67,168198.1,159154.99,37154.16,60312.79,102834.82,123744.0,100130.58,124793.47,157741.68,165591.63,166031.11,115667.21
可供出售金融资产,0.0,0.0,12086.02,0.0,0.0,178615.53,13526.44,107088.82,66585.61,140383.04,135465.29,125478.31,149519.58,144161.03,405006.51,326478.15,367107.69,334849.03,437988.07,593170.48,760671.71,560738.95,129711.55,172587.3,318573.22,350120.82,413195.17,0.0,0.0
持有至到期投资,0.0,2048.15,0.0,0.0,0.0,0.0,0.0,13078.86,13426.97,0.0,0.0,0.0,2000.0,137000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期股权投资,0.0,1612.6,0.0,0.0,7500.0,140.0,22600.0,140.0,22600.0,15133.18,42600.0,21910.18,23686.18,23686.18,23559.0,23709.0,150.0,23709.0,290.0,150.0,2725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产,0.0,10970.5,11091.95,0.0,7546.0,11141.67,11383.63,12099.82,10993.82,11236.78,10956.47,11720.96,9194.7,8993.43,8854.23,8318.1,8513.08,8802.33,9213.0,11520.82,10410.88,9662.55,9354.01,9318.82,8542.72,7983.46,7276.99,6775.6,6772.36
无形资产,0.0,518.34,3677.44,0.0,3610.61,6549.57,3879.47,6639.6,4294.8,7122.66,4483.02,7702.15,7707.31,7640.92,7509.82,7187.89,7847.2,7706.24,7564.83,8883.62,8751.94,9149.07,8938.69,8761.21,9595.04,9655.46,10229.18,10417.22,10815.32
其中：交易席位费,0.0,2539.0,2787.88,0.0,2756.71,2756.87,2756.84,2756.8,2756.42,2754.66,2753.09,2751.31,2751.15,2750.05,2749.19,0.0,2799.42,2799.64,2799.4,0.0,2804.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
商誉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延所得税资产,0.0,9982.31,11669.34,0.0,5977.0,6834.06,10946.0,12777.11,4354.98,12215.84,10707.68,5357.91,5443.88,7714.24,8768.99,5718.29,4779.68,10783.3,2531.37,13951.76,13335.5,16535.59,18988.13,19065.33,18305.3,17515.32,20125.45,19164.14,12432.61
投资性房地产,0.0,0.0,0.0,0.0,3249.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他资产,0.0,0.0,20088.91,0.0,13798.1,7830.33,12139.93,17956.9,14375.24,17393.73,8598.98,14840.04,54828.75,16980.12,4725.62,2802.93,6403.29,3841.15,3270.1,4957.76,2498.87,5871.79,6991.53,6201.56,6461.46,5034.52,4457.57,4598.02,4490.94
资产总计,992984.0,1388581.86,2180999.58,1961441.73,1135074.08,1350722.86,1217850.11,1723267.7,1712377.47,1693444.76,1434915.59,1407573.8,1410350.16,1651631.16,1809783.09,2049372.53,3710862.04,4459705.69,6333740.21,5259252.78,4446340.62,4569369.79,4333380.15,4357483.12,4651031.51,4801001.2,4715505.27,5130718.68,4835057.19
短期借款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
