报表日期,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
货币资金,8707.0,15917.94,9071.18,17755.24,36556.32,0.0,18783.58,53089.03,55512.7,30317.42,33754.6,42429.6,54282.32,58265.92,83628.69,82965.35,76429.49,108423.07,98390.72,79790.44,145856.61,132327.87,419705.67,267383.38,109543.18,154069.29,277829.8,246117.4,209177.57,387873.27,1093320.63,2041022.81,2378405.88
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6840.04,11132.8,19780.65,1571.97,0.0,50.0
应收票据,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,5200.0,6000.0,0.0,0.0,50.0
应收账款,711.1,167.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.04,5932.8,13780.65,1571.97,0.0,0.0
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,1780.93,4970.4,10598.71,2746.92,2552.41,0.0,2647.91,4591.45,2112.51,5499.3,722.11,1349.78,1110.23,2173.18,838.48,6596.96,4493.6,3889.36,4578.58,6117.63,8545.88,11195.31,8413.42,11821.97,14340.09,16899.41,9270.61,20377.86,14927.69,28803.43,50768.76,57383.59,97731.27
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.01,0.0,25.77,0.0,310.06,0.0,832.14,1004.36,945.88,1058.57,993.86,10329.99,1519.15,1419.19,795.53,3716.46,7991.11
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,272.39,440.86,345.99,22.22,10.11,0.0,6.3,62.28,1.54,19.47,0.35,89.31,2.35,16.24,21.96,112.64,124.01,575.26,25.77,214.95,310.06,881.56,832.14,1004.36,945.88,1058.57,993.86,0.0,1519.15,0.0,795.53,0.0,7991.11
