报表日期,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31
一、营业总收入,119649.22,152755.65,175782.96,146354.45,205803.38,50407.01,113569.96,184376.7,256333.05,66204.03,145969.89,237719.43,330548.0,82016.47,181575.97,295532.42,407970.99,98889.91,216665.71,352442.32,483322.76,114234.72,255790.06,412174.78,564370.98,132268.34,273888.05,437197.27,596300.42,132681.98,293938.91,466347.0,633538.17,145198.53,320567.86,502756.55,668626.33,147603.41
营业收入,119649.22,152755.65,175782.96,146354.45,205803.38,50407.01,113569.96,184376.7,256333.05,66204.03,145969.89,237719.43,330548.0,82016.47,181575.97,295532.42,407970.99,98889.91,216665.71,352442.32,483322.76,114234.72,255790.06,412174.78,564370.98,132268.34,273888.05,437197.27,596300.42,132681.98,293938.91,466347.0,633538.17,145198.53,320567.86,502756.55,668626.33,147603.41
二、营业总成本,100251.55,124534.86,142974.82,121520.98,171094.16,43068.19,94958.32,152370.68,212457.78,55625.43,122254.62,197587.74,276673.03,73313.83,158995.06,250599.51,343511.43,85702.83,184479.11,297260.39,407225.49,100244.18,219259.62,350687.03,481441.44,108997.34,224937.49,355326.89,489949.71,113429.17,251097.58,399178.3,541322.19,126079.8,276953.0,440615.79,587290.86,131192.18
营业成本,80344.44,97776.16,114631.89,97836.03,137433.01,33899.74,74999.98,120108.64,166897.37,42899.12,93956.01,151529.72,211120.79,53586.68,117189.9,185195.47,254161.59,60504.14,131525.6,213801.94,291559.52,69354.54,154443.99,248894.03,341040.53,75125.32,157812.08,250422.85,417574.3,97439.86,215867.15,343994.16,467026.27,108004.48,240013.68,382599.93,508271.92,112271.12
营业税金及附加,1027.42,1535.11,1774.56,1472.76,2047.8,544.24,1155.86,1832.87,2510.08,667.72,1486.65,2352.46,4040.44,1120.44,2391.74,3958.31,5416.48,1390.26,2902.6,4598.24,6352.85,1562.38,3054.79,4675.48,6207.79,1615.41,3077.39,4849.76,6600.35,1579.53,3318.69,5217.78,6986.42,1643.49,3445.26,5501.79,7317.54,1829.4
销售费用,15072.71,19985.97,21287.54,18167.98,25954.34,6772.27,15299.84,25073.95,35983.3,10318.26,23379.08,38046.04,54889.21,16121.1,34974.29,54948.19,75665.46,21451.39,45760.18,72077.83,99876.11,26262.1,56567.42,89234.2,122789.64,27424.07,56747.49,90183.68,52416.96,12228.97,26484.31,41016.73,55199.33,12263.93,25662.13,40430.82,54263.05,12327.33
管理费用,3268.6,4783.07,5205.23,4164.88,5679.85,1836.75,3231.5,4787.13,6562.42,1914.49,3658.0,5663.98,6760.18,2547.92,4423.91,6166.97,8204.68,2925.66,4880.4,6575.79,8875.97,3135.47,5274.51,7755.87,10171.81,3457.03,4704.04,6702.77,10022.79,2663.82,5226.17,7933.11,11120.18,3223.71,5934.11,9196.8,13131.54,3395.17
财务费用,455.5,399.25,53.5,-131.8,-128.09,58.16,151.49,221.03,255.65,-142.62,-280.71,-398.13,-458.23,-45.77,-97.83,-181.38,-428.3,-497.83,-761.49,-904.59,-1039.12,-336.09,-594.54,-592.2,347.39,1026.72,2133.33,2446.25,2205.74,-757.91,-541.12,-387.9,-1074.59,182.58,336.56,543.27,1149.04,527.05
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.06,565.06,308.64,513.45,719.67,884.28,348.79,463.16,721.58,1129.57,274.91,742.38,1404.42,2064.57,761.61,1561.24,2343.17,3157.78,842.11
资产减值损失,82.87,55.3,22.11,11.13,107.25,-42.97,119.65,347.06,248.95,-31.54,55.59,393.66,320.65,-16.53,113.05,511.95,491.53,-70.79,171.82,736.12,1035.09,-42.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-498.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.19,123.58,717.8,1253.34,1669.1,799.09,1690.77,2059.02,1729.61,366.21,357.07,-76.01,832.63,-222.41
