报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31
货币资金,61365.93,72721.26,126775.84,100919.11,136767.44,388904.63,270748.51,206158.8,183549.0,253040.09,457160.91,304527.89,389124.28,365269.45,390628.96,325595.78,250616.75,363849.23,359960.33,326489.87,384676.46,383699.72,337538.05,332451.38,349814.12,343802.19,343553.37,262242.44,237880.94,305794.54,380866.35,306156.67,363843.2,340264.74,371851.1,199608.48,202049.71,246092.26,189898.51,318855.27,335642.83,339623.83,393266.52,363165.8,273794.45,403260.04,688596.22,934669.81,753287.06,615763.83,757293.3,597904.76,785375.91
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5788.06,10058.1,7968.64,8313.99,8230.01,7915.09,7726.13,10350.5,15683.21,20428.07,109829.26,44330.74,74504.25,60347.01,54197.91,58498.93,56614.93,61176.32,42796.59,34529.74,3051.48,2877.78,2877.78,2323.82,1920.09,2891.87,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246175.88,0.0,226935.35,0.0,316131.22,0.0,416303.34,375096.04,538239.21,1116731.67,1189347.3,925873.24,949975.47,968767.39,666859.19,547717.95
应收票据,11705.62,16528.61,25777.54,36578.89,21658.37,26735.68,20468.0,18154.22,7073.45,10911.81,18048.35,19253.63,13988.6,26969.5,27361.01,41070.36,36824.47,71232.27,100490.47,147016.08,68918.83,76342.97,112558.08,132224.14,72526.75,133039.52,197611.09,213798.46,139731.56,156487.32,120066.14,162333.84,102101.36,82036.31,96969.11,120810.64,90790.03,78350.33,67428.29,88397.81,101365.78,158719.15,190019.53,300291.42,249208.46,389757.35,798576.08,966124.42,653307.06,625831.13,684153.35,464264.82,339393.48
应收账款,20117.03,26307.51,23530.38,11008.15,17671.71,20471.14,19201.94,12786.42,22542.09,40977.53,57555.37,37195.48,55251.84,76133.94,97310.76,57485.87,89727.08,113151.52,140102.12,61571.35,84025.94,156856.59,189734.6,93953.19,110850.58,153431.04,181665.52,116368.91,155274.75,197390.69,264677.52,168460.2,172927.49,228591.66,243328.67,156203.63,151720.56,167825.55,190852.2,138537.54,142149.12,157412.07,173952.98,116011.91,125887.58,148481.87,318155.59,223222.88,272566.18,324144.34,284614.05,202594.36,208324.47
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,28041.97,45518.25,70717.98,67790.32,120020.03,111300.19,127714.5,119531.86,140665.17,190865.37,196081.26,125547.63,190840.36,136950.74,131439.66,120223.79,140102.71,175826.34,184587.17,112694.08,131606.83,153669.31,131706.35,139890.37,153762.66,131208.93,123386.6,118549.65,135308.4,146825.54,152066.0,129238.14,142672.67,151969.36,136503.12,91867.29,208645.48,96372.16,113171.9,81910.17,90274.71,89046.78,98360.09,65984.89,76449.49,73512.0,100648.16,45793.78,83868.72,81485.27,98605.03,70146.82,91070.93
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84196.36,0.0,184072.12,0.0,101892.53,0.0,93047.74,88770.7,82694.84,94593.47,81028.59,98867.7,93567.7,88974.12,70527.96,64595.61
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.32,85.5,81.24,70.13,228.79,215.38,210.17,202.85,482.94,482.94,482.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
