报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
一、营业总收入,1973.08,8435.25,12544.59,20581.02,3639.19,8898.45,15690.29,25755.21,4557.01,11015.8,18994.23,30712.52,5614.98,15710.73,24876.35,43605.73,8570.1,22130.61,34259.74,55701.35,13006.77,30366.97,52694.24,78394.07,17304.58,41910.07,75745.21,125370.78,26193.89,64769.18,110534.88,177521.06,40610.64,103915.2,167416.51,250079.91,63289.08,146211.03,214128.32,332047.67,85622.04,210236.27,338671.89,544468.81,139777.35,320998.93,528333.2,791722.19,195836.75
营业收入,1973.08,8435.25,12544.59,20581.02,3639.19,8898.45,15690.29,25755.21,4557.01,11015.8,18994.23,30712.52,5614.98,15710.73,24876.35,43605.73,8570.1,22130.61,34259.74,55701.35,13006.77,30366.97,52694.24,78394.07,17304.58,41910.07,75745.21,125370.78,26193.89,64769.18,110534.88,177521.06,40610.64,103915.2,167416.51,250079.91,63289.08,146211.03,214128.32,332047.67,85622.04,210236.27,338671.89,544468.81,139777.35,320998.93,528333.2,791722.19,195836.75
二、营业总成本,2102.58,6846.87,10284.35,16663.22,3611.48,7188.26,12578.22,19796.19,4447.12,9180.45,15195.86,25393.75,5423.09,13456.38,20649.59,35210.13,7295.45,18434.28,28517.86,45923.62,11072.82,26368.49,46054.45,66742.35,14983.48,37215.05,66891.06,104096.83,23571.72,57222.07,97628.05,149986.59,37619.57,97647.01,156002.73,224216.38,59173.47,137953.59,207097.3,308329.11,81081.52,203916.97,326783.26,506196.82,138096.73,324175.14,530840.85,771726.99,195021.43
营业成本,1187.46,4530.98,6577.32,11843.72,2181.26,4341.37,8093.9,13251.3,2089.89,4749.44,7783.97,13615.41,1988.69,6100.14,9355.87,18803.78,3035.41,8377.34,12959.29,23818.19,4975.96,12951.78,25533.07,36268.02,6535.72,18612.91,37292.78,58917.15,10455.8,29413.29,53137.6,78758.37,17605.82,52615.14,86257.2,127803.06,33167.01,76349.31,111651.94,164298.43,43941.44,107548.49,170502.87,264723.79,72824.37,160782.71,270367.16,395654.62,97856.2
营业税金及附加,14.67,78.88,114.34,203.01,54.26,132.59,222.11,338.61,70.12,158.48,278.05,460.27,115.81,346.87,486.81,836.47,192.86,449.14,715.6,1192.74,288.29,683.52,1081.27,1484.82,269.14,761.81,1249.41,1875.64,435.82,1055.94,1699.29,2518.61,368.07,1110.31,1642.74,2272.18,1077.59,1444.68,1664.55,3023.05,387.77,1075.84,1955.63,4257.26,840.71,2943.45,4894.3,8187.83,1057.48
销售费用,297.26,848.12,1270.79,1775.48,475.66,1075.33,1780.8,2523.91,947.65,1953.34,3175.98,5259.64,1415.15,2643.69,4279.79,6175.27,1664.46,3912.53,5784.32,8543.5,2753.22,5687.32,8648.98,13078.77,3217.66,6440.78,9896.17,15829.48,3735.46,8898.62,15025.04,24008.41,6149.46,15090.03,24920.8,37546.58,11088.08,24947.06,41592.12,64874.18,16730.53,41411.7,69842.58,111133.72,32233.66,73339.12,117856.25,172588.7,36720.31
管理费用,568.26,1246.02,2147.33,2701.63,846.86,1658.3,2614.89,3641.36,1368.35,2716.3,4426.93,6400.43,1876.18,4313.1,6615.19,9373.5,2412.57,5431.44,8875.13,11697.84,3194.37,6839.92,10611.74,16137.44,5073.26,10932.76,18392.91,28031.06,9112.16,19613.09,30274.72,45547.26,13622.91,27089.93,41631.6,56533.01,14926.33,31651.27,50782.49,72945.42,20876.98,49700.43,81542.62,117661.15,32534.83,82279.73,62560.76,94720.84,33200.05
财务费用,34.93,133.36,165.06,289.54,53.23,-5.38,-119.67,-102.96,-31.54,-537.55,-542.99,-572.87,27.26,-65.76,-214.63,-244.27,-9.85,-11.24,-75.16,-293.57,-139.02,-944.59,-978.07,-1271.05,-112.51,-484.69,-960.89,-1997.48,-192.33,-3135.34,-3942.12,-4180.7,-126.69,-1200.37,-1393.91,-3777.58,-1085.54,-1194.46,-3349.52,-3372.9,-855.2,-1052.43,-2304.99,-2583.76,-339.98,-445.97,105.53,-1666.25,1062.49
资产减值损失,0.0,9.51,9.51,-150.17,0.2,-13.95,-13.8,143.97,2.65,140.43,73.92,230.86,0.0,118.35,126.55,265.38,0.0,275.07,258.67,964.92,0.0,1150.53,1157.47,1044.37,0.21,951.48,1020.69,1440.98,24.8,1376.47,1433.53,3334.63,0.0,2941.97,2944.31,3839.13,0.0,4755.72,4755.72,6560.94,0.0,5232.94,5244.55,11004.66,3.14,5276.1,5223.15,8318.83,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.31,2700.75
投资收益,0.0,4.06,4.06,4.06,0.0,1.25,1.25,1.29,0.0,-4.68,2.25,15.85,0.0,5.05,27.26,76.93,0.0,-174.71,-273.12,-135.34,0.0,-101.61,-178.79,249.3,6.51,84.12,107.84,299.68,0.56,61.39,195.13,1271.92,675.0,1200.54,1900.11,3911.29,820.05,12403.36,13447.01,14656.08,26.22,-265.32,454.25,4871.67,366.05,4647.79,7857.65,7479.6,21.03
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,15.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-193.95,0.0,0.0,0.0,-193.08,0.0,77.61,77.61,269.46,0.0,7.55,7.55,290.53,0.0,-207.46,-207.46,1055.39,0.0,-124.34,-124.34,1223.99,0.0,-336.69,-336.69,2016.11,0.0,-637.65,-637.65,-378.79,0.0
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,-129.5,1592.44,2264.3,3921.86,27.71,1711.44,3113.32,5960.31,109.89,1830.67,3800.63,5334.62,191.89,2259.4,4254.03,8472.54,1274.65,3521.62,5468.76,9642.39,1933.95,3896.87,6461.0,11901.02,2327.6,4779.15,8961.98,21573.63,2622.73,7608.5,13101.97,28806.39,3666.07,7468.73,13313.89,29774.83,4935.66,20660.8,20478.03,38374.64,4566.73,13383.11,22469.34,53952.02,8058.93,11967.75,22034.52,62778.39,18189.45
加:营业外收入,140.18,589.79,1022.47,1638.47,351.6,782.85,1320.02,1925.84,669.81,1200.94,2138.16,3487.89,856.7,1138.47,1993.58,2879.04,454.7,1366.45,2398.76,5031.83,395.89,2380.16,4633.39,8460.56,2053.13,5934.18,8626.36,11221.14,3843.16,6123.37,10813.1,14964.78,4098.54,8981.91,13598.79,16869.43,2938.97,8012.2,11344.64,19074.63,3752.09,97.95,298.98,4942.73,4513.86,5152.49,7739.29,6813.71,1041.68
减：营业外支出,1.42,10.01,12.73,24.65,0.45,81.74,90.96,137.22,0.2,50.73,453.7,82.99,12.38,114.19,149.56,153.28,5.04,95.78,96.77,300.36,2.07,16.14,40.61,92.51,15.55,521.09,527.44,736.37,294.04,302.82,332.76,396.25,31.83,103.98,373.36,190.1,35.54,173.15,552.85,1363.31,24.19,377.33,900.91,1189.47,423.16,753.84,1193.62,3719.15,2473.26
其中：非流动资产处置损失,0.0,0.0,0.0,10.91,0.0,0.0,0.0,5.25,0.0,0.0,0.0,3.02,0.0,0.0,0.0,0.04,0.0,0.0,0.0,2.09,0.0,0.0,0.0,14.07,0.0,7.0,0.0,90.35,42.96,46.23,52.94,92.9,3.05,7.03,12.77,15.35,26.04,30.0,71.51,779.16,7.81,38.83,48.7,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,9.26,2172.22,3274.05,5535.68,378.86,2412.56,4342.39,7748.94,779.5,2980.89,5485.09,8739.51,1036.22,3283.68,6098.05,11198.29,1724.31,4792.3,7770.75,14373.86,2327.76,6260.89,11053.79,20269.07,4365.19,10192.23,17060.89,32058.4,6171.85,13429.05,23582.31,43374.92,7732.78,16346.65,26539.32,46454.17,7839.09,28499.84,31269.81,56085.97,8294.63,13103.74,21867.41,57705.28,12149.63,16366.41,28580.19,65872.95,16757.87
减：所得税费用,0.0,108.83,185.12,179.95,39.12,217.01,472.3,741.82,46.44,323.4,780.39,734.43,137.8,334.77,798.56,1086.86,285.98,782.2,791.66,1114.78,402.6,481.43,1213.78,2095.4,821.59,1934.86,3183.21,4214.54,1266.33,1642.68,3527.28,4526.27,1674.05,2230.94,3759.61,2795.74,1706.65,3680.03,4277.23,6408.14,1824.57,2993.67,4630.13,9787.3,3168.28,2860.47,4459.69,4075.85,4274.33
五、净利润,9.26,2063.39,3088.93,5355.74,339.74,2195.54,3870.08,7007.11,733.06,2657.48,4704.7,8005.07,898.42,2948.91,5299.49,10111.44,1438.33,4010.1,6979.09,13259.08,1925.16,5779.47,9840.02,18173.68,3543.59,8257.37,13877.69,27843.86,4905.53,11786.37,20055.03,38848.66,6058.73,14115.71,22779.72,43658.43,6132.44,24819.82,26992.58,49677.83,6470.06,10110.06,17237.28,47917.97,8981.34,13505.93,24120.5,61797.11,12483.53
归属于母公司所有者的净利润,9.26,2063.19,3086.77,5349.83,323.85,2170.21,3870.08,6987.27,733.06,2657.48,4723.26,8026.99,903.4,2968.19,5293.43,10113.92,1452.05,4011.55,6968.97,13262.89,1985.97,5841.72,9966.51,18240.49,3432.05,8249.5,14026.95,27898.62,5089.63,11679.43,19808.39,37942.99,6658.66,14309.23,22364.8,42529.45,7066.94,25609.63,27847.52,48443.04,7398.27,10728.36,16861.88,43467.6,8199.22,13060.27,21910.34,54206.6,10188.28
