报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
一、营业总收入,463081.96,472954.15,529826.23,541570.43,248165.35,391088.31,573269.31,134197.64,272037.77,435066.59,635616.81,154652.07,318601.52,501301.29,734588.3,158460.33,357767.87,547891.79,818658.3,170928.9,387438.54,582838.41,884245.77,148826.49,360628.5,572857.69
营业收入,463081.96,472954.15,529826.23,541570.43,248165.35,391088.31,573269.31,134197.64,272037.77,435066.59,635616.81,154652.07,318601.52,501301.29,734588.3,158460.33,357767.87,547891.79,818658.3,170928.9,387438.54,582838.41,884245.77,148826.49,360628.5,572857.69
二、营业总成本,422697.92,444823.62,481612.69,489927.01,228099.07,358670.79,528148.28,118535.37,246841.79,397606.89,588230.13,138414.95,292856.84,462690.69,674447.18,142224.08,323505.06,499312.31,740831.03,150218.64,339669.51,519329.46,784706.06,127680.3,311744.52,503328.65
营业成本,276473.45,280520.94,313627.19,326671.67,145864.09,233050.9,346941.33,77758.02,160528.03,266154.12,397734.18,96094.2,202641.22,327967.43,468697.89,98919.44,224041.21,348824.51,511502.8,101185.3,233115.21,360673.96,545986.17,88270.52,203275.44,346158.41
营业税金及附加,3323.74,2386.37,2561.42,1248.69,571.62,1116.08,1470.38,334.29,437.18,848.35,3227.15,608.82,1625.86,2096.14,3757.72,561.7,1613.68,2297.18,3698.26,428.72,1420.22,2327.02,4326.97,427.88,2035.63,2832.21
销售费用,59810.53,66448.65,64937.58,68686.14,35196.62,50717.34,74369.63,16496.1,39487.34,56034.45,80463.5,17155.44,41499.77,59322.94,89251.64,19106.04,48430.76,68835.58,101067.3,21964.49,57256.25,77575.58,111967.91,18957.64,60637.61,78974.19
管理费用,80817.11,89319.41,92823.05,89839.28,41748.86,68829.6,97737.51,22650.61,42530.59,70599.89,99634.05,22807.77,43062.14,71002.4,107100.66,21565.91,44343.04,74921.51,111534.21,23871.37,48291.19,80786.28,125397.55,20961.32,47602.87,79118.97
财务费用,-988.8,-887.52,378.93,-131.63,-21.35,-163.99,-491.18,-267.09,-425.31,-608.72,-894.87,-296.62,-910.21,-1765.34,-2436.03,-550.81,-1225.42,-1328.91,-2441.07,-135.66,-606.27,-2282.41,-3298.1,-975.86,-1884.37,-3871.68
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885.6,1056.15,1359.26,59.21,192.91,249.04,325.56,38.8,77.33,116.55
资产减值损失,3261.89,7035.77,7284.52,3612.85,4739.23,5120.87,8120.62,1563.43,4283.96,4578.8,8066.12,2045.32,4938.05,4067.12,8075.31,2621.8,579.63,-837.59,5734.67,1212.31,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,6.88,1.03,-1.03,-1265.49,-1681.55,-3818.1,-1668.14,-1647.8,-1847.56,3798.01,242.91,12716.28,10331.81
投资收益,4458.35,23483.6,7640.59,4828.11,6424.8,5788.98,7589.53,252.39,4064.73,4265.01,6486.6,1698.77,20237.51,24709.06,27215.48,728.18,7873.36,8931.42,12688.22,-1053.96,12275.63,15947.05,20890.2,1017.14,10498.35,11943.59
其中:对联营企业和合营企业的投资收益,35.15,-467.2,566.94,-685.12,-14.71,-742.16,874.43,-94.31,-84.04,-112.47,982.85,-285.27,207.37,505.79,1028.66,35.87,220.91,432.43,2061.44,-1803.37,4836.09,5182.73,8103.64,794.32,3143.91,3726.3
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,44842.38,51614.13,55854.12,56471.52,26491.07,38206.5,52710.56,15914.66,29260.72,41724.7,53873.28,17935.89,50196.37,68324.37,94166.93,17398.58,43633.77,59250.41,93084.9,21535.98,60156.15,77654.02,117939.03,15764.77,60266.22,78176.3
