报表日期,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
货币资金,100845.75,114852.89,93906.1,83994.24,74168.75,102846.26,108148.14,87916.69,87787.95,171196.58,108147.66,132681.46,136118.54,126713.27,103638.36,150604.63,169447.95,140172.42,89405.19,73209.97,132350.07,92563.73,80056.37,76296.94,36176.83,79424.59,106403.11,67710.86,149346.16,162251.03,112448.81,90116.07,79182.99,100776.75,66180.8,77294.89,112924.85,119930.24,120168.94,213337.45,179780.9,128609.49,137729.14,126998.16,146838.57,204674.29,147010.7
交易性金融资产,22281.14,1015.31,183.4,183.4,1318.34,0.0,10000.0,58000.0,90492.34,3250.0,127600.0,233101.9,255163.27,27315.06,66298.26,22251.96,36966.55,97476.59,32459.71,116123.71,29894.83,8403.72,9111.89,3278.63,5796.34,19644.35,0.0,0.0,2.19,0.0,8450.8,8373.84,14835.15,17563.07,13291.6,10900.01,11576.31,4773.5,3177.84,8097.26,5501.92,226685.19,223851.33,240031.12,146770.96,173825.54,42957.64
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5845.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17257.02,25554.2,48811.1,52653.79,17262.91,22801.46,26473.59,32508.26,30699.91,36084.02,33763.01
应收票据,252.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,8.0,10.0,25.0,15.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
应收账款,13164.08,15009.82,10285.14,9608.87,12488.77,15836.55,13540.1,11219.08,11413.85,11535.77,12924.61,10152.0,12067.9,10661.4,12223.23,7645.23,9257.13,11442.9,16710.27,8521.07,6375.34,7413.97,4745.41,3566.95,5835.42,1514.17,7338.73,5957.12,18076.4,18840.85,20943.0,25862.11,14384.61,21762.5,23309.32,25310.2,17257.02,25554.2,48811.1,52653.79,17262.91,22801.46,26473.59,32508.26,30689.91,36084.02,33763.01
预付款项,38604.94,20053.76,12665.22,16301.47,19681.34,17232.55,11954.39,8215.24,9914.84,73950.0,36876.92,43575.07,58800.73,52082.91,53046.69,40249.8,21397.91,11859.43,23962.46,36556.52,38616.31,17398.8,8841.28,36547.39,12079.11,21318.88,8224.65,13300.19,9223.11,19262.72,11304.3,8070.25,10697.33,16477.19,18501.75,19497.91,14211.87,14512.45,16753.28,27027.27,21292.16,27093.04,17875.8,24862.06,30590.76,41965.27,39553.24
应收利息,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.56,0.0,49.98,125.83,201.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.64,137.16,121.64,60.87,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.0,0.0,0.0,0.0,0.0,665.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.96,0.0,117.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.5
其他应收款,45484.26,21103.88,26669.66,29484.93,22269.68,35482.96,31295.04,28650.94,26670.45,49812.5,67717.06,66250.55,93562.36,119591.08,94852.08,105672.47,24875.88,140920.62,24602.4,36637.0,43504.33,47340.43,40992.88,28334.48,25066.11,22740.86,27076.55,28308.86,17646.34,20434.78,19252.57,25625.41,29332.3,29388.98,48484.34,50629.29,55355.42,66169.78,72486.72,82878.17,105800.34,0.0,113149.27,0.0,129404.5,0.0,162804.11
