报表日期,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
一、营业总收入,367317.05,567816.22,847481.58,283605.21,561113.61,874263.14,1231650.37,423075.78,802794.35,1247429.79,1773155.58,622355.05,1171183.15,1789081.66,2468431.8,760906.46,1441273.94,2201370.23,3054281.67,933897.44,1770339.02,2694516.99,3672680.3,1119768.19,2083483.29,3144399.68,4214482.96,1341587.87,2451785.8,3701526.39,4923164.58,1526138.91,2831688.62,4330784.66,5859134.34,1876718.27,3439739.86,5269219.45,7051665.45,2223590.98,4117608.57,6354338.93
营业收入,367317.05,567816.22,847481.58,283605.21,561113.61,874263.14,1231650.37,423075.78,802794.35,1247429.79,1773155.58,622355.05,1171183.15,1789081.66,2468431.8,760906.46,1441273.94,2201370.23,3054281.67,933897.44,1770339.02,2694516.99,3672680.3,1119768.19,2083483.29,3144399.68,4214482.96,1341587.87,2451785.8,3701526.39,4923164.58,1526138.91,2831688.62,4330784.66,5859134.34,1876718.27,3439739.86,5269219.45,7051665.45,2223590.98,4117608.57,6354338.93
二、营业总成本,348178.72,539361.68,814665.9,271840.49,543298.06,847064.27,1192479.9,402981.27,768067.71,1200604.72,1716474.02,607646.36,1147634.0,1749294.78,2411927.64,730112.45,1399139.22,2142482.79,2975862.02,901561.83,1724007.26,2630416.45,3589244.43,1080017.48,2029222.57,3075148.74,4132593.4,1285425.09,2370124.81,3594512.02,4790901.12,1439359.28,2714212.24,4180197.27,5676480.84,1798372.56,3371978.57,5211037.0,6992091.89,2097093.93,3979601.73,6186940.68
营业成本,304129.14,466263.74,695799.44,230631.76,456666.52,711820.2,996185.53,345745.75,649379.82,1006283.96,1431820.62,510608.71,948886.29,1440628.96,1985902.59,613347.45,1162303.4,1776868.86,2468191.08,753265.24,1426302.79,2174956.81,2950688.88,897108.09,1669384.84,2525168.88,3378543.76,1066877.78,1956114.79,2959843.99,3929192.7,1206697.2,2252762.92,3451112.12,4638279.53,1449029.36,2668730.04,4119112.98,5489973.97,1718536.36,3218441.25,4963930.53
营业税金及附加,1505.75,2214.95,2985.55,1211.75,2216.75,3438.92,4727.03,1767.12,3293.73,5481.19,8289.0,2778.9,5294.61,8463.04,11516.69,3168.61,6431.67,10296.48,13870.12,4449.49,8045.29,12437.36,17565.92,5411.43,10130.41,15219.33,20653.5,6559.81,10008.14,13159.39,21898.6,5405.47,10173.9,15112.83,20942.38,6061.19,12235.0,17953.47,23748.48,6079.6,11049.27,17279.22
销售费用,33609.46,57718.82,94660.86,32784.55,68900.2,106895.1,155770.8,46934.49,99644.68,161362.49,229451.27,77643.55,159038.68,246799.22,332913.82,91181.52,190612.27,296448.04,414822.15,120505.08,245262.9,376463.37,526387.61,153961.05,305558.49,468700.11,637653.79,187335.69,353401.04,538343.73,716523.12,195970.76,380081.79,598879.1,845161.39,271822.93,547213.87,840640.13,1156029.41,315778.49,625571.76,998744.85
管理费用,7435.35,10829.47,17190.79,5898.69,12701.22,19944.13,28194.52,7878.8,14609.45,24882.48,40363.35,12139.35,26070.45,40996.9,64390.59,19776.35,33485.66,50513.93,70526.75,20540.37,38826.63,57156.16,82807.78,20815.05,41583.53,65850.09,96990.82,25738.02,51278.57,85501.58,128854.12,33285.88,78991.76,126835.08,178108.02,68534.65,138957.14,223487.42,300720.03,47763.44,109430.3,183296.43
财务费用,1342.82,2199.62,3677.81,1229.4,3006.93,5195.04,7038.19,655.12,1036.19,2490.76,4939.54,4475.85,7884.69,11947.39,14796.28,2638.52,4685.85,6735.1,8200.7,2801.65,5117.32,8123.63,10408.77,2512.5,2291.43,-214.11,-2458.0,-1087.1,-724.81,-3145.85,-7419.62,-2008.18,-8024.41,-11958.36,-8276.84,2916.84,4545.21,5891.86,14753.72,6096.47,15109.15,23689.64
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值损失,156.19,135.07,351.45,84.35,-193.58,-229.11,563.83,0.0,103.84,103.84,1610.23,0.0,459.28,459.28,2407.67,0.0,1620.37,1620.37,251.23,0.0,452.33,1279.14,1385.47,209.36,273.88,424.44,1209.53,0.9,47.08,809.18,1852.21,8.15,226.29,216.5,2266.36,7.59,297.31,3951.13,6866.29,2839.57,0.0,0.0
公允价值变动收益,72.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-176.4,-856.89,-1051.32,-64.7,-203.07,108.01,1789.22,6558.43,9999.56,18352.93,191.45,1822.26,3526.91,-420.78,1520.38,-1627.44,-1509.79,-1450.97,749.15,-1789.69,-3148.19,-3535.85,-8055.29,6321.85,6576.33,6576.33,3314.58,-18167.61,-17169.14,1581.75
投资收益,100.78,-24.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2157.88,0.0,-1.25,1348.03,1348.03,0.0,0.0,0.0,-83.74,-772.52,518.77,399.72,21956.81,459.44,858.28,-1239.23,-7335.64,689.35,-1273.34,-7594.84,16746.96,2566.72,6816.5,7736.96,14508.56,-2825.68,17477.24,21967.61,54825.69,22375.35,25325.68,-2100.0
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-472.85,458.69,-701.89,-2832.08,-8927.75,689.35,-2883.2,-9752.61,-12130.62,-1244.05,827.35,620.54,-5534.03,1341.49,15819.02,17896.51,13022.29,-7162.52,-14931.93,-24497.6
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,19311.86,28429.65,32815.67,11764.72,17815.55,27198.87,39170.47,20094.51,34726.64,46825.07,58839.44,14708.7,23371.5,40278.02,56800.87,30729.31,41931.65,58995.46,80125.12,38121.52,56850.09,82853.18,105584.12,42032.41,58645.91,67590.94,76074.29,55224.68,78877.85,97968.55,149759.58,87556.66,121144.7,154788.5,194064.5,82064.36,93812.58,90351.1,126446.12,132510.61,148318.67,166363.59
加:营业外收入,739.03,565.8,1357.17,296.41,793.9,1219.94,1859.08,351.11,1417.52,2284.91,3610.97,1987.13,4734.67,6779.74,12659.22,5085.06,10373.13,14328.95,18043.2,2000.47,4577.79,6910.88,12298.08,3503.11,8475.86,12091.08,18145.13,3151.13,7733.53,11913.51,17914.44,4494.66,9714.09,14183.92,16654.11,4630.05,8877.34,14547.27,23277.95,4863.34,11646.42,16649.18
减：营业外支出,761.04,689.43,1014.3,116.69,624.45,851.12,1119.84,321.56,1110.95,1388.42,2171.82,788.18,1807.2,2517.65,3098.29,695.72,1712.99,2599.56,3622.1,750.32,3456.21,6047.45,9453.08,768.98,2450.34,6444.06,14486.87,889.93,2564.42,5678.91,12025.02,835.49,2190.43,4096.3,7403.04,902.41,2238.55,3474.67,4822.39,386.77,1180.78,2123.47
其中：非流动资产处置损失,19.74,392.75,158.01,0.06,4.97,4.97,92.61,0.15,0.29,129.95,222.82,1.15,2.83,2.83,452.06,0.0,91.97,91.97,324.8,0.0,276.86,569.7,5325.98,153.49,774.87,2982.56,8501.78,0.0,1207.65,2746.23,6855.41,338.27,879.94,1549.52,0.0,0.0,472.5,0.0,0.0,0.0,0.0,0.0
四、利润总额,19289.85,28306.02,33158.54,11944.44,17985.01,27567.69,39909.72,20124.05,35033.21,47721.57,60278.58,15907.65,26298.98,44540.1,66361.8,35118.65,50591.78,70724.85,94546.22,39371.67,57971.66,83716.61,108429.12,44766.54,64671.43,73237.96,79732.55,57485.89,84046.97,104203.15,155649.0,91215.83,128668.36,164876.12,203315.57,85791.99,100451.36,101423.7,144901.68,136987.19,158784.31,180889.3
减：所得税费用,6146.44,6643.09,7471.6,2630.55,4184.04,6427.57,9401.36,4560.49,8063.59,10545.81,13521.89,4060.12,7035.82,10908.9,16057.04,7491.07,11628.98,15651.38,22378.22,8775.92,12622.14,18728.38,23160.3,8385.93,12057.69,13671.75,19725.56,11021.64,17665.78,23595.94,34276.45,18630.75,26898.88,33478.61,34848.17,20467.23,25776.09,30200.64,45161.43,24172.98,22206.41,31917.69
五、净利润,13143.41,21662.93,25686.95,9313.89,13800.97,21140.12,30508.35,15563.56,26969.61,37175.76,46756.69,11847.53,19263.16,33631.21,50304.76,27627.58,38962.8,55073.47,72168.0,30595.75,45349.52,64988.23,85268.82,36380.61,52613.73,59566.2,60006.99,46464.25,66381.18,80607.21,121372.55,72585.08,101769.48,131397.51,168467.4,65324.76,74675.27,71223.05,99740.25,112814.21,136577.91,148971.61
归属于母公司所有者的净利润,12981.61,21370.78,25429.29,9293.13,13829.7,21154.87,30553.57,15542.89,26983.6,37208.2,46692.02,11826.25,19224.24,33558.72,50211.62,27591.27,38904.62,54992.79,72058.12,30565.64,45273.72,64890.29,85156.04,36383.6,52652.06,59713.27,60532.83,47207.82,66967.93,81548.68,124200.57,74375.65,105521.84,139239.15,181679.41,74789.06,93348.83,101784.75,148035.33,112392.1,136936.87,153833.64
