报表日期,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-12-31,2016-06-30,2016-12-31,2017-03-31,2017-06-30,2017-12-31,2018-06-30,2018-09-30,2018-12-31,2019-06-30,2019-09-30
处置交易性金融资产净增加额,0.0,0.0,241970.2,27081.79,0.0,0.0,139085.35,93844.97,-29248.9,1847.15,-9301.03,39680.03,0.0,261255.15,264767.89,0.0,0.0,0.0,71945.88,60263.92,1085.29,0.0,0.0
处置可供出售金融资产净增加额,0.0,0.0,0.0,0.0,19432.76,0.0,0.0,0.0,38174.71,0.0,33553.53,-42598.05,0.0,-111501.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收取利息、手续费及佣金的现金,0.0,198506.33,219874.11,253482.75,171094.68,149979.09,60585.16,154380.82,66851.68,240051.53,67601.97,187432.34,560531.89,135207.48,427651.0,67236.5,165368.8,425525.47,195609.67,283459.36,381751.23,175409.69,273057.03
拆入资金净增加额,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,15932.82,138200.0,-135425.35,-30000.0,0.0,0.0,0.0,0.0,100000.0,150000.0,50000.0,80000.0,0.0,0.0,0.0
回购业务资金净增加额,0.0,309876.93,0.0,0.0,18680.0,44127.48,0.0,43956.29,0.0,87896.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436172.64,509301.84
收到的其他与经营活动有关的现金,0.0,21941.58,10326.42,1529.87,3271.59,3491.22,80043.89,85599.21,-3493.7,1374.36,-472533.16,-43024.24,16964.59,-193246.4,62367.4,64863.38,13369.75,83944.4,30204.31,520426.11,309943.07,7965.65,62768.67
经营活动现金流入小计,0.0,530324.85,1034932.4,290097.15,213962.72,204471.4,381925.73,398077.5,199727.06,1227603.05,88187.32,1996684.36,1348616.56,119.86,958388.99,218092.96,440645.01,660003.18,489648.82,1136545.41,932556.12,1055974.73,1276985.13
支付给职工以及为职工支付的现金,0.0,57698.27,60558.84,51393.27,60051.38,35204.13,22905.9,41349.05,23152.43,42751.12,13676.0,40473.59,71235.59,54923.16,93122.05,15880.63,29074.98,92172.25,31431.92,73384.32,90182.18,35683.93,67003.64
支付的各项税费,0.0,42074.08,42444.72,28642.78,38315.11,13201.07,9445.46,20089.85,11423.75,21786.9,19782.99,53101.01,102795.05,48916.03,63535.81,12900.49,45948.92,62641.75,41277.74,48936.59,55143.94,25026.11,35453.87
支付其他与经营活动有关的现金,0.0,48767.01,43948.41,46047.11,54635.99,53679.29,-35202.98,38239.54,-9875.64,49371.08,-12824.06,-270682.98,66453.87,23199.96,73639.2,9622.44,33462.83,64680.58,117135.72,115608.38,110240.88,110540.32,108178.07
支付利息、手续费及佣金的现金,0.0,39075.28,29623.04,27344.35,24248.92,16828.66,0.0,20350.46,0.0,35014.22,0.0,0.0,107236.06,0.0,51722.26,10692.42,26517.6,75059.31,26769.36,50592.11,62421.32,39844.52,53100.88
经营活动现金流出小计,0.0,1532339.51,424252.9,294779.11,751407.19,333534.07,86432.17,323646.12,85643.24,830980.98,-416444.54,261857.57,1212874.54,775.83,1336937.69,399808.54,1082617.59,1209922.46,872738.26,782734.7,835281.95,568435.81,509696.65
经营活动产生的现金流量净额,1358442.68,-1002014.66,610679.5,-4681.96,-537444.47,-129062.67,295493.57,74431.37,114083.82,396622.08,504631.86,1734826.79,135742.02,-655.97,-378548.7,-181715.59,-641972.58,-549919.29,-383089.44,353810.71,97274.17,487538.93,767288.47
收回投资收到的现金,0.0,48.24,207.26,60.59,6882.08,0.04,0.0,23394.78,0.0,185113.14,0.0,0.0,532865.08,0.0,1239426.65,499811.17,586240.79,778397.49,472025.15,704190.28,873656.36,743117.26,1012836.81
取得投资收益收到的现金,0.0,0.0,0.0,0.0,0.0,193.5,0.0,19419.46,0.0,31917.48,0.0,0.0,49911.11,0.0,34772.96,6032.9,8827.15,24322.59,1357.15,5616.72,9919.66,6541.86,11229.87
处置固定资产、无形资产及其他长期资产收回的现金净额,0.0,59.8,20.76,199.28,78.53,10.79,0.0,2005.68,0.0,23.76,0.0,0.0,17.5,0.0,201.2,118.07,21.28,29.77,16.85,31.59,538.47,5.72,16.45
收到其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流入小计,0.0,15927.63,228.01,259.87,6960.6,204.33,0.0,44819.92,0.0,217054.38,0.0,0.0,582793.7,0.0,1274400.8,505962.15,595089.22,802749.85,473399.16,709838.6,884114.5,749664.84,1024083.13
投资支付的现金,0.0,171.91,141.08,30013.21,6805.26,23379.04,135000.0,284750.0,150.0,110565.88,0.0,0.0,760921.27,2575.0,1203902.2,26308.14,157721.35,543518.41,511755.97,885219.41,1233247.85,724008.05,969374.31
购建固定资产、无形资产和其他长期资产支付的现金,0.0,5754.14,6696.26,5962.44,6320.08,2928.68,1522.78,3687.3,1610.95,5558.59,1395.37,2907.49,8414.25,1778.33,4868.61,669.27,1954.55,6114.81,1904.62,3171.83,4937.42,2227.81,4407.47
支付其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流出小计,0.0,5926.04,6837.34,35975.65,13125.34,26307.71,136522.78,288437.3,1760.95,116124.47,1395.37,2907.49,769335.52,4353.33,1208770.81,26977.4,159675.89,549633.21,513660.58,888391.24,1238185.27,726235.86,973781.79
投资活动产生的现金流量净额,0.0,10001.58,-6609.33,-35715.78,-6164.74,-26103.38,-136522.78,-243617.38,-1760.95,100929.91,-1395.37,-2907.49,-186541.82,-4353.33,65629.99,478984.74,435413.33,253116.64,-40261.42,-178552.64,-354070.77,23428.97,50301.34
吸收投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230000.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
