报表日期,2007-12-31,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
一、营业总收入,118451.39,174247.14,40306.57,83680.35,143657.27,210151.32,68730.51,140230.46,239307.63,360547.73,92991.27,208167.89,345315.68,523163.97,129267.86,281867.95,479784.74,721378.95,169732.77,390859.46,686039.68,1074590.7,259465.92,601605.53,1066980.78,1723311.4,428794.68,979638.17,1667763.85,2527139.03,519971.04,1254819.87,2113646.9,3192402.09,704372.41,1644753.97,2772974.22,4190547.66,936482.82,2087575.82,3380269.12,4983713.25,994244.86,2392327.34
营业收入,118451.39,174247.14,40306.57,83680.35,143657.27,210151.32,68730.51,140230.46,239307.63,360547.73,92991.27,208167.89,345315.68,523163.97,129267.86,281867.95,479784.74,721378.95,169732.77,390859.46,686039.68,1074590.7,259465.92,601605.53,1066980.78,1723311.4,428794.68,979638.17,1667763.85,2527139.03,519971.04,1254819.87,2113646.9,3192402.09,704372.41,1644753.97,2772974.22,4190547.66,936482.82,2087575.82,3380269.12,4983713.25,994244.86,2392327.34
二、营业总成本,84140.71,120485.41,27081.32,59055.89,97351.92,144210.68,47208.24,102039.33,170072.03,262274.93,65061.39,150553.05,247065.13,376140.99,93622.96,207834.68,353072.99,522399.63,122752.04,294664.92,509906.62,783762.84,193064.24,462152.71,809427.8,1300960.71,334743.07,769303.51,1299900.87,1990991.56,414073.27,1015758.03,1675583.19,2509424.19,562627.19,1340080.15,2217084.16,3322394.22,760157.91,1708449.01,2721534.06,3965577.85,845955.99,1954195.14
营业成本,60952.97,85651.95,18237.99,38944.76,67438.28,100709.07,33915.51,70205.06,119965.58,174376.36,46828.21,102185.67,169982.41,263418.03,66146.57,142092.22,242734.46,366492.28,88254.62,203378.63,355129.72,562883.84,137538.99,314758.78,567791.52,957826.67,239139.6,558949.76,972605.26,1513679.35,302384.46,751638.17,1235427.2,1864969.41,403063.6,942069.5,1547766.38,2346731.06,514486.6,1158629.88,1862230.42,2748346.96,548576.59,1284050.63
营业税金及附加,127.26,316.35,84.3,152.18,228.99,331.75,88.69,204.8,327.21,1029.35,1033.59,2093.84,3368.84,5190.93,1150.27,2912.41,5008.26,7806.77,1308.02,3661.51,6376.79,11510.94,2760.72,6218.87,10047.39,15169.41,3278.42,7071.86,11987.51,19687.66,4752.26,9731.49,15755.23,25507.89,6617.83,17423.26,27690.81,37099.38,7029.14,17789.06,28194.13,41832.31,7733.74,16754.79
销售费用,11777.18,19088.15,4910.75,10490.96,15682.8,22680.46,7411.41,16730.21,27411.67,46491.46,10393.28,26712.98,43197.25,62555.25,15013.78,33564.85,57591.44,73187.26,17597.86,41885.52,68375.8,92742.64,26161.38,64512.68,104692.81,153325.01,42803.17,91352.78,144637.74,217904.53,52029.49,121183.15,200770.2,299127.38,70061.96,172692.5,296042.64,443022.01,108462.81,264939.33,417594.26,589250.04,131755.75,321326.01
管理费用,9704.06,14549.54,4142.26,8694.28,13284.71,20079.63,5861.8,13344.8,20924.61,37344.93,8334.07,20344.73,32877.18,50299.27,12262.58,27457.83,47509.94,77053.21,18562.85,41858.7,74330.37,109569.88,28373.0,68803.02,118196.5,164551.82,42246.17,99490.01,159994.18,221122.19,52066.14,127062.96,212382.43,310676.14,74781.74,176170.99,286206.54,420543.76,99505.95,250353.11,96029.33,137601.37,33983.51,73111.02
财务费用,-320.8,-550.09,-296.68,-593.61,-650.18,-910.71,-114.67,-290.6,-396.74,-1900.88,-1527.75,-3578.19,-5154.56,-7928.81,-950.25,-3703.95,-5282.42,-7172.42,-2971.3,-4286.37,-5503.08,-8655.79,-1849.94,-3161.43,-5744.94,-8202.94,-1012.76,-4218.53,-9696.43,-15289.64,-1004.73,-9756.34,-12630.33,-22606.38,2161.95,6550.06,21829.91,26541.13,25743.01,-15852.13,-36768.08,-42425.79,14043.73,-12994.34
资产减值损失,1900.05,1429.51,2.7,1367.32,1367.32,1320.49,45.49,1845.06,1839.71,4933.71,0.0,2794.01,2794.01,2606.33,0.0,5511.32,5511.32,5032.53,0.0,8166.92,11197.03,15711.32,80.09,11020.78,14444.51,18290.74,8288.46,16657.63,20372.61,33887.46,3845.64,15898.6,23878.45,31749.74,5940.12,25173.84,37547.88,48456.89,4930.41,32589.77,46481.7,42694.9,254.14,8014.37
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-374.14,-107.86,303.29,-455.24,-1060.66,-1565.92,-1615.46,-897.9,-828.19,-741.46,-4017.16,430.45,3855.25,3862.67,4209.01,-4225.36,-610.25,519.11,1340.69,330.12,186.64
投资收益,0.0,-240.92,0.0,-155.25,-155.25,-103.33,0.0,-50.0,-50.0,334.47,152.13,152.13,152.13,152.13,0.0,-9.62,-9.62,-29.51,480.67,1311.63,1877.82,3867.43,237.35,6178.04,9710.55,15102.44,4474.09,7916.46,9318.85,14867.34,1018.54,2645.15,4220.71,4049.33,2661.67,4965.22,4654.78,4465.01,2190.47,7826.71,6118.23,5192.96,1573.94,2122.44
其中:对联营企业和合营企业的投资收益,0.0,19.78,0.0,-155.25,-155.25,-103.33,0.0,-50.0,-50.0,334.47,152.13,152.13,152.13,152.13,0.0,-9.62,-9.62,-29.51,-9.42,-21.46,-37.04,-45.47,0.0,-35.27,-35.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.25,-252.53,34.28,253.81,-161.82,-907.29,-357.21,-421.52
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
