报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
一、营业总收入,706368.06,1905077.94,2691613.67,3329655.26,1233433.72,2748008.1,3734189.24,4531346.19,882409.9,2490077.86,3565677.3,4727824.83,1554126.65,3902524.11,5715979.22,7455888.61,3048076.12,6203696.37,8187788.68,9310805.83,1774473.28,3899002.23,5383310.56,6807120.06,2191410.63,4628724.93
营业收入,706368.06,1905077.94,2691613.67,3329655.26,1233433.72,2748008.1,3734189.24,4531346.19,882409.9,2490077.86,3565677.3,4727824.83,1554126.65,3902524.11,5715979.22,7455888.61,3048076.12,6203696.37,8187788.68,9310805.83,1774473.28,3899002.23,5383310.56,6807120.06,2191410.63,4628724.93
二、营业总成本,677644.86,1799924.28,2553017.18,3171439.18,1184403.18,2595113.48,3538734.73,4360314.88,853923.8,2325285.28,3342684.28,4481775.15,1523800.76,3720104.04,5519656.49,7225454.99,2980469.36,5947027.68,7833659.69,8884651.9,1651816.46,3619664.42,4991258.91,6359974.84,2051511.08,4310125.76
营业成本,575404.41,1551745.2,2194252.92,2709648.09,1002172.86,2214730.54,3014229.06,3663153.96,702606.5,1927919.8,2772705.51,3697521.58,1315510.37,3229398.1,4796729.09,6211420.21,2598726.92,5150160.69,6731788.65,7561877.92,1412011.13,3072882.41,4198746.38,5254131.2,1696468.7,3588581.91
营业税金及附加,495.51,1336.63,2186.77,2615.43,540.82,1673.77,2864.29,4156.97,1183.3,2510.4,3692.62,6056.58,1470.22,3429.69,5325.12,8578.94,6218.6,16711.23,28168.09,35189.17,4332.53,13593.54,21563.47,32162.95,7073.66,19992.13
销售费用,66522.37,176331.52,261369.82,326583.57,123184.16,270138.84,367245.59,461387.4,103911.9,294328.39,438679.9,573073.33,148913.52,354528.29,522023.8,694342.73,250941.19,555748.55,759660.02,859088.48,141609.65,332900.04,503786.68,673638.65,214091.62,445657.8
管理费用,21553.88,44831.2,71002.48,104891.77,35294.67,70938.87,115462.36,172542.07,34751.7,74423.31,103867.68,166016.39,42472.59,96237.48,157192.11,266312.84,88146.08,146748.55,218857.02,319109.78,88514.17,154157.7,228494.55,361939.15,102189.08,204266.87
财务费用,2503.8,10712.01,16423.24,25254.71,11150.11,24591.41,34562.12,48141.0,6204.6,11816.28,18768.8,22244.58,2854.57,17263.37,27875.66,46405.59,18450.93,43929.34,75142.53,105147.83,-1703.34,20074.74,24143.04,32274.05,11178.94,36430.36
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值损失,11164.9,14967.73,7781.94,2445.6,12060.56,13040.06,4371.31,10933.48,5265.8,14287.1,4969.79,16862.69,12579.48,19247.11,10510.72,-1605.32,17985.65,33729.32,20043.39,4238.72,7052.32,26055.98,14524.79,5828.84,20509.08,15196.69
公允价值变动收益,53.23,372.99,4472.32,5348.72,-1198.17,0.0,0.0,-2212.62,82.3,1209.19,1408.52,2712.69,-998.38,4054.09,5773.64,11806.91,5680.5,-253.76,7214.01,3874.45,-2682.86,-12592.01,-16984.26,-7582.33,5948.39,22542.15
投资收益,3741.94,8830.78,17595.66,18010.23,31.64,1520.8,2307.94,3912.74,1072.0,2112.01,4170.52,3212.49,666.93,5515.71,8603.72,13431.25,8297.3,20991.9,37301.35,72231.23,9326.16,18989.89,28648.55,34809.57,6887.13,21239.0
其中:对联营企业和合营企业的投资收益,3741.94,8904.36,17670.05,17856.73,31.64,2481.96,3231.49,4613.01,397.4,562.78,1545.51,946.35,41.08,2700.42,4162.87,5121.93,2196.46,2700.42,9356.67,5121.93,1227.98,4244.37,5586.3,7225.6,1920.68,4327.93
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,32518.36,114357.43,160664.48,181575.03,47864.01,154415.42,197762.44,172731.43,29640.4,168113.79,228572.06,251974.86,29994.44,191989.87,210700.08,255671.78,81584.56,277406.84,398644.35,502259.61,129300.11,285735.69,403715.94,474372.46,152735.07,362380.33
加:营业外收入,554.62,2220.43,4108.5,10354.14,626.06,2485.3,6464.18,11969.97,3296.2,5523.56,6715.89,39642.24,65453.89,68588.33,205063.51,257029.64,31951.83,39167.81,57032.45,67634.24,4285.51,11876.34,35806.46,43031.84,5490.76,12559.47
减：营业外支出,482.37,966.06,1957.41,4953.85,2015.4,4759.4,6815.41,9144.26,1363.0,5092.24,7621.5,16334.21,2009.32,4916.37,10049.24,16384.35,901.9,2892.79,7109.94,13841.97,1321.51,4312.99,6158.61,9769.66,1816.41,7161.8
其中：非流动资产处置损失,91.23,224.61,390.27,2784.61,0.0,803.73,2288.34,2914.96,1013.8,2490.73,5985.14,13394.08,536.7,1890.56,2344.25,4275.51,536.63,990.52,1710.37,4640.54,340.02,2271.64,3390.47,2342.19,482.1,1870.37
四、利润总额,32590.62,115611.79,162815.57,186975.31,46474.67,152141.32,197411.21,175557.14,31573.6,168545.11,227666.44,275282.88,93439.01,255661.83,405714.35,496317.08,112634.49,313681.85,448566.86,556051.88,132264.11,293299.03,433363.8,507634.65,156409.42,367778.0
减：所得税费用,2746.99,13093.88,23397.86,19538.34,5403.86,13833.08,21641.22,20446.92,3565.6,21549.33,29505.85,23896.26,13352.77,35176.39,68321.66,91993.22,18472.8,64655.19,89648.2,101955.89,22889.72,53056.2,81395.14,94750.12,24879.47,60912.18
五、净利润,29843.63,102517.91,139417.71,167436.97,41070.81,138308.24,175769.99,155110.22,28008.0,146995.78,198160.59,251386.63,80086.24,220485.44,337392.69,404323.86,94161.7,249026.67,358918.66,454095.99,109374.39,240242.84,351968.66,412884.52,131529.94,306865.82
归属于母公司所有者的净利润,19502.59,71048.35,99600.05,119346.68,27668.82,99058.52,123529.84,103302.47,18748.9,114601.58,155113.68,189190.18,63162.42,178852.71,271906.19,312709.74,71149.95,197532.42,287995.42,369879.73,87081.2,208860.1,300042.37,347733.19,107755.38,260431.27
少数股东损益,10341.04,31469.56,39817.66,48090.29,13713.26,39560.99,52240.15,51807.75,9259.1,32394.21,43046.91,62196.44,16923.83,41632.74,65486.5,91614.12,23011.75,51494.25,70923.25,84216.25,22293.2,31382.74,51926.29,65151.34,23774.57,46434.55
