报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
货币资金,380337.81,427632.0,468872.93,406076.69,522863.22,518423.78,583871.59,592539.66,709727.77,484634.75,656356.79,754358.87,954366.09,994320.56,1147308.47,1413445.9,1619065.95,1821156.64,1903041.66,2155086.17,2288316.58,2319104.5,2576757.81,2784550.72,2880590.7,2575605.58,2457561.04,2576349.53,2277685.64,2004493.54,2081645.93,2238210.66,2421691.02,2285250.25,2536852.41,2637419.02,2702101.83,3057322.59,3366113.71,3466591.78,3644422.97,3446070.27,3700946.45,4059180.34,4284134.62,4242633.07,4064753.29,4896004.89,5679188.59,4989186.99,5645237.18,6323882.57,6189261.64,5567314.81,5748779.78,6820957.7,7337973.31
交易性金融资产,1745.27,1623.88,1616.81,808.62,808.62,808.62,808.62,808.62,808.62,808.62,1061.37,2370.51,2579.91,2074.38,2069.33,2075.63,2247.5,2057.86,1774.55,1826.61,1769.67,1628.63,1528.33,1899.56,1782.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1129777.0,1734919.08,1715625.75,1447936.7,1626197.33,1621515.0,1522273.9,1252170.65,1477759.93,1480439.05,1235474.48,1528559.6,1860991.73,1866306.46
应收票据,70083.54,37998.66,43807.17,52394.25,39769.58,35205.35,51099.7,60174.89,29834.88,56609.62,101178.34,184213.18,141076.22,127695.19,142552.2,218061.63,251651.16,161909.41,165624.44,193867.33,237401.66,239949.95,167128.11,259422.26,288555.25,424710.29,410403.63,362548.47,915357.32,895215.42,736439.65,736942.29,762245.61,742502.4,583064.98,866533.93,1616761.32,1115189.74,848368.17,957909.82,1315910.75,1152779.72,1043421.61,1118820.05,1719607.37,1697755.72,1431973.36,1613464.2,1589064.8,1505865.75,1233893.6,1464314.96,1461193.54,1218487.25,1509249.72,1856842.12,1851862.37
应收账款,6252.74,1067.76,6009.23,679.25,6211.9,1646.05,2036.14,517.09,4142.38,8104.77,21885.62,10275.92,10619.52,12143.14,9525.76,8930.86,13566.24,9017.91,10761.29,7562.02,9130.24,11146.96,13952.35,8099.71,13713.58,12200.39,12779.16,7547.33,9468.21,13299.71,13014.39,12294.77,21477.68,14235.51,12097.11,10695.3,14605.31,12432.24,12768.85,10770.28,15355.68,12174.53,11731.33,10956.95,15311.71,17870.03,15963.34,12733.13,32450.2,16408.15,18277.05,13444.97,19245.51,16987.23,19309.88,4149.62,14444.09
预付款项,171.65,560.3,249.63,762.4,502.34,1050.0,1192.89,4546.3,4123.25,13903.84,18467.59,19568.51,34842.82,32310.61,19190.73,32838.1,27515.76,21845.56,24181.49,25449.75,26322.29,25199.55,27866.47,25871.92,10949.3,22675.46,37559.36,21365.18,14524.62,22404.56,56774.74,29815.57,21109.93,19904.09,19825.03,33213.0,38949.4,31400.64,28184.46,27164.98,36304.79,23747.8,28515.17,19805.84,45936.14,45788.32,66150.51,22091.68,25142.56,22930.87,57036.32,23190.91,51496.64,37241.53,37007.68,24725.91,35867.73
应收利息,1106.31,3405.75,2205.59,4321.96,672.4,4934.31,201.38,5281.89,1309.0,1359.29,202.14,2933.78,1205.73,4818.3,1755.52,6371.45,3987.31,14782.86,13664.15,29594.02,29446.92,37742.45,42991.84,41817.58,44682.02,46811.62,45586.75,35519.7,29618.3,34229.99,30867.38,21639.91,25609.78,37159.13,39391.91,39851.12,43480.42,57994.83,55303.09,60401.92,69600.54,82986.32,74972.17,61313.64,69858.66,89620.95,0.0,84088.89,102620.88,126782.88,135241.36,121527.52,127679.46,149982.7,132892.64,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,2653.28,2827.46,3184.13,2759.28,2926.82,2910.52,2971.55,2593.67,3775.52,2908.17,5024.3,6886.43,9763.34,7143.9,5854.13,3770.06,6197.97,5225.09,4894.62,4277.99,5187.53,5745.16,12359.9,2569.21,3514.05,3628.63,4994.47,2333.21,3028.12,2958.49,8710.68,1956.01,3791.97,2619.21,3418.33,1943.63,3221.12,6332.57,7693.66,1878.3,3103.44,2524.66,4041.84,2113.13,4573.68,5470.18,87919.31,3088.15,0.0,4857.22,0.0,3336.94,0.0,7165.8,0.0,3619.96,0.0
