报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
一、营业总收入,8329.85,19393.41,31955.22,46997.03,10568.69,25394.01,38121.63,55104.27,12178.24,26319.6,41396.54,57385.33,14247.15,29217.49,45951.6,63779.73,16308.79,33352.8,55684.34,78449.92,20882.35,43326.44,71562.44,99152.78,26816.68,55168.22,86468.81,120424.04,32876.6,65568.11,102897.04,145134.01,39866.82,78030.61,123880.35,166931.24,45138.49,89045.97,147882.25,204039.45,56535.99,118157.01,185265.14,254532.5,71933.39,146336.24,200879.13,269292.75,71428.32,143466.39,205720.74,277714.89,71855.1,147480.38,218562.56,289216.92,82287.74,166229.92,245502.09,326789.75,88747.73,138752.59,209906.24
营业收入,8329.85,19393.41,31955.22,46997.03,10568.69,25394.01,38121.63,55104.27,12178.24,26319.6,41396.54,57385.33,14247.15,29217.49,45951.6,63779.73,16308.79,33352.8,55684.34,78449.92,20882.35,43326.44,71562.44,99152.78,26816.68,55168.22,86468.81,120424.04,32876.6,65568.11,102897.04,145134.01,39866.82,78030.61,123880.35,166931.24,45138.49,89045.97,147882.25,204039.45,56535.99,118157.01,185265.14,254532.5,71933.39,146336.24,200879.13,269292.75,71428.32,143466.39,205720.74,277714.89,71855.1,147480.38,218562.56,289216.92,82287.74,166229.92,245502.09,326789.75,88747.73,138752.59,209906.24
二、营业总成本,6116.61,17361.56,28291.85,44705.74,8351.7,20364.1,30516.96,49454.88,8957.61,19671.93,33600.45,52111.21,11493.93,24993.05,39306.88,59155.19,12393.81,27927.36,48446.48,76769.57,15889.85,35442.98,57274.4,95082.9,19125.55,42026.18,64677.27,100324.84,23797.11,48712.65,78469.47,112997.32,25755.92,51620.83,82988.83,112032.17,26540.33,52333.43,89083.31,128718.91,32457.42,70317.21,108765.88,157856.04,40810.71,85308.06,123544.09,174370.58,40335.79,83313.07,127660.77,183779.84,39761.46,85323.78,132825.91,180414.05,43246.37,91588.71,143967.0,200061.82,43914.08,91907.45,138589.81
营业成本,3272.65,9979.14,16727.27,24215.78,4742.45,11924.3,17633.45,26215.32,4413.8,10679.38,17730.31,24518.08,6055.01,12042.37,17895.55,24344.92,5670.98,11703.82,20008.43,29539.65,6563.45,14772.42,25737.62,35729.64,7983.89,18093.48,28226.01,38541.54,10660.79,20020.03,31827.36,45204.73,10661.22,20743.37,32297.26,41292.25,9948.28,20326.09,36310.0,49185.26,13682.97,29418.81,45752.13,64445.98,19324.04,38429.36,56359.07,74503.06,17840.65,35998.81,51935.49,72150.82,14732.75,30902.21,46114.21,58837.66,13846.99,29123.65,42531.02,57565.19,15046.78,30687.12,45079.19
营业税金及附加,42.74,92.43,149.44,174.99,55.09,128.94,186.72,282.05,59.58,113.63,166.13,236.95,63.98,121.16,207.25,777.87,79.44,171.45,320.44,475.38,168.8,321.04,535.74,740.73,225.73,358.92,548.16,840.13,273.36,528.47,829.12,1153.35,108.29,204.91,311.54,554.93,86.64,175.4,1348.26,1897.56,314.38,784.46,1160.75,1685.29,489.72,920.03,1481.12,2014.69,454.66,869.33,1411.31,1849.47,384.62,695.18,1111.54,1147.45,431.26,751.81,1183.65,1126.71,438.53,846.19,1230.26
销售费用,1351.05,3028.93,4102.73,9069.43,1480.38,3770.85,5413.43,10304.4,2032.2,4054.51,8086.92,14741.21,3249.18,7668.21,13369.46,21134.84,3967.18,10285.49,18154.1,28173.24,5748.97,13790.8,21452.43,35156.63,7396.86,16501.39,24820.99,43482.04,8728.09,19738.69,33051.62,43974.88,10418.21,21339.43,35674.08,46728.97,10776.71,20660.99,33983.82,49440.92,12247.29,27305.6,41172.54,62296.58,14823.0,33414.79,46152.03,70102.17,15668.65,34132.57,55692.7,84879.42,18329.8,39576.33,63356.19,90927.32,19811.66,43413.11,72278.36,102250.49,20930.13,45615.52,68661.09
管理费用,1109.54,3449.3,5971.5,8244.84,1536.44,3515.46,5524.36,8630.16,1587.19,3059.05,5060.62,8279.77,1554.05,4026.01,6221.34,10482.86,2283.55,4920.02,8780.14,14788.08,3001.13,5823.37,8497.86,14154.52,3194.02,6340.58,9904.13,14935.77,3694.65,7452.32,11145.61,18417.91,3653.84,7592.5,11909.77,21083.44,4454.91,8601.36,13451.88,22877.82,5331.15,11143.77,18240.96,26101.01,6223.29,12455.8,11692.03,16345.76,3762.16,7619.32,11736.23,15745.38,3922.78,8475.84,13256.42,18200.89,5572.48,11288.5,16751.41,23242.74,4824.1,9457.73,13335.17
财务费用,340.63,811.76,1340.91,1922.53,537.34,1024.56,1759.01,2412.77,864.84,1765.37,2556.47,3281.47,571.72,1135.3,1613.28,2254.05,392.65,846.59,1183.37,1445.55,407.5,735.35,1050.75,1425.15,325.04,731.8,1177.99,1769.03,440.22,973.14,1615.77,2684.44,914.36,1740.62,2796.17,1695.61,1273.79,2569.59,3989.36,4673.32,485.19,927.98,1334.59,1399.68,-49.34,88.08,575.06,1033.58,647.86,1159.68,1305.03,1350.41,157.82,509.92,783.37,608.13,-214.08,-442.17,-605.43,-808.9,-258.2,-656.41,-943.62
资产减值损失,0.0,0.0,0.0,1078.17,0.0,0.0,0.0,1610.18,0.0,0.0,0.0,1053.72,0.0,0.0,0.0,160.65,0.0,0.0,0.0,2347.67,0.0,0.0,0.0,7876.23,0.0,0.0,0.0,756.32,0.0,0.0,0.0,1562.01,0.0,0.0,0.0,676.96,0.0,0.0,0.0,644.04,396.44,736.6,1104.91,1927.51,0.0,0.0,0.0,606.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.89,79.67,147.44,202.93,-36.89,0.0,0.0,0.0
