报表日期,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
货币资金,1034.0,6356.01,6085.12,39536.65,40954.37,32805.66,31140.16,33066.69,37940.63,35188.04,30302.06,28792.16,36508.08,30152.83,32063.46,32103.91,58749.98,55185.65,41825.57,51465.18,73120.64,60362.17,47229.46,47569.31,87405.0,69452.28,62217.07,45574.56,75531.26,54593.55,156125.65,142230.23,118665.57,90200.12,94942.62,65122.1,140876.64,75438.42,109792.12,105760.45,126823.31,132497.98,134007.39,120843.72,124010.18,102200.56,96496.16,112190.48
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3907.36,2929.47,2949.99,1953.39,0.0,0.0,20143.31,20145.52,20126.68,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22102.15,0.0,20091.69,0.0,24211.46,0.0,39471.86,37792.78,42899.26,41712.6,52500.26,54377.84,59017.98,64543.74,60368.94,62561.05,53536.01,51144.67
应收票据,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,260.0,1110.0,5543.04,1480.04,2710.0,3400.0,1490.04,1820.02,478.0,50.0,0.0,80.0,100.0,0.0,0.0,1511.85,1237.0,1237.0,0.0,0.0,736.78,0.0,0.0,0.0,103.17,0.0,103.17,0.0,0.0,0.0,0.0,1230.0
应收账款,298.49,453.96,554.27,322.94,510.76,736.31,751.47,890.56,772.91,869.17,1515.82,1758.49,1290.12,1312.79,2529.35,2387.71,4140.87,4898.79,4234.4,5955.35,7312.78,8392.93,7620.25,11059.2,13319.11,12373.26,16014.16,29529.24,16864.34,25839.61,22102.15,22840.91,18854.69,21097.94,24211.46,27901.23,38735.08,37792.78,42899.26,41712.6,52397.09,54377.84,58914.8,64543.74,60368.94,62561.05,53536.01,49914.67
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,999.09,308.54,395.96,443.59,68.34,897.8,1504.07,507.65,439.68,1365.06,2149.69,1707.8,1012.04,604.9,968.05,635.46,792.48,1705.44,2836.34,317.97,1825.45,601.86,494.86,1736.03,1262.33,817.79,3320.05,26160.08,19091.66,23771.92,27232.43,24060.53,25781.09,14897.23,27687.79,28471.69,19069.15,15630.98,16653.75,16889.46,4011.53,4588.9,6278.2,4444.8,825.73,1268.7,855.38,1562.91
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5312.13,0.0,6029.04,0.0,6636.05,0.0,10560.85,10926.01,9458.24,10103.16,15056.44,8559.58,8385.82,9860.51,5707.34,6568.13,5212.41,6512.49
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.55,0.0,0.0,0.0,0.0,0.0,66.41,0.0,0.0,0.0,0.0,0.0,0.0,649.87,0.0,0.0,0.0,332.7,0.0
