报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
货币资金,5478.39,10640.0,4307.03,13252.94,13467.23,7601.72,30857.3,4357.23,6886.26,9569.86,27940.15,6324.43,6618.16,6376.4,27239.69,26226.75,3528.46,4957.54,14659.17,2916.54,7445.96,10710.65,57501.24,17972.49,21086.4,36935.67
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19500.0,26000.0,15000.0,27000.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12941.16,0.0,15640.81,0.0,23124.93,0.0,22405.89,21935.21,21992.47,21144.75,23430.14,23681.94,25350.67,23995.71,101602.94,103542.4,110214.86,97600.24
应收票据,1222.12,461.48,149.23,0.0,288.16,426.0,1044.9,3514.07,725.53,113.97,218.67,688.75,2000.86,806.98,3160.67,2850.32,1500.0,1820.8,3184.5,4091.14,1354.96,678.69,1449.61,2369.43,2096.04,1529.59
应收账款,6910.36,7519.58,9394.4,10349.31,11655.7,10682.15,15279.65,10474.53,12215.63,15559.62,15422.14,20855.43,21124.06,18746.87,19245.22,19084.9,20492.47,19323.95,20245.64,19590.8,23995.71,23317.02,100153.34,101172.96,108118.82,96070.65
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,649.13,474.04,371.93,325.51,566.82,1384.05,1003.47,195.98,1963.93,4689.94,414.34,774.59,1126.43,1906.02,1176.49,1086.35,695.99,1125.97,755.79,1073.68,840.31,1866.57,939.38,2705.48,5168.99,3923.24
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,812.63,0.0,684.45,0.0,279.54,0.0,473.72,637.74,360.12,986.19,514.02,743.2,528.33,302.79,3199.04,2324.21,3576.15,3495.62
应收利息,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,232.49,723.75,999.23,719.71,587.87,692.21,879.72,497.16,812.63,676.58,684.45,706.44,279.54,350.89,473.72,637.74,360.12,986.19,514.02,0.0,528.33,0.0,3199.04,0.0,3576.15,0.0
