报表日期,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
减：所得税费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.55,1227.47,2052.51,3056.44,593.44,1783.74,3521.52,4046.63,825.22,1972.74,3783.65,4562.25,820.69,3212.7,4688.32,4450.69,782.22,1795.1,2762.22,2239.56,423.04,534.2,612.39,69725.6,11462.3,30874.9,54822.7,67812.2,14651.4,90465.6
五、净利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2126.03,5942.97,10232.26,15352.15,2617.3,7369.8,15508.71,18752.16,3309.08,9140.5,17065.7,24281.89,3676.57,10132.68,17075.85,23441.2,3822.98,9256.68,13693.5,16948.39,1591.89,2686.51,4689.8,342177.6,48186.8,155320.5,250726.8,350829.8,62252.6,403176.3
归属于母公司所有者的净利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2033.67,5517.19,9500.62,14495.53,2606.21,7167.32,14978.08,18060.48,3224.78,8799.78,16308.76,23355.42,3653.13,9872.48,16437.3,22548.31,3757.27,8872.82,13028.3,15944.74,1640.36,2613.09,4483.13,337198.1,47794.5,153701.4,251582.1,353483.5,64744.9,405249.7
少数股东损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.36,425.78,731.65,856.62,11.09,202.48,530.63,691.68,84.3,340.72,756.94,926.47,23.44,260.2,638.54,892.9,65.71,383.86,665.21,1003.65,-48.46,73.41,206.67,4979.5,392.3,1619.1,-855.3,-2653.7,-2492.3,-2073.4
基本每股收益(元/股),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.1428,0.2424,0.6609,0.1163,0.1749,0.3646,0.4405,0.0804,0.2196,0.4071,0.5831,0.0912,0.2465,0.4107,0.5757,0.096,0.2268,0.333,0.4024,0.0413,0.0658,0.1129,0.0,0.07,0.23,0.38,0.53,0.1,0.6
稀释每股收益(元/股),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.1428,0.2424,0.6609,0.1163,0.1749,0.3646,0.4405,0.0,0.2196,0.4071,0.5831,0.0912,0.2465,0.4107,0.5725,0.0954,0.2253,0.3309,0.4015,0.0413,0.0658,0.1129,0.0,0.07,0.23,0.38,0.53,0.1,0.6
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.51,-0.48,-0.45,-19758.5,-10429.7,7231.6,15549.1,237780.5,77398.9,5827.3
八、综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.97,10232.26,15352.15,0.0,7369.8,15508.71,18752.16,3309.08,9140.5,17065.7,24281.89,3676.57,10132.68,17075.85,23441.2,3822.98,9256.68,13693.5,16948.36,1591.38,2686.02,4689.35,322419.1,37757.1,162552.1,266275.9,588610.3,139651.5,409003.6
归属于母公司所有者的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5517.19,9500.62,14495.53,0.0,7167.32,14978.08,18060.48,3224.78,8799.78,16308.76,23355.42,3653.13,9872.48,16437.3,22548.31,3757.27,8872.82,13028.3,15944.71,1639.84,2612.61,4482.68,318123.5,37292.8,160380.3,266185.5,590194.9,142280.4,411049.0
归属于少数股东的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.78,731.65,856.62,0.0,202.48,530.63,691.68,84.3,340.72,756.94,926.47,23.44,260.2,638.54,892.9,65.71,383.86,665.21,1003.65,-48.46,73.41,206.67,4295.6,464.3,2171.8,90.4,-1584.6,-2628.9,-2045.4
