报表日期,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31
一、营业总收入,6279.29,12284.41,9308.32,14227.16,19326.38,5640.07,12204.54,18578.77,25431.51,7497.54,16633.01,24582.52,33651.89,11564.99,23091.94,41890.06,62456.17,21630.38,42706.39,65655.54,95699.77,27449.73,56576.75,84944.18,117453.82,35533.23,74319.45,117494.62,168703.35,47315.25,103277.01,159444.59,230065.97,60888.9,133729.46,203099.79,280330.93,65010.51
营业收入,6279.29,12284.41,9308.32,14227.16,19326.38,5640.07,12204.54,18578.77,25431.51,7497.54,16633.01,24582.52,33651.89,11564.99,23091.94,41890.06,62456.17,21630.38,42706.39,65655.54,95699.77,27449.73,56576.75,84944.18,117453.82,35533.23,74319.45,117494.62,168703.35,47315.25,103277.01,159444.59,230065.97,60888.9,133729.46,203099.79,280330.93,65010.51
二、营业总成本,5552.27,8835.18,6458.71,10151.55,13907.82,4118.86,8818.28,13498.31,18236.23,5004.52,11260.9,16728.28,23533.55,8232.53,16035.47,30167.12,46090.19,17330.41,32991.76,50789.46,74312.74,22316.59,46273.04,70865.15,101475.44,28693.4,57711.74,91643.17,132779.21,38044.37,79571.17,125977.43,183323.18,46746.2,96798.61,147707.16,207573.03,49595.03
营业成本,3866.6,6376.27,4763.8,7322.78,10110.21,2943.63,6435.74,9550.91,13016.62,3904.72,9009.0,13515.45,18482.45,5867.2,11483.33,21692.17,32899.82,11774.29,22475.4,34832.04,53474.7,15425.21,33080.19,50249.87,72787.39,20323.71,42249.48,66829.54,96260.54,26056.79,55944.31,91418.59,130891.34,33682.1,70136.53,107842.88,150040.55,34948.77
营业税金及附加,252.88,310.14,226.08,424.21,493.33,186.29,359.75,585.28,756.11,48.5,88.65,118.27,149.36,43.1,83.24,125.72,184.8,50.79,94.4,148.5,175.05,61.29,119.67,172.48,280.27,79.21,206.8,332.25,472.07,137.23,466.31,685.4,928.54,190.89,484.21,767.95,1100.31,224.88
销售费用,292.88,466.72,250.69,375.02,528.78,209.27,356.3,506.8,642.14,206.12,410.12,613.39,740.45,350.05,619.56,938.34,1921.48,598.19,1012.24,1447.73,3166.47,756.47,1252.46,1878.45,3580.82,963.83,1247.58,1968.87,3974.93,1329.55,2959.1,3585.79,5445.44,1812.79,3940.03,5993.16,8107.15,2295.63
管理费用,1185.71,1632.41,1146.59,1929.36,2633.69,746.29,1608.99,2919.13,4120.5,1155.05,2277.71,3403.87,5084.83,2083.45,4164.95,8051.71,11010.78,4801.52,9271.58,14159.85,16915.94,5801.16,11090.84,17443.8,22924.23,6938.38,13288.0,20645.2,28614.36,9319.57,18441.04,21817.23,31419.78,7696.71,14975.03,23113.37,34964.29,8027.03
财务费用,-9.35,2.64,0.93,-24.66,-11.69,-10.35,-10.22,-222.67,-522.59,-375.38,-694.09,-1047.12,-1216.93,-300.11,-631.93,-1103.26,-778.8,56.02,69.05,65.55,-462.86,238.64,162.71,289.65,-38.55,139.38,412.21,1117.74,1165.59,737.48,897.04,85.0,739.28,506.22,1398.2,1036.43,955.79,263.12
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.4,8802.54,3004.93,5864.61,8953.37,12404.93,3835.6
资产减值损失,-36.44,47.0,70.62,124.85,153.5,43.73,67.72,158.86,223.45,65.51,169.51,124.41,293.4,188.84,316.31,462.44,852.11,49.59,69.08,135.79,1043.45,33.81,567.17,830.91,1941.29,248.9,307.67,749.58,2291.71,463.76,863.37,885.02,5096.26,-147.44,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-596.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-415.2,347.44,517.62,471.78,515.41,-100.21,-100.21,-100.21,18499.6,5770.73
投资收益,94.02,3.37,68.73,79.1,87.74,0.0,0.0,0.0,0.0,10.76,16.83,26.94,87.44,-9.82,-0.29,-18.09,580.13,462.39,927.24,904.19,574.77,43.09,38.12,-40.34,3815.8,187.05,1873.83,3943.05,5335.32,1919.57,3143.99,5293.16,11885.38,4285.11,7176.3,11147.31,17982.8,7663.28
其中:对联营企业和合营企业的投资收益,92.36,0.22,0.17,0.0,0.17,0.0,0.0,0.0,0.0,10.76,0.0,0.0,0.0,-9.82,0.0,0.0,0.0,0.0,0.0,0.0,-103.4,0.0,0.0,0.0,-247.43,0.0,0.0,0.0,-619.87,0.0,0.0,0.0,959.83,0.0,0.0,0.0,-976.77,0.0
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,821.03,3452.6,2918.35,4154.7,5506.3,1521.22,3386.26,5080.46,7195.29,2503.79,5388.94,7881.18,10205.77,3322.64,7056.18,11704.85,16946.11,4762.36,10641.87,15770.27,21365.28,5176.23,10341.83,14038.68,19794.17,7026.87,18481.55,29794.5,41682.64,11539.05,27526.5,39567.57,59585.12,18378.17,43269.01,66000.99,108464.67,28644.5
加:营业外收入,62.54,189.63,189.91,216.07,300.44,254.92,456.9,531.21,789.41,46.15,47.55,138.79,1001.9,268.2,296.23,299.65,312.74,244.12,248.42,363.41,702.46,402.96,962.69,1195.35,1551.81,43.27,223.8,756.51,1617.48,63.15,479.37,1051.75,1212.06,22.15,301.06,507.59,590.04,176.43
减：营业外支出,63.22,12.73,93.54,103.66,111.74,5.04,22.54,105.04,115.1,0.09,0.43,22.33,126.86,0.0,80.55,81.45,92.7,0.0,1.02,123.23,47.14,1.38,2.85,18.05,139.95,3.25,10.86,124.61,175.15,12.96,223.75,147.18,189.96,12.43,15.56,119.9,138.53,295.1
其中：非流动资产处置损失,62.52,0.41,0.0,0.0,0.15,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.55,0.0,1.78,0.0,0.91,0.0,35.53,0.0,2.29,0.0,36.39,0.0,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,820.35,3629.5,3014.71,4267.11,5695.01,1771.1,3820.62,5506.63,7869.6,2549.84,5436.07,7997.64,11080.81,3590.84,7271.87,11923.06,17166.15,5006.48,10889.27,16010.45,22020.6,5577.82,11301.67,15215.98,21206.03,7066.9,18694.49,30426.4,43124.97,11589.24,27782.12,40472.14,60607.22,18387.88,43554.51,66388.68,108916.18,28525.84
减：所得税费用,60.05,405.84,662.76,953.82,885.17,270.57,596.66,867.55,1086.98,395.04,840.0,1255.53,1606.07,881.35,1617.16,2878.72,3526.63,1035.35,2342.62,3633.3,4631.45,1190.77,2686.97,3947.71,5527.96,1913.85,4601.57,7216.54,9907.66,1633.73,4391.74,6254.33,9927.51,3213.65,5734.87,8669.96,11383.95,2592.56
五、净利润,760.31,3223.66,2351.95,3313.29,4809.84,1500.53,3223.96,4639.08,6782.62,2154.8,4596.07,6742.11,9474.74,2709.49,5654.71,9044.34,13639.53,3971.14,8546.65,12377.15,17389.15,4387.05,8614.7,11268.27,15678.07,5153.05,14092.92,23209.86,33217.32,9955.51,23390.38,34217.81,50679.72,15174.23,37819.63,57718.71,97532.24,25933.27
归属于母公司所有者的净利润,780.1,3170.93,2320.2,3278.9,4779.18,1484.97,3220.5,4637.94,6774.85,2192.35,4625.82,6732.65,9405.65,2675.61,5422.05,8481.88,12549.63,3587.96,7592.45,11050.77,15627.8,4020.96,7815.2,9966.86,14065.2,4338.24,11962.95,20036.17,30101.39,9590.44,21865.31,31792.16,47218.39,14550.79,35211.83,52812.42,84163.48,25496.0
少数股东损益,-19.79,52.73,31.76,34.39,30.66,15.55,3.46,1.13,7.77,-37.55,-29.76,9.46,69.09,33.88,232.66,562.45,1089.89,383.17,954.2,1326.38,1761.35,366.09,799.51,1301.41,1612.87,814.81,2129.97,3173.69,3115.92,365.07,1525.07,2425.66,3461.32,623.43,2607.81,4906.29,13368.75,437.27
基本每股收益(元/股),0.23,0.8,0.58,0.82,1.19,0.37,0.81,0.87,1.52,0.41,0.4331,0.63,0.88,0.25,0.2538,0.3971,0.59,0.17,0.1766,0.2569,0.36,0.09,0.17,0.2115,0.3,0.09,0.2392,0.4006,0.6018,0.19,0.4372,0.6356,0.9440000000000001,0.2909,0.7055,0.7045,1.13,0.3402
稀释每股收益(元/股),0.23,0.8,0.58,0.82,1.19,0.37,0.81,0.87,1.52,0.41,0.4331,0.63,0.88,0.25,0.2531,0.3958,0.59,0.17,0.1764,0.2545,0.36,0.09,0.17,0.2091,0.3,0.09,0.2392,0.4006,0.6018,0.19,0.4372,0.6356,0.9440000000000001,0.2909,0.7055,0.7045,1.13,0.3402
七、其他综合收益,-0.04,-0.12,0.0,0.0,-0.11,0.0,-0.03,0.0,-2.16,0.0,-8.15,-1.92,-11.8,-1.25,10.84,-14.78,-484.24,35.87,-3.24,-4.94,350.49,-641.65,99.54,57.91,863.11,164.7,-411.89,-789.06,-441.96,16.01,498.42,1477.32,352.19,-220.81,445.29,3374.64,3841.32,2466.65
八、综合收益总额,760.27,3223.54,2351.95,3313.29,4809.73,1500.53,3223.93,4639.08,6780.45,2154.8,4587.92,6740.19,9462.95,2708.25,5665.55,9029.56,13155.28,4007.01,8543.41,12372.21,17739.64,3745.39,8714.25,11326.17,16541.18,5317.75,13681.04,22420.8,32775.36,9971.53,23888.8,35695.14,51031.9,14953.42,38264.93,61093.35,101373.55,28399.92
归属于母公司所有者的综合收益总额,780.07,3170.81,2320.2,3278.9,4779.06,1484.97,3220.47,4637.94,6772.69,2192.35,4617.68,6730.73,9393.86,2674.36,5432.89,8467.11,12061.03,3609.03,7585.91,11032.65,15729.36,3484.4,7936.98,9928.6,14547.53,4524.93,11656.71,19327.18,29962.1,9960.32,22485.92,33072.97,47194.39,14469.95,35592.1,54847.48,87041.35,26831.67
归属于少数股东的综合收益总额,-19.79,52.73,31.76,34.39,30.66,15.55,3.46,1.13,7.77,-37.55,-29.76,9.46,69.09,33.88,232.66,562.45,1094.26,397.98,957.5,1339.56,2010.28,260.99,777.26,1397.57,1993.65,792.82,2024.33,3093.62,2813.26,11.21,1402.88,2622.17,3837.51,483.47,2672.83,6245.87,14332.2,1568.25
