报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
一、营业总收入,40191.27,90015.12,138711.71,195966.01,59849.46,119748.3,178729.99,239256.12,71156.14,142914.37,221147.03,302896.09,94247.61,186940.55,281402.77,374410.63,111920.57,216672.11,331921.56,455039.18,133999.87,261075.63,403959.85,543506.76,148185.28,296925.1,453719.94,620307.44,172139.68,351044.31,548967.14,745225.31,220394.64,438620.12,687081.92,931596.02,266860.3,527911.14,826407.31,1109372.41,316936.5,634459.47,1006611.91,1383562.94,385712.81,776074.95,1245876.83,1741790.11,496685.41,1002630.0
营业收入,40191.27,90015.12,138711.71,195966.01,59849.46,119748.3,178729.99,239256.12,71156.14,142914.37,221147.03,302896.09,94247.61,186940.55,281402.77,374410.63,111920.57,216672.11,331921.56,455039.18,133999.87,261075.63,403959.85,543506.76,148185.28,296925.1,453719.94,620307.44,172139.68,351044.31,548967.14,745225.31,220394.64,438620.12,687081.92,931596.02,266860.3,527911.14,826407.31,1109372.41,316936.5,634459.47,1006611.91,1383562.94,385712.81,776074.95,1245876.83,1741790.11,496685.41,1002630.0
二、营业总成本,29205.77,72720.72,106632.21,159286.01,42158.97,86047.03,131296.5,178347.08,50569.97,105970.03,170336.08,233215.19,70104.61,139820.29,212224.56,289986.07,79817.43,158202.22,248536.97,351916.15,96694.5,189855.01,302354.77,413506.41,107594.42,217754.58,339728.68,475220.15,124872.73,258518.39,412524.45,568000.59,153957.38,309448.7,497450.91,675456.84,185969.82,373798.47,597920.78,808413.83,222592.93,450463.26,733694.59,1022359.97,275445.32,558042.46,915784.16,1323434.16,361847.35,739042.59
营业成本,6085.86,15665.91,23693.19,33037.42,9376.71,22063.29,30614.41,40087.29,11618.63,22895.61,35274.09,52385.17,14203.46,28367.92,43644.12,60550.32,19376.18,36163.87,56549.2,78414.33,22427.51,40830.23,62179.48,87039.68,23680.32,59708.25,88374.31,115808.17,31556.11,65150.78,97268.47,131321.61,36195.19,68604.45,102984.72,137167.05,38297.53,70459.22,108702.4,143463.14,41838.7,85150.25,135430.44,184987.71,52190.01,103923.06,167757.35,233456.81,67633.52,133456.07
营业税金及附加,663.51,1450.2,2220.28,3116.77,988.46,1881.72,2836.92,3770.64,1160.03,2273.76,3387.08,4521.94,1493.21,2841.54,4254.33,5612.29,1657.02,3454.03,5165.51,6868.1,2363.85,4553.48,7169.43,9508.38,2705.0,5259.61,7950.6,10625.43,3203.04,6341.09,9880.33,13271.31,3870.2,7409.87,11678.32,15563.57,4553.8,8952.51,14350.48,20265.84,5897.91,11846.18,18445.03,25362.02,7285.39,12940.72,18762.93,23677.82,5337.71,10158.56
销售费用,15201.5,37442.09,53531.75,79809.49,22659.36,49167.35,72526.76,96543.6,28024.37,65568.33,100861.11,134550.48,39024.28,82298.86,120220.49,160467.89,44586.4,86772.96,133431.03,191196.7,53031.37,106398.8,172908.56,233963.53,59258.03,99383.42,164800.98,235478.96,59637.95,127283.06,208087.84,284424.3,75996.77,153177.77,257365.8,352497.87,97449.41,196146.48,318385.52,435162.07,113595.32,227936.18,378665.42,518892.34,139872.49,280112.24,464189.89,646449.1,177565.14,365141.31
管理费用,7375.16,17504.89,26508.1,40622.96,8377.85,12022.44,24913.01,34196.6,9687.32,15502.27,31752.84,43572.31,14847.41,24891.74,42329.83,62139.22,14489.43,31885.37,52575.16,75764.9,18430.96,37458.44,65845.76,89189.42,21736.0,53487.08,79244.0,115560.39,31184.87,63191.37,102866.52,146352.77,39842.89,85337.83,133550.7,184343.38,49047.66,105522.23,168418.28,226635.42,62460.5,128711.36,203912.27,295270.39,79390.61,165774.66,100025.74,162632.32,44768.6,87189.92
财务费用,-120.26,19.73,91.27,390.15,242.67,458.21,63.75,466.81,79.62,-138.57,-662.39,-834.08,-344.1,-421.28,-570.66,-1095.38,-325.37,-351.38,-632.01,-1415.37,-284.83,-580.7,-981.46,-1647.37,-141.55,-508.01,-808.93,-2504.78,-795.19,-3272.96,-5571.74,-8057.98,-2573.57,-5933.3,-8568.52,-14834.58,-3961.02,-8060.9,-11820.73,-16593.69,-1937.42,-3957.42,-4246.54,-3663.17,-2363.38,-5044.91,-9918.14,-12364.34,-572.77,-5314.79
资产减值损失,0.0,637.91,587.63,2309.22,513.92,454.02,341.66,3282.13,0.0,-131.38,-276.66,-980.62,880.34,1841.51,2346.44,2311.75,33.78,277.37,1448.07,1087.49,725.64,1194.75,-4767.0,-4547.23,356.62,424.22,167.72,251.98,85.96,-174.95,-6.97,688.57,625.9,852.09,439.89,719.55,582.43,778.93,-115.18,-518.96,737.91,776.7,1487.98,1510.69,-929.79,336.7,1315.95,2534.4,953.12,0.0
公允价值变动收益,-52.85,692.3,1054.09,10199.57,-9017.35,-9882.87,-12300.21,-18114.81,3899.4,6992.01,5233.93,8545.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-469.36,278.98
