报表日期,2007-06-30,2007-12-31,2008-06-30,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
一、营业总收入,872177.8,2149654.6,1270392.9,2772720.9,4111391.2,1324652.8,2526460.7,3589063.0,4844841.6,1171033.5,2254466.4,3433408.9,4882691.9,1173427.2,2258201.2,3310894.0,4685377.4,1288387.1,2604093.3,3870448.9,5286328.4,1172387.1,2671570.6,4040860.3,5819587.8,1528250.4,3158236.6,4849357.4,8000896.8,2028524.7,4494956.5,7279779.0,10346999.7,2104613.8,4503763.7,7393289.5,10591470.2,2473756.5,5415093.0,8898132.6,13005470.7,3030411.1
营业收入,872177.8,2149654.6,1239414.0,2772720.9,4111391.2,1324652.8,2526460.7,3589063.0,4844841.6,1171033.5,2254466.4,3433408.9,4882691.9,1173427.2,2258201.2,3310894.0,4685377.4,1288387.1,2604093.3,3870448.9,5286328.4,1172387.1,2671570.6,4040860.3,5819587.8,1528250.4,3158236.6,4849357.4,8000896.8,2028524.7,4494956.5,7279779.0,10346999.7,2104613.8,4503763.7,7393289.5,10591470.2,2473756.5,5415093.0,8898132.6,13005470.7,3030411.1
二、营业总成本,804531.5,1975366.6,1118169.9,2676677.9,3696352.8,1143972.2,2264314.7,3313423.2,4570668.7,1137263.6,2221336.0,3391748.3,4792031.8,1170211.7,2265462.0,3323262.2,4714695.7,1275229.4,2573376.9,3838312.7,5270822.3,1171180.4,2637526.0,4063982.1,5844335.9,1514869.5,3103073.9,4748307.4,7806158.0,1914607.2,4205585.2,6803124.8,9673951.2,2020910.7,4304288.7,7054543.8,10137331.7,2490916.5,5441523.6,8868466.3,12836582.2,2977005.3
营业成本,685342.5,1706006.3,1001329.8,2203229.9,3147976.2,987060.7,1949054.9,2843901.5,3917397.6,971709.1,1899196.0,2889167.2,4043878.9,969222.9,1904656.8,2824170.3,4015306.4,1083040.3,2189921.9,3266148.7,4474555.5,972965.7,2225381.7,3420216.5,4914388.6,1265959.7,2607575.0,3989019.2,6651355.9,1641955.4,3558844.1,5745415.0,8240090.0,1662572.5,3588539.4,5925104.4,8577548.2,2049660.6,4552737.8,7436514.6,10872534.3,2453198.4
营业税金及附加,0.0,0.0,0.0,30042.4,67361.5,24162.7,40226.4,49711.1,65965.6,17772.4,35234.5,57391.8,96971.4,34362.3,58402.4,80017.0,110920.7,35729.2,63309.2,86408.3,120353.4,21865.0,46407.7,65698.3,95743.5,33468.8,66093.0,88385.8,126732.6,30764.8,61632.9,92870.0,151171.7,31992.7,56193.8,85276.2,132947.7,45367.4,84803.9,147110.7,214562.9,40524.2
销售费用,31860.9,64818.7,44609.1,93423.1,148773.5,50257.7,101484.9,148943.8,217588.1,48897.2,84726.6,122432.0,179975.7,42252.4,79165.4,108961.2,151179.7,46185.6,99111.4,140682.1,201184.5,47277.3,98581.4,159096.2,222875.8,61131.2,120113.0,173837.1,286799.2,60233.2,180404.7,286383.1,419633.9,105899.6,224895.2,353775.8,492528.8,117227.7,262396.8,414444.0,472948.1,106308.8
管理费用,58841.9,165699.5,72231.0,262698.9,277394.3,79801.7,155498.5,242043.4,330633.3,85585.0,160685.3,249118.0,345551.6,85616.0,158946.5,228482.2,318500.7,80637.0,158262.8,246101.9,331472.7,89870.0,192676.1,296522.6,443027.1,110484.0,230253.8,374227.5,541506.0,129847.7,302239.6,544090.8,684263.5,155691.4,312034.2,506688.5,678608.3,188339.8,175739.7,267937.5,376041.2,104448.4
财务费用,18652.0,38842.1,0.0,69722.7,26917.8,4626.1,16712.8,27609.3,37014.1,11839.5,36059.6,56523.5,77129.6,18276.1,40086.2,55039.3,86362.4,24400.7,53246.0,84260.5,116025.9,31891.4,63703.6,103523.1,138912.5,40259.4,62864.4,103554.6,144599.5,28603.7,65728.0,99043.8,122219.0,37979.0,97481.3,162773.2,231440.1,81344.5,136112.9,220592.8,299710.1,115419.6
资产减值损失,0.0,0.0,0.0,17560.9,27929.5,-1936.7,1337.2,1214.1,2070.0,1460.4,5434.0,17115.8,48524.6,20482.0,24204.7,27686.3,32425.8,5236.5,9525.6,14711.2,27230.3,7311.0,10775.5,18925.4,29388.4,3566.4,16174.7,19283.2,55164.8,23202.4,36735.9,35322.1,56573.1,26775.5,25144.8,20925.7,24258.6,8976.5,12511.3,20973.0,68641.6,14338.4
公允价值变动收益,0.0,0.0,0.0,0.0,90.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1820.7,-428.5,-1316.2,-1598.7,-1820.7,-46.0,-147.2,-226.2,-11816.6,-18594.3,-1598.1,3545.7,-547.0,55.7
投资收益,0.0,0.0,0.0,2975.9,1723.6,495.7,1063.0,1831.5,2577.1,765.2,-357.7,1385.2,50375.0,843.6,71.0,-1094.1,-1118.9,7.9,-3493.4,-5391.3,-4840.8,-859.9,-718.5,18967.3,6836.6,-2701.6,-8933.9,126171.3,121037.0,-5101.0,-9320.5,-30771.8,-72602.7,-275.6,-237.7,-12031.5,-20605.3,-336.9,39555.7,54293.6,24841.2,5925.8
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,1596.3,1636.8,495.7,1055.2,1809.8,2555.4,765.2,-357.7,1385.2,120.7,-487.7,-1260.4,-2425.4,-2450.3,7.9,-3493.4,-5391.3,-4840.8,-859.9,-1144.6,-937.8,-12238.9,-2701.6,-9080.5,-17791.6,-24279.9,-5240.2,-11479.9,-15474.0,-59982.4,-307.6,-1902.0,-13945.2,-22452.2,-336.9,-2655.7,8842.4,-22472.4,0.0
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,0.0,174288.0,152223.0,99018.9,416852.6,181176.3,263209.0,277471.3,276750.0,34535.1,32772.7,43045.8,141035.1,4059.1,-7189.8,-14556.4,-30437.2,13165.6,27223.0,26744.9,10665.3,346.8,33326.1,-4154.5,-17911.5,10679.3,46228.8,227221.3,317596.5,108388.0,278734.6,444283.7,598625.1,83381.5,259543.9,410507.0,541055.1,24912.6,98058.5,230077.1,424176.0,101450.8
加:营业外收入,0.0,0.0,0.0,44315.7,47454.4,14826.2,20422.6,24835.0,54915.9,4973.8,20121.8,27185.9,36739.0,9983.4,25763.7,45845.4,66203.2,6757.1,36805.9,47345.0,77568.8,12788.1,36277.3,77402.3,111431.9,10653.0,38904.8,53169.1,70323.5,9647.5,27562.2,57187.3,84432.8,20882.4,10515.4,16291.7,27903.0,7011.0,13753.3,18423.9,22993.0,5592.0
减：营业外支出,0.0,0.0,0.0,6937.4,13662.0,2644.7,6275.1,8829.5,17439.2,1704.5,3902.0,7552.1,5025.7,696.6,2639.5,4845.4,6693.5,1524.4,2189.7,2828.8,5026.0,1303.6,4710.3,4989.8,6125.2,932.9,2079.8,5834.6,8421.4,3182.5,5389.3,16441.0,26216.9,2100.8,5058.3,7234.8,6894.0,1367.5,3106.4,5085.5,8605.0,1069.4
其中：非流动资产处置损失,0.0,0.0,0.0,2813.2,9206.2,1355.7,2491.0,2897.7,4105.1,482.5,1637.6,2488.7,941.4,260.5,1390.5,956.1,1395.1,123.1,214.8,483.1,1144.8,858.0,1638.4,0.0,0.0,0.0,376.3,1433.5,3605.1,964.8,2239.8,7691.9,13671.7,819.9,2788.0,3930.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,67646.3,174288.0,85009.7,136397.2,450645.0,193357.8,277356.5,293476.8,314226.7,37804.4,48992.5,62679.6,172748.4,13345.9,15934.4,26443.6,29072.5,18398.3,61839.2,71261.1,83208.1,11831.3,64893.1,68258.0,87395.2,20399.4,83053.8,274555.8,379498.6,114853.0,300907.5,485030.0,656841.0,102163.1,265001.0,419563.9,562064.1,30556.1,108705.4,243415.5,438564.0,105973.4
减：所得税费用,2981.2,4055.1,10736.9,8832.3,42801.0,14318.0,18553.8,21714.5,22367.7,5394.5,9539.3,11485.3,13240.8,7985.3,5519.0,12534.3,7783.5,2797.4,8213.4,8872.5,5621.5,3079.9,8734.9,6425.0,13408.2,5070.3,20634.2,56301.6,65679.0,25088.4,54000.8,87864.9,108839.8,24026.5,48484.7,73376.1,70370.5,4142.0,21269.3,28800.3,82944.7,17123.7
五、净利润,64665.1,170232.9,74272.8,127564.9,407844.0,179039.8,258802.7,271762.3,291859.0,32409.9,39453.2,51194.3,159507.6,5360.6,10415.4,13909.3,21289.0,15600.9,53625.8,62388.6,77586.6,8751.4,56158.2,61833.0,73987.0,15329.1,62419.6,218254.2,313819.6,89764.6,246906.7,397165.1,548001.2,78136.6,216516.3,346187.8,491693.6,26414.1,87436.1,214615.2,355619.3,88849.7
归属于母公司所有者的净利润,64099.6,161171.1,59566.4,102124.9,379357.6,170412.7,242117.8,243252.1,252341.4,26674.1,27536.3,35273.0,138462.5,2704.0,1626.9,2088.1,8137.7,11238.7,42693.8,46510.0,55305.9,1196.6,36069.1,38890.9,43352.5,12094.6,46666.0,196136.0,282344.1,85070.8,225969.6,366412.6,505215.4,60579.5,172291.4,279143.5,406647.8,10242.5,47909.9,152705.3,278019.4,74973.2
少数股东损益,565.5,9061.8,14706.4,25440.0,28486.4,8627.1,16684.9,28510.2,39517.6,5735.8,11916.9,15921.3,21045.1,2656.6,8788.5,11821.2,13151.3,4362.2,10932.0,15878.6,22280.7,7554.8,20089.1,22942.1,30634.5,3234.5,15753.6,22118.2,31475.5,4693.8,20937.1,30752.5,42785.8,17557.1,44224.9,67044.3,85045.8,16171.6,39526.2,61909.9,77599.9,13876.5
基本每股收益(元/股),1.19,2.99,0.29,0.5,1.77,0.75,1.06,1.0692,1.11,0.12,0.12,0.1531,0.6,0.01,0.01,0.0089,0.03,0.05,0.18,0.1976,0.23,0.01,0.15,0.1624,0.18,0.05,0.19,0.7873,1.12,0.32,0.87,1.3835,1.88,0.2,0.59,0.96,1.4,0.02,0.13,0.49,0.93,0.25
稀释每股收益(元/股),1.19,0.0,0.0,0.0,0.0,0.0,1.06,1.0692,0.0,0.0,0.12,0.1531,0.0,0.01,0.0,0.0,0.03,0.0,0.18,0.0,0.23,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.2,0.59,0.96,1.4,0.02,0.13,0.49,0.93,0.25
七、其他综合收益,0.0,0.0,0.0,-11173.3,3512.7,904.0,884.3,1001.7,783.3,-1926.0,-781.6,-8988.7,-11086.1,1272.4,-4119.6,-77.0,-737.5,2950.4,-4914.1,-6789.4,-6379.6,713.6,3896.8,2410.7,210.7,1149.4,599.7,-1809.3,96382.2,-58978.8,-20865.3,-19159.9,17331.3,21888.4,26550.2,63293.6,31306.6,1126.3,-51859.6,-126315.4,-156539.2,65473.1
八、综合收益总额,0.0,0.0,0.0,116391.6,411356.7,179943.8,259687.0,272764.0,292642.3,30483.9,38671.6,42205.6,148421.5,6633.0,6295.8,13832.3,20551.5,18551.3,48711.7,55599.2,71207.0,9465.0,60055.0,64243.7,74197.7,16478.5,63019.3,216444.9,410201.8,30785.8,226041.4,378005.2,565332.5,100025.0,243066.5,409481.4,523000.2,27540.4,35576.5,88299.8,199080.1,154322.8
归属于母公司所有者的综合收益总额,0.0,0.0,0.0,94877.3,381660.6,171040.8,242754.3,243886.8,252874.5,25246.6,27052.2,29197.8,131943.9,3116.7,-1451.3,1567.4,7246.7,13286.8,39571.5,42135.1,51278.0,1614.8,40795.6,40493.2,43759.5,13237.1,47377.2,195051.6,379602.1,25999.6,203734.3,345080.1,518303.8,82204.6,198574.7,342268.9,437691.0,11495.3,-3573.0,27000.9,121914.2,140395.3
归属于少数股东的综合收益总额,0.0,0.0,0.0,21514.3,29696.1,8903.0,16932.7,28877.2,39767.8,5237.3,11619.4,13007.8,16477.6,3516.3,7747.1,12264.9,13304.8,5264.5,9140.2,13464.1,19929.0,7850.2,19259.4,23750.5,30438.2,3241.4,15642.1,21393.3,30599.7,4786.2,22307.1,32925.1,47028.7,17820.4,44491.8,67212.5,85309.2,16045.1,39149.5,61298.9,77165.9,13927.5
