报表日期,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
货币资金,5363.94,8520.34,14572.83,15719.95,16568.21,22104.12,32242.37,26388.95,78861.69,60870.48,51281.3,33198.23,44074.25,45477.87,48857.6,311101.31,316060.2,356716.28,278923.81,301829.92,545567.59,767213.98,728444.14,818035.23,767087.58,601637.25,641600.9
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257.0,1092.0,1123.0,1139.0,1189.01,1158.01,1206.01,1322.01,1310.01,1304.01,1397.01,1445.01,1505.01,1406.01,1407.01
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,71249.48,56798.85,67383.1,0.0,89253.7,114886.7,117666.87,122628.18,97843.72,91437.64,91555.93,264002.25,255088.75,293138.61,319474.43,375271.19,253824.49,354573.06,358674.48,272719.02,292945.5,303789.97,304560.16
应收票据,1414.9,3366.77,1655.43,3094.78,4840.13,6880.19,7463.12,8909.89,7441.98,14997.48,8740.19,3565.25,9577.62,15284.88,12469.0,21400.86,1099.18,806.35,554.98,2714.49,1224.46,1341.44,1251.61,1402.73,5119.55,591.29,3369.46
应收账款,28991.18,33165.87,40839.98,57983.49,66409.35,49918.66,59919.98,75434.93,81811.72,99889.22,108926.68,119062.93,88266.1,76152.76,79086.93,242601.39,253989.57,292332.25,318919.45,372556.7,252600.03,353231.62,357422.87,271316.29,287825.95,303198.68,301190.7
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17810.54,20425.86,19503.53,16610.75,16840.3,17980.11,18005.65,28633.21,22874.7,15778.82,10184.58
预付款项,851.86,1509.89,4194.78,6440.72,4107.69,3329.02,8382.11,10488.05,9225.78,18141.39,20780.2,19972.91,12468.39,26288.22,24073.19,40116.72,32607.59,57859.24,42814.6,42402.07,15145.61,22445.2,26857.26,30891.25,22028.68,22202.86,13108.83
其他应收款(合计),0.0,0.0,0.0,0.0,1404.19,2060.23,1512.29,0.0,1044.48,1557.01,1378.67,2392.48,883.38,1075.39,1078.72,2439.92,2574.45,4059.96,4985.03,4770.07,4507.99,14256.63,13295.78,17925.59,9961.72,6050.15,3900.1
应收利息,1.14,28.61,147.14,1.12,4.03,26.53,3.63,2.78,5.31,1.8,35.62,31.57,4.18,0.0,2.0,0.0,27.18,30.68,27.3,29.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,1352.58,1848.44,656.01,1204.71,1400.16,2033.7,1508.67,2286.08,1039.17,1555.21,1343.06,0.0,879.21,0.0,1076.72,0.0,2547.26,0.0,4957.73,0.0,4507.99,0.0,13295.78,0.0,9961.72,0.0,3900.1
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,16494.42,16213.49,23933.06,27918.05,32784.57,38201.24,41483.04,42228.16,54809.13,71427.25,90815.53,109210.05,91875.3,94982.32,93268.73,408776.17,436644.96,521900.92,644529.01,559431.73,527371.64,558141.51,606674.44,717915.46,878134.74,1047020.09,1264417.0
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15528.96,15679.68,15962.02,15848.17,15218.53,18453.72,18590.96,6482.79,7974.52,19430.34,10929.13,13729.91
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
