报表日期,2007-12-31,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
销售商品、提供劳务收到的现金,487269.52,519270.34,109389.57,246931.38,412405.93,561283.77,131066.08,318930.79,524445.72,712396.15,169996.52,408933.14,656488.51,893114.19,210693.18,467453.92,836176.45,1228360.04,189944.55,504587.74,816761.06,1241318.8,271390.53,633561.37,994072.23,1473532.03,259134.76,572695.97,846518.07,1210062.24,252607.55,585189.62,930778.39,2144195.06,399643.34,972333.01,1512641.75,2373078.06,536505.65,1188695.53,1927578.6,2752609.38,599050.16,1399744.57
收到的税费返还,0.0,89.3,0.0,0.0,12.99,16.91,0.0,53.77,158.17,187.67,90.83,122.06,388.92,481.84,143.15,564.91,955.41,1484.73,586.47,787.36,1017.42,866.0,57.35,419.55,689.9,2199.8,1009.53,2074.01,2897.57,4336.24,896.25,2550.67,2951.56,26493.65,1134.0,5298.16,11196.74,26639.52,16410.71,27881.83,43143.55,61416.91,24126.93,46953.99
收到的其他与经营活动有关的现金,4358.74,907.53,883.36,7589.0,12274.7,8583.72,1132.81,1702.17,4009.73,3684.62,4548.08,1061.69,1981.52,6564.11,2783.33,3156.96,22858.57,34217.35,3945.67,7254.74,12540.88,12873.03,2671.64,5294.81,11131.01,8276.66,3373.64,10107.87,16835.68,6919.35,6749.38,5301.74,12541.85,145104.6,40452.79,45309.54,135682.85,93777.2,64664.96,73323.67,85196.07,114056.62,61871.96,58165.04
经营活动现金流入小计,491628.27,520267.16,110272.93,254520.38,424693.62,569884.39,132198.89,320686.74,528613.61,716268.44,174635.43,410116.89,658858.94,900160.14,213619.67,471175.79,859990.42,1264062.12,194476.7,512629.83,830319.37,1255057.83,274119.51,639275.73,1005893.15,1484008.5,263517.92,584877.86,866251.32,1221317.83,260253.17,593042.03,946271.8,2315793.31,441230.13,1022940.71,1659521.33,2493494.78,617581.32,1289901.02,2055918.22,2928082.91,685049.05,1504863.59
购买商品、接受劳务支付的现金,343828.27,366360.08,60820.77,128652.5,218379.93,324309.79,113424.06,214577.61,346226.29,490965.14,151081.5,300308.03,507413.14,699725.45,148568.79,281303.88,511439.05,735105.01,177132.77,342431.33,580704.46,881012.31,215084.68,395465.36,626972.94,917257.12,161158.35,298492.77,471484.44,677347.99,118015.62,269435.08,484417.89,1275096.44,310010.61,634107.09,998289.6,1539306.3,406966.53,800508.02,1334336.24,1881534.24,492929.61,1010521.55
支付给职工以及为职工支付的现金,32012.75,36046.25,13209.85,22842.33,32967.49,49021.74,16129.95,30607.33,46707.89,66339.65,24721.05,45583.32,67661.95,89423.87,31661.58,55988.66,98247.12,125398.87,41840.29,71216.2,101533.7,128505.26,42472.61,74229.64,107167.36,121470.69,46753.48,82446.49,116987.52,130641.66,49195.98,86200.63,120531.49,203214.45,64203.05,114166.85,168457.97,254603.98,82792.42,144337.75,203602.13,317651.15,83647.13,145273.25
支付的各项税费,24158.17,49863.9,10792.81,23735.37,43981.46,44092.4,6532.52,22280.81,37950.68,46217.34,8568.04,26145.83,42938.49,52645.4,12198.72,35037.87,67859.28,77729.56,19187.41,56115.09,85917.28,104323.96,18586.28,52935.91,88599.75,114500.64,18859.98,56044.6,86154.06,113897.69,20073.27,52596.72,87757.67,142436.71,33378.14,78600.11,121203.84,147784.22,38937.2,86408.18,127184.86,170343.7,36628.09,85539.71
支付的其他与经营活动有关的现金,36982.22,31214.11,7977.79,11396.31,26133.24,42080.34,8170.64,15246.18,25101.34,43489.0,11349.32,22708.78,34086.38,46647.68,16465.09,29200.28,64769.02,70986.05,21842.98,40849.18,61621.06,77445.1,21423.55,41852.13,64439.67,96374.16,21982.21,49941.59,80741.58,106869.49,33239.09,38224.09,68022.86,205225.88,39247.7,114825.2,195605.32,295038.15,77822.8,153942.7,242348.01,268545.79,105848.86,164502.89
经营活动现金流出小计,436981.41,483484.34,92801.22,186626.51,321462.12,459504.27,144257.17,282711.93,455986.21,647011.13,195719.91,394745.96,652099.96,888442.4,208894.17,401530.69,742314.47,1009219.49,260003.45,510611.8,829776.51,1191286.63,297567.12,564483.04,887179.72,1249602.61,248754.02,486925.45,755367.61,1028756.84,220523.96,446456.52,760729.9,1825973.48,446839.5,941699.25,1483556.73,2236732.64,606518.95,1185196.66,1907471.24,2638074.88,719053.69,1405837.4
经营活动产生的现金流量净额,54646.86,36782.83,17471.7,67893.87,103231.5,110380.12,-12058.28,37974.82,72627.41,69257.31,-21084.48,15370.93,6758.98,11717.74,4725.49,69645.09,117675.95,254842.63,-65526.75,2018.04,542.86,63771.2,-23447.61,74792.7,118713.42,234405.88,14763.91,97952.41,110883.71,192560.99,39729.21,146585.51,185541.9,489819.83,-5609.37,81241.45,175964.61,256762.14,11062.37,104704.37,148446.98,290008.03,-34004.64,99026.2
