报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
货币资金,97737.3,146031.91,135176.84,184466.95,232371.06,285548.61,242198.8,228532.34,253558.4,301706.72,488469.67,385508.21,406617.35,849297.48,1036788.23,580268.63,1110536.25,1317185.79,1440991.46,1107830.54,880525.58,1317336.5,1303990.62,1177098.79,1631660.84,1746397.51
交易性金融资产,1650.22,10734.98,14701.99,15146.36,518.19,0.0,0.0,0.0,0.0,1139.45,1392.59,2718.37,3320.49,6550.34,8257.73,15016.59,20406.3,15233.02,22554.03,18181.73,15351.59,6067.38,1186.1,11733.59,19023.0,32163.43
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据,146048.72,190440.54,221704.55,114243.26,146983.46,297130.4,270640.73,235726.5,233762.6,485487.82,602914.72,544845.24,684705.45,882062.73,709296.92,387101.95,1440730.99,1238497.83,1373543.34,735947.03,1227697.27,1014692.2,1204677.0,971602.25,1080267.77,984888.77
应收账款,297509.78,373511.37,244245.22,148598.53,377205.24,431420.17,321668.93,293633.03,445872.7,596896.83,383080.6,466687.51,701721.78,828719.77,648620.31,444212.58,761876.21,1069660.95,793658.56,570773.85,734214.9,1108252.18,937023.8,607127.6,999763.49,812117.65
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,48403.24,70274.15,93108.23,75867.34,158224.95,149849.09,162123.51,74573.25,108500.5,89568.96,96373.28,80835.39,185188.38,73551.1,244996.75,254440.26,337990.28,298473.02,277637.2,196842.03,158593.97,117622.13,121006.26,82061.09,123789.88,83745.16
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.88,179.9,179.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2617.61,2560.36
其他应收款,19367.4,18475.8,11382.75,16353.64,21500.04,41168.13,40671.01,24041.01,23817.7,22184.75,25542.75,35863.1,104606.66,29871.69,69011.99,46813.27,18237.67,44736.84,55006.11,60774.36,29317.07,37633.68,41376.25,39969.59,41115.53,43171.45
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,470386.55,299072.38,383043.3,681014.26,592824.11,615148.13,627262.4,513753.65,546349.5,301479.6,355749.99,582750.75,656840.6,415681.77,496261.92,1043624.87,851596.61,818570.44,916977.76,1236343.92,1162418.66,848949.33,793569.09,991665.32,934426.41,665809.52
