报表日期,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
销售商品、提供劳务收到的现金,4199.07,12379.56,12963.58,2795.41,5354.47,13984.79,1897.45,4507.07,7631.07,15960.29,2855.33,8688.22,11824.96,29139.55,5187.8,9382.13,14879.36,31212.44,5155.65,9977.4,18595.89,43270.55,10373.98,21273.96,33662.61,68471.98,12519.84,32819.82,50183.05,93651.94,13791.91,31178.41,52586.56,106759.5,18050.06,43908.19,78999.97,147449.37,20447.62,50410.41,88832.88,170470.82,22023.56,55276.44
收到的税费返还,99.28,431.13,1045.71,202.35,266.54,905.26,0.0,0.0,0.0,498.76,213.4,934.6,1405.77,1402.39,1401.38,2067.65,2545.63,3195.31,669.65,1383.04,2543.35,2936.74,1048.22,2075.55,2883.53,3789.9,984.86,2763.06,3404.77,4625.13,2654.19,4115.63,6975.01,8458.36,602.35,3900.83,6965.64,7672.01,3897.41,5825.84,8541.35,11181.59,1522.64,3723.09
收到的其他与经营活动有关的现金,1114.9,752.85,1202.47,571.26,1133.01,1103.47,340.05,1096.91,1955.61,3093.26,478.1,1809.19,4179.28,5854.83,1271.38,2249.65,4239.51,4865.6,817.34,2377.71,9571.61,4576.57,661.83,2643.3,3858.32,7258.83,1088.53,5316.15,6913.89,9445.58,805.07,4412.69,8167.15,12576.31,3813.27,7420.21,13212.06,14085.14,3027.87,10195.22,12321.18,15638.95,2192.3,7123.69
经营活动现金流入小计,5413.26,13563.54,15211.76,3569.02,6754.02,15993.53,2237.49,5603.99,9586.68,19552.3,3546.83,11432.01,17410.01,36396.77,7860.56,13699.42,21664.5,39273.35,6642.64,13738.15,30710.85,50783.87,12084.03,25992.81,40404.46,79520.7,14593.23,40899.02,60501.71,107722.65,17251.17,39706.73,67728.71,127794.16,22465.68,55229.23,99177.67,169206.52,27372.9,66431.47,109695.41,197291.37,25738.51,66123.22
购买商品、接受劳务支付的现金,2175.22,7717.78,6410.12,1434.99,2733.0,4181.26,815.9,2668.06,4449.8,5555.91,2166.69,4225.13,7961.0,11938.36,4245.3,5220.92,8453.44,9218.36,3116.15,4491.23,11171.09,17963.31,7045.99,12515.25,18241.47,27192.04,9794.33,18392.53,25495.26,36787.14,11239.05,22262.87,31395.69,44512.91,15631.45,30896.05,46717.36,61455.48,15945.36,26560.62,44374.21,59830.47,16765.68,30482.03
支付给职工以及为职工支付的现金,628.76,1382.64,2382.34,1701.72,2541.33,3348.81,1207.19,2200.11,3359.76,4594.8,1635.29,3473.36,5245.35,7458.52,2915.55,4822.98,6101.8,10681.86,2802.33,5051.21,8897.34,12620.64,4750.96,8768.02,15206.54,19464.92,7265.28,12005.2,18158.51,25298.35,10087.12,16552.82,25848.79,31745.55,13393.44,21655.32,31668.32,42760.06,17584.47,31265.75,46156.31,57130.92,19175.63,33551.88
支付的各项税费,333.94,961.16,1403.94,629.55,785.86,1549.59,488.51,857.87,1795.56,2835.33,879.41,1478.2,2274.99,4687.56,1227.53,2111.06,3164.33,4538.75,1605.07,2789.44,4514.2,5411.7,1721.88,4307.08,5722.76,7368.95,2701.86,4471.23,5977.35,10251.83,2956.87,7043.86,10851.57,12719.03,5905.2,11703.26,15919.71,21989.89,4167.38,9147.33,12757.5,19509.89,3638.48,9205.54
支付的其他与经营活动有关的现金,1481.52,2004.35,2851.58,1423.35,2490.15,3107.03,1177.04,2338.19,4716.12,6106.4,1632.31,5290.46,7709.7,9575.02,2710.26,4761.38,7499.28,9819.57,2660.36,5507.41,8485.85,10504.72,4172.14,7980.92,12637.42,17548.78,5771.46,11491.36,14434.05,21351.11,5795.25,15923.25,22943.27,30837.95,10543.25,18359.34,27092.12,30611.63,9008.11,19861.86,29269.62,37489.99,7566.94,15288.08
经营活动现金流出小计,4619.44,12065.93,13047.98,5189.61,8550.34,12186.69,3688.63,8064.22,14321.25,19092.44,6313.69,14467.14,23191.04,33659.46,11098.64,16916.34,25218.85,34258.54,10183.9,17839.29,33068.47,46500.37,17690.97,33571.28,51808.19,71574.69,25532.93,46360.32,64065.17,93688.43,30078.29,61782.79,91039.31,119815.44,45473.34,82613.97,121397.51,156817.06,46705.32,86835.56,132557.64,173961.27,47146.73,88527.52
经营活动产生的现金流量净额,793.82,1497.61,2163.78,-1620.6,-1796.32,3806.84,-1451.13,-2460.24,-4734.57,459.86,-2766.86,-3035.13,-5781.04,2737.32,-3238.08,-3216.92,-3554.35,5014.81,-3541.27,-4101.14,-2357.62,4283.5,-5606.95,-7578.47,-11403.73,7946.01,-10939.69,-5461.3,-3563.46,14034.21,-12827.12,-22076.06,-23310.6,7978.72,-23007.66,-27384.74,-22219.84,12389.45,-19332.42,-20404.08,-22862.23,23330.09,-21408.23,-22404.3
