报表日期,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
货币资金,12602.97,28634.81,22089.34,262274.0,258003.2,255967.62,269643.55,247615.37,255845.75,260276.09,221338.68,231523.15,191473.17,160622.94,173831.05,153749.85,78020.17,76121.07,88502.95,111576.81,95472.42,85819.05,84386.81,59365.42,72964.38,42628.68,43608.14,38114.99,37460.85,37685.53,45793.48,56065.93,38170.49,49900.41,57113.08,49612.2,32299.24,40122.23,55183.14,53541.51,51854.31
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31219.2,37435.94,12212.84,11384.79,10767.23,42.39,97.49,37.53,34.76,0.0,57.3,296.94,261.63,182.68,30503.48,142443.74,77328.56,78262.42,65839.52,81563.54,55633.04,59837.27
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30375.8,0.0,0.0,0.0,31678.68,28996.57,25885.79,28378.44,33390.34,30770.76,27220.97,28593.7,32148.41,37963.03,26832.31,24529.33
应收票据,0.0,750.0,7657.22,11100.87,14298.41,16893.35,17659.23,18047.76,17038.75,22877.59,21368.92,19842.44,21385.53,24631.86,22130.65,15411.29,21194.89,20428.83,12649.97,10405.15,17193.21,18069.06,15443.84,11998.98,17965.44,15191.3,13659.93,10889.68,16318.04,16703.04,13364.0,10125.5,14355.15,15541.09,14938.77,11320.02,15023.95,15003.0,11630.7,9049.5,8714.7
应收账款,6094.85,9087.7,7788.3,5849.31,5276.2,11877.6,14109.97,17918.29,23631.95,24426.7,27976.13,26085.34,22735.69,18226.72,18365.36,20867.59,20470.78,17609.67,15240.7,14357.89,13673.94,16210.88,14883.09,14451.45,13588.27,15184.5,12548.77,14103.64,13642.71,14975.64,15632.57,15760.29,14023.3,17849.26,15831.99,15900.94,13569.75,17145.41,26332.33,17782.81,15814.63
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,36.8,116.8,460.0
预付款项,2040.41,2781.95,13788.64,33669.22,31151.04,26543.44,24428.93,24598.2,14579.9,2847.74,4956.42,6434.8,3522.63,4117.28,2186.91,5421.43,2395.26,2090.33,1342.63,6361.69,2278.88,2526.99,1936.23,5852.28,3004.59,2254.64,2513.09,7075.44,3317.3,2748.87,2140.86,8930.65,4075.14,4100.09,3931.09,9904.37,6083.87,3544.43,5540.85,6258.45,6300.9
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2253.94,0.0,0.0,0.0,2082.14,2061.68,3699.68,2447.68,2334.2,2940.61,3095.07,3311.41,2502.04,2394.0,2513.18,2758.94
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.57,274.58,329.86,307.96,391.58,338.44,373.44,453.47,385.84,439.85,486.5,425.06,481.74,509.98,461.43,487.74,562.93,508.03,0.0,0.0,0.0,0.0
