报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
投资所支付的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,0.0,0.0,0.0,0.0,8000.0,0.0,300.0,300.0,300.0,0.0,0.0,0.0,51998.97,24817.1,56423.52,91587.7,473515.17,22123.57,22123.57,29828.14,33823.64,1092.61,1092.61,1092.61,1108.0,20000.0,20000.0,26220.76,93289.63,10000.0,279081.19,322487.71
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,31100.0,30486.41,0.0,4703.3,43804.83,35485.16,0.0,0.0,0.0,0.0,0.0,15978.18,16816.61
支付的其他与投资活动有关的现金,0.0,0.0,0.0,253.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流出小计,9779.93,11379.83,11855.33,11591.58,1539.18,3847.58,6001.55,45991.93,4411.63,6880.32,7657.65,12221.95,1117.57,12000.98,13131.21,4648.44,1830.91,10642.21,14546.16,13997.41,1358.46,2355.89,1650.9,3478.72,998.62,22344.88,22961.14,6573.74,33540.23,43543.37,66777.74,96725.35,10295.13,16951.81,31438.5,52606.13,18654.27,44018.05,50402.56,119630.9,39266.01,82308.28,131423.77,527250.01,44232.73,69257.88,100804.3,153733.81,9002.08,35506.11,86080.18,99825.59,30954.64,34056.7,58224.9,117178.51,25483.6,311660.51,369578.74
投资活动产生的现金流量净额,-9779.93,-10989.69,-2810.7,-4188.17,-1535.38,-2585.72,-3659.69,-43513.49,15316.69,12848.0,15163.16,10724.33,-1117.57,-11994.93,-13125.16,-4494.73,-1830.09,-10641.39,-14545.34,-13863.9,-1353.46,-2339.61,-1302.73,-3287.17,1306.56,64.11,-585.55,-4017.23,108987.44,99033.15,75846.36,51332.58,-8687.42,-15316.07,-28199.02,-47506.68,-9646.9,-35009.31,-40448.37,-58093.2,-39218.07,-76933.58,-123189.11,-220806.45,-41666.14,-51201.46,-30099.03,-82226.64,10345.43,7832.32,18022.94,-27098.06,-30572.14,-33362.83,-57305.5,-44046.29,-6866.45,-29401.71,-45643.43
吸收投资收到的现金,0.0,1925.75,1925.75,1925.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得借款收到的现金,5000.0,33200.0,46400.0,56400.0,11000.0,26000.0,39000.0,49000.0,5000.0,12500.0,12500.0,12500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,0.0,13000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流入小计,5000.0,35125.75,48325.75,71325.75,11000.0,26000.0,39000.0,49000.0,5000.0,12500.0,12500.0,12500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50824.71,0.0,0.0,300000.0,300000.0,0.0,0.0,0.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
偿还债务支付的现金,2200.0,34200.0,41400.0,60424.5,13000.0,29000.0,52700.0,64200.0,5000.0,18500.0,23500.0,28500.0,0.0,4000.0,4000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,150.0,250.0,300.0,100.0,150.0,55141.95,55141.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
分配股利、利润或偿付利息所支付的现金,576.42,2690.76,4146.95,4561.99,662.84,1357.97,1891.74,2304.99,350.46,3835.55,3965.95,4045.23,53.1,2007.66,2007.66,2007.66,0.0,6466.04,6466.04,6466.04,0.0,3233.02,3233.02,3233.02,0.0,0.0,3233.02,3233.02,0.0,85337.63,85309.02,85351.97,0.0,170724.8,170724.8,170724.8,0.0,141597.7,148261.01,148261.01,186.62,212411.19,212413.82,212994.37,10193.26,226450.76,227055.25,227651.99,589.57,65950.3,171252.13,172197.71,0.0,0.0,122885.24,122988.8,1101.4,110581.72,112941.45
