报表日期,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-06-30,2017-12-31,2018-12-31,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
货币资金,23204.99,24549.59,11248.68,53503.22,66511.65,81731.39,59353.05,48321.72,49425.62,301970.85,242986.69,282481.16,278974.96,301253.21,310028.4,330570.77,339076.08,327232.43
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105827.17,125165.82,120017.44,143512.14,78705.05,114450.44,109810.4,120325.58,162418.35,155625.48,146600.28
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,47680.98,82657.85,84389.69,52139.23,39784.53,50044.04,82707.65,55798.27,67381.47,67317.0,93381.73,74242.6,27261.93
应收票据,0.0,3935.91,1561.52,2177.59,8300.8,7625.36,7652.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收账款,17584.62,18834.37,22887.22,35831.49,40720.38,40055.62,75005.53,84389.69,52139.23,39784.53,50044.04,82707.65,55798.27,67381.47,67317.0,93381.73,74242.6,27261.93
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.3,2956.01,1390.48,6127.82,26.88,3451.03,1420.69,4562.56,84.56,93.85,515.7
预付款项,886.94,828.4,1415.87,1442.57,1290.74,1874.18,3027.74,3690.97,7171.3,4719.19,5859.29,7024.21,10252.09,6774.16,9608.12,6211.57,5663.29,4916.38
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,910.56,1503.0,467.62,479.57,1161.72,405.49,500.15,452.62,554.95,801.62,648.77,724.16,5784.02
应收利息,0.0,0.0,0.0,611.57,1164.4,671.42,1313.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5307.8
其他应收款,735.55,648.67,189.84,568.14,275.69,239.13,189.74,467.62,479.57,1161.72,0.0,500.15,0.0,554.95,0.0,648.77,0.0,476.22
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,8081.39,7989.83,12318.58,14597.55,18804.13,21231.85,38913.27,47134.91,50154.43,52786.2,52558.3,49348.16,56044.36,57806.3,57554.79,65132.92,73229.01,73271.78
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5703.71,10747.18,10790.66,10834.14,5000.0,16384.55,27382.28,27644.29,27900.61,31279.83
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
