报表日期,2007-12-31,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
一、营业总收入,11932.31,15745.22,23903.11,7183.86,14135.09,22186.3,28701.34,6785.88,15009.3,24659.76,36228.2,9728.8,23310.95,38216.72,54214.21,16349.42,35364.45,55621.23,81479.95,24553.74,50068.71,80070.32,120499.1,42162.3,87464.54,136758.21,191076.71,55957.63,123682.31,201144.97,293166.15,97434.81,205611.69,322239.05,444652.72,117505.89,244215.63,379721.95,537267.11,152708.03,305977.74,463179.57,633746.06,166072.87,315871.76,456991.25
营业收入,11932.31,15745.22,23903.11,7183.86,14135.09,22186.3,28701.34,6785.88,15009.3,24659.76,36228.2,9728.8,23310.95,38216.72,54214.21,16349.42,35364.45,55621.23,81479.95,24553.74,50068.71,80070.32,120499.1,42162.3,87464.54,136758.21,191076.71,55957.63,123682.31,201144.97,293166.15,97434.81,205611.69,322239.05,444652.72,117505.89,244215.63,379721.95,537267.11,152708.03,305977.74,463179.57,633746.06,166072.87,315871.76,456991.25
二、营业总成本,8958.92,13113.11,19837.86,5675.7,11664.95,18186.04,24911.52,6163.61,13557.21,22222.83,32506.64,9031.79,21677.48,34691.78,48854.45,14746.89,32079.21,49918.95,70402.36,22073.24,43306.17,65739.1,95367.26,34310.9,70739.38,109673.71,144887.12,41518.6,90948.32,148924.08,214940.46,72698.66,150798.09,237954.34,326268.41,97608.39,212999.1,334468.04,467666.32,130442.76,263030.47,405502.88,560680.13,155537.79,304267.84,443257.34
营业成本,6810.18,9868.63,15416.75,4472.26,9111.14,13976.35,19001.59,4415.88,9967.02,16399.12,25014.13,6885.14,16930.85,27168.43,38579.06,11274.15,24287.77,37792.18,53907.53,16137.41,31813.17,47867.54,69481.1,25555.76,52354.32,80740.44,107806.63,31508.77,69189.91,112372.73,161938.14,54890.72,115942.29,183923.45,258024.63,75569.98,161078.45,248369.24,347124.26,97392.91,198882.86,305988.11,423102.43,119072.77,233337.35,341781.77
营业税金及附加,398.04,495.94,761.03,234.14,452.03,713.84,916.51,218.38,479.77,777.87,1143.83,284.56,718.84,1193.9,1686.38,555.27,1177.55,1859.57,2682.82,768.9,1613.34,2592.82,3890.74,1387.8,2574.22,2699.19,2964.48,106.01,238.46,369.0,448.44,81.64,194.17,291.94,701.86,47.26,366.64,664.83,1190.5,496.9,1169.51,1489.48,2371.12,288.04,738.93,983.44
销售费用,666.46,843.97,1036.37,358.65,858.55,1372.43,1948.18,684.1,1502.57,2538.08,3040.85,922.18,2380.27,3630.87,4686.61,1518.98,3732.42,5654.73,8498.35,2949.25,5157.38,7822.74,11754.08,3346.01,7214.28,11213.82,15951.03,3802.58,8534.77,13853.3,20068.12,5896.32,12149.56,18591.61,26753.96,6878.34,17748.02,29065.2,39549.78,10438.83,21511.56,32155.91,43945.6,10677.21,20634.33,30760.81
管理费用,1095.13,1838.0,2486.23,599.33,1260.51,2117.5,3076.68,867.39,1684.41,2592.7,4438.34,959.33,1889.49,2979.04,5127.71,1413.73,2943.15,4719.32,6744.84,2158.21,4682.6,7434.64,11650.08,3815.79,8118.13,13943.06,19294.39,5833.25,12377.57,21797.2,32304.55,11380.3,23058.21,35494.48,49261.1,15814.59,35686.86,59388.18,38532.22,21859.21,43663.98,30514.99,42084.96,11430.95,17264.9,24273.3
财务费用,-8.97,-17.98,-19.29,-1.67,-6.83,-3.66,-65.0,-21.12,-100.72,-142.03,-1273.95,0.82,-321.93,-361.88,-1253.89,-68.43,-145.2,-215.59,-1635.89,-44.89,-169.87,-271.09,-1844.79,-60.99,-115.06,-274.49,-1699.66,-107.18,-160.75,-614.13,-1547.3,-145.96,-1252.96,-1522.65,-9776.75,-1426.82,-3823.92,-5202.55,-5056.81,8.28,-3854.12,-5599.46,-7041.13,-139.64,-555.35,-3917.66
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42787.64,0.0,0.0,38040.77,51281.76,13822.36,32847.69,49375.67
资产减值损失,-1.93,84.56,156.77,12.99,-10.45,9.58,33.56,-1.02,24.16,57.08,143.45,-20.24,79.95,81.42,28.58,53.19,83.52,108.74,204.71,104.37,209.55,292.44,436.06,266.52,593.49,1351.68,570.24,375.16,768.35,1145.97,1728.52,595.65,706.82,1175.49,1303.6,725.05,1943.03,2183.14,3538.74,246.62,1656.67,2913.08,4935.38,386.11,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.29,0.0,0.0,0.0,0.0,-159.31,0.0,50.76,159.31
投资收益,0.0,0.0,6.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.48,80.16,121.67,164.54,47.95,92.27,153.4,357.92,278.24,518.74,932.15,1531.91,741.11,1796.63,2207.02,3238.13,751.23,1695.89,3090.93,6304.43,1689.96,3217.65,4055.33,4430.91,1076.3,2796.19,4375.81,5759.62,1652.27,74531.51,75690.34
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.01,-1.17,-1.06,-0.26,-29.61,-97.15,-191.66,-93.38,-162.87,-269.36,-529.87,-154.31,-274.12,-423.71,-480.98,-423.71,-598.26,-2049.86
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,2973.39,2632.11,4072.16,1508.16,2470.14,4000.26,3789.82,622.26,1452.09,2436.93,3721.56,697.01,1633.47,3524.94,5359.76,1645.02,3365.41,5823.95,11242.12,2528.45,6854.81,14484.62,25489.76,8129.64,17243.9,28016.65,47721.51,15180.14,34530.62,54427.91,81463.82,25487.38,56509.49,87375.64,124688.74,21587.47,35191.05,50451.25,83342.71,23724.88,48408.67,65442.2,84133.48,12592.08,86498.34,88156.83
