报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31
货币资金,412971.13,359068.42,481251.18,413097.88,794366.12,523930.77,436589.3,366629.86,1601521.18,2323586.62,2583366.33,2290484.29,2454944.69,2340661.28,1971765.47,1516612.75,2385491.07,2311895.74,1990992.68,1604080.98,3675125.53,3425648.26,3271746.98,2894392.17,4687492.34,4402417.75,4421508.1,3854168.45,6095404.67,5779776.14,5829104.99,5454567.34,7944130.75,8686697.31,8403850.99,8881979.86,9628353.62,9942133.83,9723368.27,9561313.07,10927014.24,10531778.05,9337923.18,9961043.17,10517536.68,10194548.04,10426979.57,11307903.04,11328786.68,12110013.19,13623323.81,12540071.53,12166539.29,12955745.14,13098660.06,13641314.39,14659058.86,13445501.06,11953224.46,11693929.88,12873559.69,13533887.18,15285313.72,15748433.23,18630566.17
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,237.11,2718.39,7990.52,4730.34,7219.57,6037.66,7285.56,4269.71,1648.91,1346.69,2012.25,7659.01,26346.0,72891.26,69934.61,84696.39,124610.67,13347.77,12000.0,26982.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60204.56,30509.34,51484.02,40834.16,101247.04,160248.32,234461.49,233815.73,95520.86,156747.95,108579.65,103380.4,37082.05,47849.32,83851.02,0.0,0.0,29673.01,112344.71,262802.64,386720.34,123899.95
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8417.75,8094.91,17602.54,0.0,0.0,0.0,0.0,0.0,25084.84,20139.7,20661.48,2371.07,48105.56,72841.33,1663.11,31414.57,17021.61,9267.81,0.0,10678.47,9239.26,0.0,745.8,35737.8,28549.42,820.08,27630.31,22040.01,19877.32,19915.19,0.0,0.0,0.0,144.68
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3807090.52,3011127.86,3762509.14,5675485.5,4361122.69,4256285.75,1097037.22,832606.39,851333.45,956674.15,1054795.2,1305661.28,873823.09,1119172.99,1111712.16,1020960.44,1384089.88,1481703.18,1662632.63,1369347.13,1483156.11,1738044.4
应收票据,217481.15,325528.15,667543.06,741032.69,338771.32,458878.86,1187690.46,1327742.9,558285.22,500671.16,1518213.4,1083655.13,586171.84,480276.1,2016686.44,2205581.93,991987.59,1404374.8,3643276.38,3366509.0,1114789.55,1302698.49,3735535.26,3429216.9,1968840.69,1665312.41,4105622.39,4629724.23,2449714.83,1992350.22,5034168.69,5048057.14,2988450.71,1778364.08,3170683.28,1487980.55,1711114.41,1077571.97,2735516.31,2996335.55,1805460.64,2099638.03,5160441.99,3225641.35,2156094.53,2798822.02,5015211.52,3591156.79,3142236.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.84,1325.99
应收账款,312850.14,290134.37,144795.53,89457.35,262189.43,393136.56,173402.2,56550.15,163131.18,168340.7,92866.66,91452.6,215345.69,193255.27,111910.97,119892.49,209854.26,282538.09,203282.05,122679.38,191876.02,280400.37,182276.54,147487.3,228699.76,365087.65,208556.83,184927.53,279383.26,510393.14,251557.21,266134.76,388947.28,511511.04,298334.68,287921.21,523515.03,591151.61,352325.81,296053.47,610530.16,752050.64,481325.46,581449.16,855033.33,963687.12,660273.98,769965.9,1114049.7,1097037.22,832606.39,851333.45,956674.15,1054795.2,1305661.28,873823.09,1119172.99,1111712.16,1020960.44,1384089.88,1481703.18,1662632.63,1369347.13,1482474.26,1736718.41
预付款项,5884.08,67573.07,39816.44,118778.28,67273.05,107952.66,75380.26,89676.9,108968.49,93099.58,108421.52,148844.45,167052.62,142088.82,255961.98,255979.9,290354.21,273022.4,271199.15,231561.55,278072.23,294581.03,263515.47,173971.39,278731.38,221509.66,200517.06,149864.97,219943.35,183379.77,254191.7,159148.74,262015.81,256780.9,195562.59,84792.92,191758.78,217476.87,431827.79,181494.58,394178.27,353133.99,493026.33,371787.46,455037.92,473815.18,588702.36,216187.6,425468.69,349723.14,392012.21,239561.06,310819.96,255168.12,293946.41,312920.2,379994.81,581930.36,495087.95,459188.65,308131.63,433468.82,398827.09,234466.88,240749.89
应收利息,0.0,0.0,0.0,0.0,2.93,0.0,0.0,1732.9,1455.57,1835.1,3654.92,8120.13,13759.32,17002.58,14996.41,18039.08,14536.71,20525.85,20266.01,24273.97,30655.5,40197.45,55898.43,71086.56,64239.28,71538.91,54113.09,72955.96,69514.42,89992.11,103598.23,124214.6,84467.41,101446.5,99744.28,110977.65,93252.13,94262.91,73533.11,104554.26,116400.05,144872.0,132724.81,188924.8,201470.72,199924.78,0.0,225709.89,219988.45,263093.15,206627.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3067.7,0.0,0.0,0.0,5600.54,0.0,0.0,0.0,2194.56,0.0,0.0,0.0,1735.1,0.0,0.0,0.0,2878.55,0.0,0.0,0.0,1328.66,0.0,0.0,0.0,2320.78,61.51,61.51,61.51,3952.21,61.51,126.05,8.05
其他应收款,12880.02,6815.23,12285.09,15981.84,13584.78,8055.17,19126.57,6380.79,10729.54,5927.52,26672.53,15809.82,31957.97,22509.02,26269.31,31245.86,65599.83,50062.08,64791.28,63447.62,82427.65,74095.97,40709.4,29035.64,48766.86,72698.69,38175.57,34641.97,61311.55,37945.86,44176.52,38059.85,58282.02,61202.41,39079.44,25401.66,54929.26,22506.75,23216.95,24498.42,52731.66,26133.49,22459.25,25282.57,34694.43,35456.4,218928.73,29659.06,0.0,14423.66,0.0,15913.44,0.0,11457.67,0.0,14733.85,0.0,0.0,0.0,33354.68,0.0,106976.01,0.0,80301.75,0.0
