报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
应交税费,2922000.0,2206200.0,3049900.0,4086700.0,4997300.0,2603400.0,3489100.0,4497900.0,4762600.0,1983400.0,1830300.0,2862600.0,3485500.0,2317500.0,3314000.0,4091700.0,5319700.0,2910300.0,4309100.0,6104600.0,7449300.0,3930700.0,4868300.0,6816200.0,8123000.0,4336900.0,5546800.0,6705100.0,8282500.0,4565300.0,6023400.0,7227800.0,8493000.0,5017800.0,6689700.0,7523400.0,8531800.0,3906800.0,5247400.0,6355700.0,7808600.0,5207700.0,6456400.0,8255000.0,10283900.0,5919900.0,7946500.0,9567800.0,9978100.0,6871800.0,8834700.0
应付利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
代理业务负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付债券,4384700.0,3971400.0,3850100.0,3556200.0,3606300.0,3552800.0,3592300.0,3572600.0,3541700.0,3528500.0,7596500.0,7500000.0,7500000.0,7500000.0,9694900.0,10226400.0,10055800.0,14524800.0,14983400.0,20416100.0,20990000.0,23173100.0,23532000.0,23218600.0,24416500.0,25020300.0,24688100.0,25301800.0,24864400.0,25564000.0,26872600.0,27959000.0,28077100.0,28490300.0,27827700.0,30662200.0,31193800.0,32077200.0,33865100.0,35793700.0,37456900.0,41301600.0,40891200.0,52694000.0,53171200.0,57923500.0,60557600.0,61784200.0,69318600.0,77541000.0,74966100.0
递延所得税负债,255600.0,222600.0,285700.0,33700.0,16100.0,15800.0,15900.0,1600.0,800.0,7800.0,22100.0,17800.0,23600.0,18000.0,21800.0,31800.0,36100.0,23100.0,12900.0,10300.0,10500.0,16900.0,40500.0,55200.0,56000.0,39500.0,43700.0,42000.0,45900.0,47000.0,54300.0,45100.0,44300.0,47400.0,52800.0,99500.0,89800.0,88500.0,103300.0,60400.0,60700.0,58200.0,66200.0,43300.0,56900.0,63400.0,95100.0,121700.0,167400.0,193600.0,214500.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他负债,13828100.0,12839200.0,14780300.0,12425200.0,14242000.0,14903700.0,14843200.0,15005900.0,16896900.0,16571100.0,15705900.0,14749600.0,17030600.0,16562600.0,18484400.0,16811500.0,18058400.0,27897500.0,20899500.0,19503700.0,22067700.0,33424700.0,24900000.0,34822100.0,39628900.0,64529900.0,37960000.0,40083000.0,41554400.0,43818900.0,45179600.0,42493000.0,44057200.0,55147400.0,46089200.0,54538800.0,55057900.0,68250600.0,58251100.0,59404900.0,57439100.0,73788500.0,59219700.0,55845200.0,59294900.0,70420800.0,78321300.0,36524600.0,59067400.0,56055300.0,48979600.0
负债合计,739085300.0,780067100.0,807171900.0,814003600.0,857045600.0,884561800.0,879852800.0,915051600.0,1033838100.0,1081416600.0,1101922700.0,1110611900.0,1182918400.0,1225078100.0,1265838200.0,1263696500.0,1351777100.0,1403643300.0,1422513600.0,1451904500.0,1540825300.0,1605560200.0,1629587600.0,1641375800.0,1715946300.0,1754826000.0,1750715900.0,1763928900.0,1837176300.0,1894417400.0,1871858100.0,1907264900.0,1977537300.0,2080365800.0,2041426500.0,2040926100.0,2100924600.0,2165655000.0,2169247700.0,2215610200.0,2285996500.0,2348341200.0,2366365600.0,2394598700.0,2430887600.0,2511087900.0,2591727400.0,2535465700.0,2681761900.0,2756158100.0,2775575300.0
股本,33401900.0,33401900.0,33401900.0,33401900.0,33401900.0,33401900.0,33401900.0,33401900.0,33401900.0,33401900.0,33401900.0,33401900.0,33401900.0,33401900.0,33401900.0,34901900.0,34901900.0,34902000.0,34902000.0,34908400.0,34931300.0,34932200.0,34932200.0,34962000.0,34964300.0,34965000.0,35057200.0,35139000.0,35139100.0,35140600.0,35151300.0,35349500.0,35640700.0,35640700.0,35640700.0,35640700.0,35640700.0,35640700.0,35640700.0,35640700.0,35640700.0,35640700.0,35640700.0,35640700.0,35640700.0,35640700.0,35640700.0,35640700.0,35640700.0,35640700.0,35640700.0
其他权益工具,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442800.0,3442800.0,3442800.0,3442800.0,7937500.0,7937500.0,7937500.0,8605600.0,8605100.0,8605100.0,8605100.0,8605100.0,8605100.0,8605100.0,8605100.0,8605100.0,8605100.0,8605100.0,8605100.0,23601800.0
其中：优先股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442800.0,3442800.0,3442800.0,3442800.0,7937500.0,7937500.0,7937500.0,7937500.0,7937500.0,7937500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资本公积,10923300.0,10574700.0,10576500.0,10620700.0,10110100.0,9997600.0,10445600.0,11224300.0,11135600.0,10895500.0,10334200.0,10215600.0,10566800.0,10648400.0,11023100.0,12282000.0,12155400.0,11831700.0,11341600.0,12639500.0,12774200.0,13417400.0,12883800.0,12852400.0,13189000.0,12806700.0,12125500.0,10802300.0,11696500.0,13061100.0,13438700.0,14487400.0,15220200.0,15219300.0,15202900.0,15196300.0,15196800.0,15198700.0,15198100.0,15199800.0,15199800.0,15200200.0,15200200.0,15195200.0,15195000.0,15195800.0,15195400.0,15196800.0,15196800.0,15196900.0,15196800.0
减:库藏股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2454800.0,-2864300.0,-2060800.0,-1618100.0,-465500.0,-571800.0,-462700.0,181700.0,-2173800.0,-3438100.0,-4268700.0,-4704000.0,-6205800.0,-4180400.0,-3054000.0,-2135700.0,-1187500.0,-1025400.0,-711700.0,65600.0
盈余公积,546600.0,546700.0,546700.0,1353600.0,1353600.0,1361000.0,1361000.0,2465000.0,2465000.0,2465000.0,2465900.0,3748400.0,3748400.0,3752700.0,3752700.0,5378200.0,5379800.0,5389300.0,5389300.0,7442000.0,7442000.0,7449700.0,7451100.0,9806300.0,9817600.0,9819500.0,9823700.0,12387000.0,12390900.0,12408600.0,12426500.0,15075200.0,15104700.0,15136200.0,15137900.0,17804000.0,17809800.0,17844000.0,17844000.0,20502100.0,20504900.0,20531300.0,20532400.0,23270300.0,23291300.0,23312200.0,23314700.0,26172000.0,26200500.0,26223600.0,26223900.0
未分配利润,2440500.0,4120100.0,6365600.0,4544000.0,7854300.0,6545400.0,9364600.0,7214600.0,10729200.0,8333100.0,11690900.0,11793100.0,15945500.0,14565100.0,18825200.0,20115700.0,25487700.0,24617000.0,30048600.0,31333400.0,37452600.0,36528800.0,42769900.0,37254100.0,44108000.0,42696600.0,49409400.0,51194900.0,58474100.0,56732100.0,63953600.0,65023600.0,72387700.0,70672300.0,77938700.0,78198800.0,85664000.0,84853200.0,92104800.0,94066300.0,101622100.0,100943600.0,108437500.0,109754400.0,112101300.0,111519900.0,119393700.0,120666600.0,128812000.0,128452200.0,136824700.0
一般风险准备,1273300.0,1273000.0,1273800.0,4083400.0,4084400.0,4085200.0,4085900.0,6935500.0,6936200.0,6937000.0,6937800.0,8422200.0,8424500.0,8427900.0,8429100.0,9307100.0,9312200.0,9320800.0,9325100.0,10430100.0,10444400.0,10451800.0,10453500.0,18907100.0,18916200.0,18929600.0,18931200.0,20294000.0,20341100.0,20349200.0,20346200.0,22162200.0,22201000.0,22252000.0,22257900.0,24635600.0,24641000.0,24647900.0,24653800.0,25134900.0,25140300.0,25177300.0,25182700.0,26489200.0,26498000.0,26640200.0,26682400.0,27906400.0,27933000.0,27930800.0,27936100.0
外币报表折算差额,-50400.0,-54600.0,-68700.0,-108900.0,-143500.0,-390400.0,-489100.0,-923000.0,-1012700.0,-390900.0,-209700.0,-191900.0,-178200.0,-368100.0,-48800.0,58100.0,-140200.0,-221700.0,-938400.0,-1079200.0,-863000.0,-1148100.0,-1155500.0,-1282200.0,-1577600.0,-2066700.0,-2173100.0,-2403800.0,-2193200.0,-2205900.0,-2558200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他储备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
归属于母公司股东的权益,48535200.0,49861800.0,52095800.0,53894700.0,56660800.0,55000700.0,58169900.0,60318300.0,63655200.0,61641600.0,64621000.0,67389300.0,71908900.0,70427900.0,75383200.0,82043000.0,87096800.0,85839100.0,90068200.0,95674200.0,102181500.0,101631800.0,107335000.0,112499700.0,119417500.0,117150700.0,123173900.0,127413400.0,135848500.0,135485700.0,142758100.0,153085900.0,161132800.0,160302500.0,168002800.0,178947400.0,186318000.0,185659300.0,194228700.0,196975100.0,203274800.0,201829500.0,208894600.0,212749100.0,217151000.0,217859900.0,226696300.0,233000100.0,241362700.0,241337600.0,265489600.0
少数股东权益,460100.0,469900.0,507900.0,530500.0,432300.0,433500.0,412000.0,395500.0,403300.0,450400.0,469700.0,504100.0,511200.0,532100.0,567300.0,122700.0,125700.0,122400.0,118400.0,108100.0,112800.0,113000.0,192400.0,346200.0,364000.0,358600.0,365000.0,432900.0,443500.0,464600.0,479400.0,644500.0,993200.0,1061200.0,1062400.0,1104500.0,1089900.0,1118400.0,1170800.0,1141200.0,1222300.0,1233900.0,1219600.0,1356500.0,1339500.0,1360200.0,1389800.0,1488200.0,1532600.0,1551900.0,1573200.0
股东权益合计,48995300.0,50331700.0,52603700.0,54425200.0,57093100.0,55434200.0,58581900.0,60713800.0,64058500.0,62092000.0,65090700.0,67893400.0,72420100.0,70960000.0,75950500.0,82165700.0,87222500.0,85961500.0,90186600.0,95782300.0,102294300.0,101744800.0,107527400.0,112845900.0,119781500.0,117509300.0,123538900.0,127846300.0,136292000.0,135950300.0,143237500.0,153730400.0,162126000.0,161363700.0,169065200.0,180051900.0,187407900.0,186777700.0,195399500.0,198116300.0,204497100.0,203063400.0,210114200.0,214105600.0,218490500.0,219220100.0,228086100.0,234488300.0,242895300.0,242889500.0,267062800.0
负债及股东权益总计,788080600.0,830398800.0,859775600.0,868428800.0,914138700.0,939996000.0,938434700.0,975765400.0,1097896600.0,1143508600.0,1167013400.0,1178505300.0,1255338500.0,1296038100.0,1341788700.0,1345862200.0,1438999600.0,1489604800.0,1512700200.0,1547686800.0,1643119600.0,1707305000.0,1737115000.0,1754221700.0,1835727800.0,1872335300.0,1874254800.0,1891775200.0,1973468300.0,2030367700.0,2015095600.0,2060995300.0,2139663300.0,2241729500.0,2210491700.0,2220978000.0,2288332500.0,2352432700.0,2364647200.0,2413726500.0,2490493600.0,2551404600.0,2576479800.0,2608704300.0,2649378100.0,2730308000.0,2819813500.0,2769954000.0,2924657200.0,2999047600.0,3042638100.0
