报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
一、营业总收入,110476.67,227283.88,366554.52,516572.47,133664.44,289774.33,442793.42,571696.56,105912.54,254656.82,414386.48,607936.92,175258.49,388800.37,607947.28,850803.78,223067.01,465731.79,710102.98,968941.02,225734.89,487408.96,754599.92,1024739.15,260027.55,554548.34,844058.14,1150120.98,290286.93,618114.91,935841.53,1292818.17,322376.76,659132.55,969528.85,1357349.51,356703.95,758442.5,1159055.24,1662133.63,419759.83,871396.26,1339953.34,1871560.88,474784.21,1008517.46,1512243.69,2022498.57,493349.84,1028736.27
营业收入,110476.67,227283.88,366554.52,516572.47,133664.44,289774.33,442793.42,571696.56,105912.54,254656.82,414386.48,607936.92,175258.49,388800.37,607947.28,850803.78,223067.01,465731.79,710102.98,968941.02,225734.89,487408.96,754599.92,1024739.15,260027.55,554548.34,844058.14,1150120.98,290286.93,618114.91,935841.53,1292818.17,322376.76,659132.55,969528.85,1357349.51,356703.95,758442.5,1159055.24,1662133.63,419759.83,871396.26,1339953.34,1871560.88,474784.21,1008517.46,1512243.69,2022498.57,493349.84,1028736.27
二、营业总成本,93186.0,183715.05,297311.9,421951.1,112262.63,243060.52,378697.65,544621.46,94275.62,229569.45,345298.18,462687.93,127877.01,290853.83,460889.96,653217.56,179687.66,377084.19,581156.72,799561.69,183283.65,397611.19,616964.21,845863.79,212180.55,448573.14,682971.08,926206.51,232834.71,492593.11,749132.25,1037607.26,262581.21,527738.4,759860.28,1054322.81,286066.69,582610.66,901100.01,1282620.9,334386.6,706499.79,1089908.9,1521185.35,403141.24,798137.77,1179113.91,1616443.3,429543.06,868570.62
营业成本,71449.38,141624.91,233907.9,329652.82,89621.6,191784.22,297655.48,392633.89,69990.52,156470.87,243913.35,352285.35,98373.89,227767.75,363477.34,506887.0,139545.85,293064.39,449913.41,614666.94,137333.45,298308.43,464535.64,633791.6,157702.03,331428.73,503834.94,673950.63,166909.22,358567.98,540843.25,745655.52,185751.36,378227.59,561371.36,781434.32,199130.38,430652.97,660687.36,946331.39,234416.94,496861.22,766287.51,1071261.18,275776.67,585345.72,866750.65,1160305.49,300562.33,642667.17
营业税金及附加,12.01,22.91,113.48,269.09,90.25,160.73,236.22,312.56,29.98,102.81,167.03,250.75,88.17,192.54,271.58,672.67,967.39,2137.66,3828.51,5686.6,1352.23,3133.31,4920.92,6778.72,2087.62,4107.62,6466.89,8616.91,2430.88,4356.27,6919.01,9813.63,2688.27,5162.33,7819.81,11245.39,3275.02,6854.19,9752.06,17426.51,4768.06,9572.28,14464.05,20026.36,4419.51,9908.47,15132.49,20307.22,5182.52,9787.59
销售费用,7753.16,16070.59,24655.33,35370.34,9264.79,20575.58,31012.84,42021.52,7699.29,17944.26,28863.86,41098.82,12953.5,27859.0,42543.77,62163.45,17306.62,35060.87,53719.36,74352.39,17687.94,36847.77,56828.95,77854.01,20644.07,42059.51,63980.14,87677.61,23161.37,47465.19,72463.21,98216.48,24742.14,49471.28,73120.94,102058.46,28524.27,56168.15,85155.72,118474.0,31475.34,61165.21,90091.7,127430.88,32347.77,67224.48,103149.19,146767.13,34820.55,69245.28
管理费用,8741.05,15323.59,22435.75,34792.16,7614.33,16994.15,27187.35,37665.36,9767.11,22199.55,34737.01,48348.32,12033.34,25651.22,41692.33,66167.41,18263.77,37968.97,57710.46,80263.26,21145.49,44893.21,70695.97,99516.35,25470.38,57361.62,88042.76,129418.1,33114.28,71797.13,109281.44,153893.02,41775.46,84877.15,133039.28,187336.5,50025.74,103644.7,159358.21,239209.78,60997.81,122811.88,187305.79,260082.06,64169.63,135127.31,144225.35,206307.22,49542.35,99899.89
财务费用,5243.0,10656.39,16194.71,22189.41,5672.51,13575.67,22634.63,30057.72,6788.72,11352.75,16116.31,20633.53,4428.12,9406.49,12909.38,17263.7,3604.04,8852.3,15984.97,23559.86,5764.53,12374.23,17926.28,24504.25,6276.45,13615.65,18894.47,24380.35,6639.56,9713.08,18529.23,28543.53,7401.58,9515.18,-16492.63,-28905.95,4954.54,-15232.44,-14361.61,-39943.24,2602.55,15848.67,31351.55,41873.79,26540.83,646.08,-15701.05,-11062.67,18537.59,7251.19
资产减值损失,-12.61,16.66,4.74,-322.72,-0.84,-29.83,-28.87,41930.4,0.0,21499.21,21500.61,71.16,0.0,-23.17,-4.45,63.32,0.0,0.0,0.0,1032.64,0.0,2054.24,2056.45,3418.85,0.0,0.0,1751.88,2162.92,579.4,693.46,1096.1,1485.09,222.4,484.87,1001.51,1154.09,156.74,523.1,508.28,1122.46,125.91,240.53,408.31,511.07,-113.17,-114.28,-61.64,2233.55,21.28,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.62,70.62,70.62,70.62,104.69,-34.07,-34.07,126.19,-682.0,-452.15,-320.87,1211.55,846.28,2127.39,448.65,-430.97,-280.89,-167.6,-20.11,40.37,277.67,-357.65,-2898.52,-720.17,-1911.83,-3351.37,1769.7,6726.05,6389.35,50.05,815.22
