报表日期,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
一、营业总收入,5249.51,10740.62,11340.78,4426.06,7250.66,12022.96,3054.69,7188.22,11291.01,16991.9,3677.99,9246.73,16840.27,26577.12,4298.1,12368.73,22750.3,34882.79,5180.96,14854.17,28090.95,49141.16,9654.52,26414.8,43679.64,75315.77,13440.85,36341.93,58433.33,95447.33,16729.05,42029.06,68930.23,120375.63,20564.34,54685.38,92497.87,143876.13,24696.84,66954.16,119783.29,190800.79,27797.33,79330.89
营业收入,5249.51,10740.62,11340.78,4426.06,7250.66,12022.96,3054.69,7188.22,11291.01,16991.9,3677.99,9246.73,16840.27,26577.12,4298.1,12368.73,22750.3,34882.79,5180.96,14854.17,28090.95,49141.16,9654.52,26414.8,43679.64,75315.77,13440.85,36341.93,58433.33,95447.33,16729.05,42029.06,68930.23,120375.63,20564.34,54685.38,92497.87,143876.13,24696.84,66954.16,119783.29,190800.79,27797.33,79330.89
二、营业总成本,4049.36,9346.55,9629.21,3397.82,5539.75,9154.69,2351.64,5178.83,8392.43,13656.52,3359.4,7915.1,14213.34,22977.29,4360.22,11102.05,19372.12,29818.58,4752.23,12330.02,23369.39,40164.65,8754.1,22689.96,38751.83,65120.78,12480.4,30327.51,50008.12,81547.56,16994.43,36292.44,60362.4,102452.3,20069.77,48818.24,81854.18,124053.85,23472.26,58756.59,99868.52,153966.02,29011.44,71908.58
营业成本,3123.11,6976.4,6155.74,1798.2,2883.15,5032.68,1182.38,2806.96,4537.37,6789.02,2278.96,4231.82,7477.1,12082.33,2090.06,5852.23,10234.1,16014.74,2255.33,5675.12,12185.69,22277.82,4539.5,11985.56,19677.8,34549.25,6302.67,15769.58,26516.81,43550.35,9590.01,20167.61,33786.7,57461.25,11190.88,27380.29,46452.39,69061.12,13153.15,32523.39,58923.19,92685.6,15494.93,40480.39
营业税金及附加,31.67,68.01,168.38,57.23,97.9,242.69,67.33,171.74,253.78,358.56,50.79,142.77,251.1,378.05,45.93,133.04,303.38,497.85,67.76,238.67,452.15,716.04,130.01,353.57,662.44,946.63,180.62,533.57,781.99,1288.21,154.57,529.25,821.01,1618.36,249.8,639.32,970.79,1619.57,231.16,857.93,1397.52,2206.9,264.53,909.06
销售费用,383.34,851.08,1696.42,558.36,956.17,1849.01,448.63,992.74,1613.21,3244.91,610.33,1948.09,3635.23,6026.48,1013.06,2599.04,4304.44,6809.57,1030.95,3158.33,5049.72,7978.44,1700.53,4328.73,7177.33,10909.74,2662.32,5732.48,9313.7,13517.81,2913.75,6613.92,10211.28,15582.73,3865.61,7811.61,12657.94,20084.48,4222.01,10023.59,15778.6,24174.08,4712.05,12857.81
管理费用,412.26,1407.74,1582.59,889.06,1554.41,2064.35,663.44,1129.77,1793.59,3309.68,857.79,1910.86,3135.62,4856.41,1346.94,2658.15,4244.3,6133.17,1385.49,3121.95,5272.93,8358.45,2836.36,6237.26,10816.08,15987.92,4390.59,8259.83,12802.03,18118.98,5418.72,9592.31,15110.51,22588.95,5467.79,11197.22,8347.63,11807.98,3050.88,6451.9,9596.27,14015.48,3532.28,7094.36
财务费用,-0.28,-5.04,-22.82,-9.11,-15.39,-45.34,-15.66,-31.69,-75.77,-391.31,-365.07,-486.81,-676.65,-861.81,-196.28,-364.14,-514.57,-705.88,-213.15,-574.87,-709.65,-829.69,-140.48,-198.72,-170.64,-7.49,194.54,419.83,465.1,623.51,47.89,110.78,162.91,393.62,116.62,304.28,561.97,801.66,41.39,13.72,214.23,320.65,106.5,191.36
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9630.09,14720.82,3895.26,8886.07,13958.72,20563.31,4901.16,10375.62
资产减值损失,99.26,48.36,48.9,104.08,63.51,11.3,5.52,109.3,270.25,345.67,-73.4,168.36,390.93,495.83,60.51,223.73,800.46,1069.12,225.85,710.82,1118.57,1663.6,-311.82,-16.43,588.83,2734.72,-1250.34,-387.79,128.49,4448.7,-1130.51,-721.43,269.98,4807.39,-820.93,1485.51,3233.36,5958.23,-1121.58,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1290.11,9.62,21.28
投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.99,-24.51,10.01,40335.49,39643.34,37871.12,-335.75,-1171.63,-1790.26,-1870.49,-176.86,-729.61,-1625.08,-808.73,-740.49,-187.05,-1220.89,-2005.95,-329.01,-1299.24
