报表日期,2007-03-31,2007-06-30,2007-12-31,2008-03-31,2008-06-30,2008-12-31,2009-06-30,2009-12-31,2010-06-30,2010-12-31,2011-06-30,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-12-31,2016-06-30,2016-12-31,2017-03-31,2017-06-30,2017-12-31,2018-06-30,2018-09-30,2018-12-31,2019-06-30,2019-09-30
一、营业收入,58422.01,120520.2,271762.76,69448.99,117936.61,200631.18,88559.26,201115.93,104363.16,238557.94,80018.7,141111.58,141370.04,70441.16,128920.29,91594.0,257818.25,102125.77,263503.87,494778.36,128178.19,283049.36,68912.1,137009.11,306752.58,135445.98,211402.77,275509.81,150729.46,213156.64
手续费及佣金净收入,0.0,106654.91,229557.99,0.0,66416.56,137595.01,71465.17,176319.07,87976.05,208318.19,65334.34,119119.26,102083.54,55203.39,103716.55,54641.66,140755.66,56820.32,158310.65,324511.7,104443.94,203807.86,37135.37,78266.3,193943.37,79306.1,127353.86,163936.41,76429.27,108420.43
代理买卖证券业务净收入,0.0,0.0,133067.35,0.0,44792.48,83789.6,56722.9,137503.38,47525.38,103813.94,36970.63,62871.53,46267.11,28980.91,71174.8,28167.42,92683.44,42756.78,132626.52,230862.02,49591.3,86327.91,15402.22,30948.47,65250.29,29345.75,40926.29,51591.99,34153.62,49520.03
证券承销业务净收入,0.0,31202.68,70783.9,0.0,14970.3,46501.11,13120.28,31963.08,39918.09,95803.03,16292.21,38553.41,44765.12,13562.05,19579.41,17286.15,28140.79,5381.86,8596.7,37161.18,27607.19,58653.19,6843.86,14413.66,43192.11,4284.25,13010.02,20297.73,9426.6,13055.5
受托客户资产管理业务净收入,0.0,0.0,20012.09,0.0,0.0,0.0,135.27,453.94,667.57,1724.43,0.0,2204.13,2720.75,6087.89,11682.2,9093.44,19721.89,8615.86,15591.79,54417.89,26958.14,58556.89,14800.04,32872.2,85385.61,45585.05,73232.85,91721.64,32183.08,45113.66
利息净收入,0.0,-2620.64,10227.21,0.0,5039.36,11289.66,3585.53,11410.96,4292.26,12505.65,4927.89,12811.17,3286.86,1690.96,5559.95,9034.16,26899.1,17643.43,36674.5,59398.26,15425.23,38233.56,21304.04,40018.25,71909.08,35174.23,51662.45,68204.75,43339.75,61804.84
其中:利息收入,0.0,6271.35,22141.15,0.0,0.0,22418.51,0.0,17765.47,0.0,19286.15,0.0,21006.43,18841.62,0.0,27996.93,0.0,67969.39,0.0,0.0,186002.29,0.0,143602.09,0.0,0.0,151714.21,81470.84,121566.89,163492.12,87428.38,127006.3
利息支出,0.0,2943.83,11913.94,0.0,0.0,11128.85,0.0,6354.52,0.0,6780.5,0.0,8195.26,15554.76,0.0,22436.98,0.0,41070.29,0.0,0.0,126604.03,0.0,105368.53,0.0,0.0,79805.12,46296.62,69904.44,95287.37,44088.63,65201.46
投资收益,0.0,1528.18,10744.23,0.0,35567.21,45180.03,21282.92,21784.72,9683.51,15275.76,8521.03,11943.64,27673.43,17994.19,32780.08,24577.14,64218.11,23579.1,75095.49,103349.93,18577.56,57138.79,11125.82,20123.39,52735.21,13039.67,19663.29,28210.78,15554.16,26519.81
其中:对联营企业和合营企业的投资收益,0.0,0.0,395.61,0.0,0.0,21685.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动损益,0.0,0.0,1192.96,0.0,2854.81,6745.39,-7920.77,-8811.11,1548.47,2163.77,90.38,-3158.32,8001.58,-4495.46,-13320.69,3110.49,25672.25,4026.62,-6693.52,6919.2,-10912.46,-16889.07,-667.74,-1401.81,-13960.86,2948.37,6381.87,8703.4,7680.87,7961.87
汇兑损益,0.0,-792.26,-1130.44,0.0,-606.47,-567.38,-1.64,-3.74,-24.71,-143.19,-103.5,82.24,48.59,-108.2,-181.81,64.79,30.58,22.17,-2.37,438.03,170.08,554.55,-60.82,-194.88,-489.19,101.53,471.03,323.03,13.41,262.84
其他业务收入,0.0,9801.84,21170.79,0.0,8665.14,388.47,148.05,416.03,220.01,437.75,136.52,313.59,276.05,156.29,366.2,165.76,242.55,34.13,119.13,180.27,473.84,258.21,75.43,197.85,304.11,222.39,220.99,311.99,88.1,110.2
二、营业支出,0.0,37446.47,121803.84,0.0,56816.88,77176.22,34388.71,99102.85,47118.98,127956.35,38429.39,91518.27,93459.35,40463.36,89873.42,42784.55,127429.98,30886.66,91444.7,218390.66,55929.25,152259.74,30939.62,62290.86,165249.33,68208.53,123949.56,184341.81,81254.63,113644.2
营业税金及附加,0.0,6552.32,14019.01,0.0,4766.5,8234.84,4347.74,9382.16,4699.97,10776.81,3690.33,6656.25,6029.54,3706.66,7490.59,4140.35,12568.0,5737.07,15988.08,28061.76,6175.49,7433.88,452.67,961.75,2287.04,982.45,1457.07,1834.51,846.0,1249.39
管理费用,0.0,30524.75,107556.2,0.0,52463.64,69427.41,30043.33,89690.25,42400.43,117056.78,34706.79,84698.47,87228.08,36627.69,80929.47,38470.94,111809.83,25043.83,75181.63,183364.23,49682.52,143014.25,30457.82,61134.82,161959.76,66621.56,109833.15,162391.95,76868.96,115762.88
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值损失,0.0,0.0,-102.79,0.0,-517.83,-517.83,-14.26,-14.26,0.0,0.0,0.0,0.0,0.0,0.0,1127.18,0.0,2687.1,0.0,0.0,6547.92,0.0,1544.67,0.0,0.0,715.25,367.62,12351.63,19738.47,0.0,0.0
