报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
货币资金,2530.6,2469.37,1707.84,2117.37,8115.6,6363.67,863.4,666.63,24678.93,6726.09,12628.22,3621.05,6273.04,6031.66,3967.67,22842.88,42439.22,32433.18,25087.49,112841.77,51896.02,58718.17,17918.72,27832.19,18177.22,23491.08,25116.1,114137.42,70300.17,72811.77,20207.41,212782.39,68718.94,179324.84,29684.96,39236.53,49257.81,56418.62,29951.02,30667.9,37640.59,61882.38,29588.92,111588.27,103671.18,98743.31,107950.17,96146.26,100330.71,81949.5,16104.31,9766.87,19436.37,6698.42
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.02,10.02,10.02,10.19,59.83,9.83,0.0,0.0,12623.0,13052.96,13480.91,14434.5,15189.25,15565.75,16439.48,17006.85,18647.36,19031.57,19169.9,19255.11,20057.78,18670.07,20108.58,22561.45,24058.15,157.0,154.03,137.79,141.13,130.42,138.04
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14887.08,0.0,18653.88,0.0,17579.38,0.0,25330.91,26500.81,37878.78,57022.74,20942.22,24548.06,39170.27,33870.64,26571.5,13993.01,13698.16
应收票据,0.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收账款,5836.1,7962.02,9763.3,75.33,521.68,242.81,1306.66,250.22,136.64,1148.78,2454.41,1166.21,1048.71,507.23,1932.97,6211.6,10085.38,9963.89,7730.66,5548.56,5915.86,10343.55,11041.6,16589.07,16138.19,8099.2,6425.71,5358.16,5603.26,21770.62,17135.53,9600.69,12599.1,11940.63,13787.23,9833.64,10923.81,14887.08,18225.85,18653.88,28342.18,17579.38,25890.11,25330.91,26500.81,37878.78,57022.74,20942.22,24548.06,39170.27,33870.64,26571.5,13993.01,13698.16
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,2063.25,4986.82,5307.21,54.97,1191.6,696.89,14457.94,10068.65,1038.18,3.69,3565.44,1065.35,1423.31,25207.69,27410.52,18603.71,32146.82,48352.44,63317.89,53756.0,51080.82,35315.22,48994.1,117189.41,121435.11,134569.45,133855.9,57891.38,66760.91,13273.8,10865.62,33737.81,62845.16,31185.61,33109.97,40298.21,52659.36,53505.11,90829.06,42339.14,45764.19,111181.23,64247.78,31807.82,24915.6,17707.19,24669.03,7725.29,11078.65,13973.22,11973.57,8455.61,15689.29,7226.99
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12655.55,0.0,13761.51,0.0,24154.91,0.0,22311.68,17119.32,22405.85,31753.82,51104.24,40827.59,45856.36,38874.83,45540.95,19381.72,16062.46
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.64,0.0,0.0,0.0,0.0,0.0,0.0,21.08,0.0,0.0,0.0,25.68,25.68,0.0,91.01,192.54,192.5,624.67,438.28,560.84,703.89,786.53,984.03,1113.52,1125.32,1283.52,296.8,708.22,337.61,372.14,404.41,478.77,819.79,1247.8,1558.27,1847.33,2101.27,2584.77,2241.08,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2638.68,0.0,0.0,0.0,12163.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,4239.5,6425.22,7669.65,5.73,298.51,507.59,616.28,8149.15,7596.05,41816.79,72749.1,52888.29,58773.96,49674.71,61769.9,46177.74,42229.82,29434.09,29855.92,23248.22,20249.19,3364.71,13162.85,3062.0,5301.52,1335.24,6073.21,23837.73,5171.8,10900.08,3444.11,44545.98,39334.82,9640.87,10186.1,8123.35,9291.42,11372.02,11438.73,13053.29,36340.24,23782.77,102170.08,21832.91,16299.52,21158.05,0.0,49256.91,0.0,43271.59,0.0,45540.95,0.0,16062.46
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,1097.16,1490.36,2449.79,12798.95,12798.95,12862.95,13328.05,35698.62,36568.3,10678.84,10330.2,11252.86,22754.59,25003.67,33782.32,54258.17,60804.36,76775.36,86417.54,83858.06,93355.63,115387.72,138815.64,178567.32,193904.31,173006.2,202317.95,235501.98,240698.12,137517.27,139138.15,147750.84,149941.89,151421.83,154628.27,156566.34,156383.8,157595.73,159021.64,166062.3,166049.45,170390.47,5875.69,5177.18,5479.03,6467.94,6896.09,5161.09,6028.79,6253.8,8792.68,7040.11,6796.94,7492.54
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1174.99,1174.99,543.67,649.78,965.25,963.5,64722.6,965.25,1611.47,1762.13,1552.37,1039.65,1057.98,1005.88,969.01,974.25,754.28,1914.41,964.47,723.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,4.25,2.21,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.09,619.09,1215.66,1658.94,2705.04,2656.06,68.24,89.81,3552.1,6249.65,6640.98,5406.83,5741.13,4933.85,5729.97,6677.13,10010.7,9282.36,7417.34,6942.39,98526.03,101722.87,101881.54,103808.94,89168.48,89744.38,87852.75,93810.78,17070.09,81093.72,10140.44
