报表日期,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31
货币资金,3392.91,5227.43,12631.62,119606.05,116356.44,115084.19,109787.97,102269.65,100564.15,88458.75,86351.7,94528.2,88947.64,97034.76,89638.82,97686.82,95877.0,83992.5,57982.29,63978.81,69423.69,78737.84,79030.68,52265.36,85142.18,60819.98,52959.78,44210.08,100543.0,127975.86,137505.27,175496.5,171377.39,126615.84,91532.44,60916.87,82892.22,95322.69,86810.98,45772.59,64511.15,101457.83,44834.15,104137.81,111194.22,119064.24
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20800.0,49800.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151386.38,0.0,141461.47,0.0,135063.73,0.0,138145.14,138978.86,148436.0,131467.49,147515.82,134575.21,129433.43,125210.79,116630.03,89094.36
应收票据,83.77,928.71,51.21,1427.91,1019.96,4270.91,6113.3,15185.42,16967.15,19613.27,22970.06,22612.26,25949.45,25952.49,30785.74,32200.65,26649.98,22797.94,28215.63,39419.0,43016.35,41675.66,42137.75,40512.76,44460.55,42155.45,48802.68,52310.05,59930.51,70423.09,65245.72,63352.99,61983.4,53604.87,53577.65,57599.44,54625.84,63888.69,58106.73,31727.59,67422.36,66829.03,52152.54,38417.67,50732.49,26274.51
应收账款,7220.66,10419.93,13810.27,14793.22,19551.65,25822.46,29394.19,30376.29,31598.24,38405.25,36252.24,40295.57,41441.47,47980.73,47018.0,53628.42,54460.11,64459.91,66276.03,62016.42,69694.61,77232.37,72701.1,78561.93,83888.89,95367.71,92732.92,108937.62,82093.26,86052.33,86140.67,74951.06,79478.07,77296.48,81486.07,79760.35,83519.3,75090.16,90329.27,99739.9,80093.46,67746.18,77280.89,86793.12,65897.54,62819.84
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,1125.76,2208.77,2086.32,2263.07,6975.16,2548.99,6944.9,9988.66,2501.51,6045.85,5264.08,6651.83,3185.65,2601.35,2134.38,5340.1,15508.44,34059.78,34429.96,36710.88,6585.86,8182.9,8153.85,7673.41,944.73,1969.1,2545.24,2195.76,1867.01,3528.97,2891.42,3969.44,3689.91,3339.53,5817.02,6452.45,5770.92,5316.93,3302.75,5727.75,4202.8,3147.91,3939.3,6086.19,2331.78,3505.72
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1641.68,0.0,6160.14,0.0,5058.55,0.0,5731.94,6131.08,6119.54,4348.67,6406.65,4874.84,6089.28,4365.47,3161.38,2421.55
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.53,585.73,445.22,436.36,433.61,368.67,576.21,312.25,283.29,185.67,181.74,93.04,441.05,935.64,1153.31,554.54,385.77,489.44,0.0,224.8,0.0,393.36,43.23,200.71,273.62,316.67,112.39,301.49,792.75,577.31,63.4,0.0,569.09,561.57,381.98,134.35,87.7,277.9
