报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30
销售商品、提供劳务收到的现金,101818.35,204126.99,346306.35,2657073.3,781729.16,1970898.32,2970091.4,4295435.4,823710.5,1974722.67,3148222.35,4447681.54,822445.74,1958666.45,3079627.01,4497532.18,552733.38,1621901.76,2369137.68,3523618.29,609962.58,1351108.14,2172347.62,3384105.42,772929.94,1627329.58,2470765.72,3655367.6,671569.04,1726386.82,2696584.92,3972438.12,636531.32,1569398.09,2449988.01,3710375.02,711913.95,1735741.88,2608188.28,3849120.1,663867.77,1390836.78,2014690.99,2974564.24,464891.32,1312050.34,2046536.72,2959561.45,466998.6,1099238.32,1848019.79,3055089.34,563989.66,1617220.03,2524669.89,3864735.32,670708.27,1673294.57
收到的税费返还,0.0,0.0,0.0,4675.88,12.73,3808.38,6196.78,23170.51,71.33,3219.49,5098.33,13957.94,585.78,8058.42,17375.28,29491.15,6493.41,18194.28,30476.97,44577.2,10335.57,18558.7,25963.74,29805.81,9759.08,16532.61,25500.18,39588.66,15244.4,15305.58,15682.4,35152.81,2894.2,13215.9,41204.12,52206.9,7426.28,8026.63,9561.65,11952.04,1871.29,4759.28,5894.93,6745.73,1101.32,6347.52,20950.44,26536.74,3234.15,5052.97,6858.35,10021.29,5363.26,10042.66,21464.7,21562.81,1964.33,29070.29
收到的其他与经营活动有关的现金,1886.11,5858.65,10442.45,25740.26,13128.93,91418.77,118810.82,125541.62,16475.27,35723.78,62151.93,58121.5,19557.5,50015.14,68083.35,61621.87,29173.53,62141.51,82880.85,55244.93,18548.95,43117.92,68910.22,49501.27,23667.11,34407.16,62646.89,48222.97,21230.17,37213.63,91441.49,69074.37,42090.16,50900.86,28225.45,46472.82,37504.49,36454.94,85784.0,80464.56,14498.78,42894.46,71618.37,110251.14,36170.39,161750.05,390019.74,342734.38,228238.7,53832.2,127995.33,552790.87,71759.11,93531.46,133088.09,544372.07,37029.81,88802.02
经营活动现金流入小计,103704.46,209985.65,356748.8,2687489.45,794870.81,2066125.48,3095099.0,4444147.53,840257.09,2013665.94,3215472.61,4519760.98,842589.02,2016740.02,3165085.64,4588645.2,588400.32,1702237.56,2482495.51,3623440.42,638847.1,1412784.76,2267221.58,3463412.5,806356.13,1678269.34,2558912.79,3743179.24,708043.61,1778906.02,2803708.81,4076665.31,681515.68,1633514.86,2519417.58,3809054.75,756844.72,1780223.44,2703533.94,3941536.7,680237.83,1438490.52,2092204.29,3091561.11,502163.03,1639462.34,2680717.48,3595628.62,776722.48,1230978.29,2028325.46,3643744.27,672805.58,1857373.55,2878343.97,4583770.72,713567.88,1829479.56
购买商品、接受劳务支付的现金,103777.16,214465.23,329748.71,2349104.92,698980.19,1425577.15,2367277.66,3348515.08,824005.68,1532866.0,2505858.91,3378528.53,811693.87,1713665.73,2461920.28,3777285.9,645242.26,1530604.39,2169840.07,2989324.23,690533.25,1227905.48,1906959.96,2656905.08,600224.43,1199484.47,1899191.26,2641227.7,601774.11,1311533.54,2073301.59,2942546.19,697230.4,1305952.59,1915470.0,2547128.18,551895.48,1090334.48,1614451.3,2308894.05,567239.27,1196267.93,1747043.11,2309017.3,491570.35,1033479.66,1587236.1,2083040.01,476201.3,1021551.24,1640711.02,2353453.24,572529.76,1391308.07,2163174.78,3039594.26,898300.77,1890027.95
支付给职工以及为职工支付的现金,16010.32,29892.38,45116.06,164570.87,33733.31,69117.47,118076.86,199150.75,45709.58,86529.95,144771.3,252109.73,52941.02,103728.24,177192.23,274546.38,64604.93,128007.25,203534.03,304778.15,81392.77,152698.38,230828.34,347820.37,79860.77,154705.81,238138.93,377344.17,71834.5,168634.97,248215.47,408910.76,69623.41,145930.81,231984.68,375782.68,66844.93,138823.51,224436.15,349283.22,74225.93,143258.63,218552.0,338356.05,75141.81,152143.28,241297.72,363936.51,83657.06,175124.81,261244.12,397416.88,78517.14,175192.28,266067.22,413836.65,93409.54,184232.64
支付的各项税费,20510.39,26120.13,35977.04,107632.44,26961.36,50362.54,53954.18,71938.75,30161.74,39834.16,58557.91,73372.2,56081.75,125161.9,182503.84,205277.67,59789.22,140310.18,232750.93,318001.85,64866.48,191578.87,245758.15,342438.48,75448.02,162185.72,237718.59,290402.83,65141.14,172718.4,214871.27,252153.93,94070.26,181249.7,274920.33,336541.79,76655.61,152281.36,207110.84,261033.45,83713.87,155674.27,205028.71,239966.91,53153.93,139548.36,184249.66,247434.36,54569.45,116195.44,135800.67,193578.12,28667.23,59726.57,86094.19,141470.61,34648.17,71187.72
支付的其他与经营活动有关的现金,2924.33,6257.23,11873.48,112370.16,34897.58,68672.56,120062.64,124275.1,27201.69,53213.68,72776.93,161299.03,36654.91,95000.11,150000.63,136316.78,62773.18,86106.11,133174.55,125187.52,31758.47,66282.98,107996.35,134100.93,37375.13,73197.19,121280.09,133842.87,47905.5,112831.37,173225.78,189791.39,57841.09,100015.96,116045.1,134015.34,55906.07,84172.31,110779.19,125816.97,41349.8,57860.54,111110.75,159196.9,39877.08,113597.1,159377.03,637319.52,581067.17,246651.28,241079.91,620737.21,51956.16,95179.37,136666.61,1119994.16,48151.18,111235.2
经营活动现金流出小计,143222.2,276734.97,422715.29,2733678.38,794572.44,1613729.72,2659371.34,3743879.68,927078.7,1712443.78,2781965.05,3865309.49,957371.56,2037555.99,2971616.98,4393426.73,832409.6,1885027.92,2739299.58,3737291.75,868550.97,1638465.7,2491542.79,3481264.86,792908.34,1589573.19,2496328.86,3442817.57,786655.25,1765718.27,2709614.12,3793402.28,918765.17,1733149.06,2538420.1,3393467.99,751302.09,1465611.66,2156777.49,3045027.69,766528.87,1553061.37,2281734.57,3046537.16,659743.17,1565426.7,2376471.17,3650806.65,1191761.47,1555959.65,2295574.96,3623519.81,746735.38,1760168.11,2637751.99,4858650.92,1085061.83,2295746.62
经营活动产生的现金流量净额,-39517.74,-66749.32,-65966.49,-46188.94,298.37,452395.76,435727.66,700267.85,-86821.6,301222.16,433507.56,654451.49,-114782.54,-20815.97,193468.66,195218.47,-244009.27,-182790.37,-256804.07,-113851.33,-229703.87,-225680.95,-224321.21,-17852.37,13447.79,88696.15,62583.92,300361.67,-78611.64,13187.75,94094.69,283263.03,-237249.48,-99634.2,-19002.52,415586.76,5542.63,314611.79,546756.45,896509.02,-86291.04,-114570.85,-189530.28,45023.95,-157580.15,74035.64,304246.31,-55178.03,-415038.99,-324981.36,-267249.5,20224.46,-73929.79,97205.44,240591.97,-274880.2,-371493.95,-466267.06
收回投资所收到的现金,0.0,0.0,0.0,32.03,0.0,79.63,79.63,0.0,0.0,0.0,0.0,459.52,0.0,0.0,98.0,0.0,4194.57,8533.98,8533.98,9985.57,541.79,27961.46,27961.46,27970.87,0.0,0.0,4.43,4.43,3901.37,3901.37,19794.78,43589.48,7978.15,7978.15,10314.83,12578.46,0.0,61.6,61.6,1146.92,0.0,2061.73,2366.37,2366.37,0.0,154125.76,232599.28,288780.54,104939.91,251292.35,386040.82,270621.57,110278.53,442011.59,587827.43,255672.44,222492.73,708006.91
取得投资收益所收到的现金,0.0,0.0,0.0,0.0,0.0,2.8,770.05,767.25,0.0,0.0,634.25,634.25,0.0,0.0,752.22,823.22,0.0,1909.56,2479.22,3004.29,0.0,285.6,4116.39,4664.91,0.0,187.9,1338.39,6719.78,0.0,246.16,2783.01,10103.39,0.0,0.0,537.89,8367.09,1.0,31.55,1253.88,1253.88,0.0,6862.77,8090.3,10733.53,3732.66,5884.78,10133.4,16267.63,18217.64,30570.43,41545.59,25936.83,1145.66,4527.87,16348.19,17318.25,125.0,13258.19
处置固定资产、无形资产和其他长期资产所收回的现金净额,26.83,124.44,185.9,577.39,225.8,323.83,394.27,496.12,9.51,48.0,402.5,684.39,63.94,141.89,278.19,554.13,215.24,435.34,512.02,2363.53,55.0,84.11,101.99,2614.41,391.71,532.92,550.83,641.54,13.21,109.23,136.29,156.11,209.3,299.6,309.76,3220.84,9.13,13.35,32.32,753.02,159.86,280.68,1650.59,3192.89,503.07,5772.22,6468.87,2438.54,438.06,471.67,817.12,1015.2,64.29,73.72,493.77,666.27,952.86,17568.05
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.91,0.0,0.0,0.0,801.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,26.0,26.0,226.0,0.0,0.0,0.0,7.3,205.23,489.63,467.42,468.97,552.46,0.0,1.44,7.55,0.0,0.0,0.27,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流入小计,26.83,124.44,185.9,609.42,251.8,432.26,1469.95,1368.28,9.51,48.0,1044.05,2785.06,553.57,609.31,1597.38,1929.81,4409.81,10880.31,11532.77,15353.39,596.79,28331.45,32180.12,35250.18,391.71,720.83,1893.65,7365.75,3914.58,4256.76,22714.08,53848.97,8187.45,8277.75,11162.48,24166.39,10.13,106.49,1347.8,3153.82,159.86,9205.18,12107.26,16241.06,4235.72,165782.75,249201.55,307486.71,123595.61,282334.46,428403.53,297573.6,111488.49,446613.18,604669.39,273656.96,223570.6,738833.15
购建固定资产、无形资产和其他长期资产所支付的现金,4463.59,9971.68,13630.02,69265.11,21149.74,39688.92,100833.35,198831.22,78359.93,186710.59,277750.28,368536.83,90886.63,152168.13,205051.92,258435.85,56396.74,90346.08,113942.0,186190.98,46441.01,64751.61,85161.79,119453.49,23639.52,35886.69,57840.1,77439.58,24387.77,44319.88,56986.08,66749.43,12141.53,18957.23,26559.03,38528.14,6058.59,8851.52,12800.71,27382.61,4123.52,7723.76,10070.54,20590.92,3837.4,7353.16,12198.72,18498.85,4790.29,10849.25,17272.42,64223.69,6127.57,22806.99,34181.61,54117.09,9944.31,18529.99
投资所支付的现金,1912.5,1912.5,1912.5,117581.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15578.74,0.0,399.98,2699.98,45240.03,3402.97,6795.26,7439.55,9339.71,39400.0,39400.0,39400.0,40400.0,0.0,2800.0,3300.0,3300.0,0.0,5100.0,6700.0,6700.0,1200.0,2362.72,7365.26,11397.16,2396.68,3996.68,20071.68,20071.68,200.0,200.0,200.0,74.69,4800.0,90502.48,245593.34,330713.36,95996.97,402142.82,405381.11,87664.78,126816.66,634329.07,1142990.34,287567.79,54010.41,318902.55
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,126.86,38.35,0.0,4181.28,87.62,48.67,77.31,101.48,101.48,0.0,2.98,2.98,25.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.73,51.73,0.0,0.0,0.0,3000.0,783.2,0.0,0.0,0.0,8661.76,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流出小计,6376.09,11884.18,15542.52,186847.02,21149.74,39688.92,100960.21,198869.57,78359.93,190891.87,277837.91,384164.24,90963.94,152669.58,207853.38,303675.88,59802.69,97144.32,121407.03,195530.69,85841.01,104151.61,124561.79,159853.49,23639.52,38686.69,61140.1,80739.58,24387.77,49419.88,63686.08,73449.43,13341.53,21319.96,33924.29,49925.29,8455.27,12848.2,32872.38,47454.29,4323.52,7975.49,10322.28,20665.61,8637.4,97855.65,260792.05,349995.41,100787.26,412992.07,422653.53,160550.23,132944.23,657136.06,1177171.95,341684.88,63954.72,337432.54
投资活动产生的现金流量净额,-6349.26,-11759.74,-15356.62,-186237.6,-20897.95,-39256.66,-99490.26,-197501.29,-78350.42,-190843.87,-276793.85,-381379.18,-90410.37,-152060.28,-206256.0,-301746.08,-55392.88,-86264.02,-109874.26,-180177.3,-85244.22,-75820.16,-92381.67,-124603.31,-23247.81,-37965.86,-59246.45,-73373.83,-20473.19,-45163.11,-40972.0,-19600.46,-5154.08,-13042.2,-22761.81,-25758.9,-8445.13,-12741.7,-31524.59,-44300.47,-4163.66,1229.69,1784.98,-4424.55,-4401.68,67927.1,-11590.5,-42508.7,22808.34,-130657.61,5750.0,137023.37,-21455.74,-210522.88,-572502.57,-68027.92,159615.88,401400.61
吸收投资收到的现金,0.0,0.0,0.0,981.14,0.0,18.9,18.9,173881.22,78953.0,93845.8,93845.8,502429.8,2212.58,12712.58,34420.1,21670.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4950.0,4950.0,0.0,15000.0,15496.0,39232.5,0.0,800.0,12629.95,13689.64,3650.25,5883.25
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2442.8,0.0,0.0,0.0,271.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4950.0,4950.0,0.0,15000.0,15496.0,22635.2,0.0,800.0,12629.95,13053.95,3650.25,5883.25
