报表日期,2007-12-31,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
一、营业总收入,18433.81,29517.99,2845.61,11219.49,20020.96,30439.88,4925.01,17761.02,26643.05,43017.53,8124.44,20571.47,40947.25,60057.74,17946.76,38221.16,61112.46,80857.0,22636.82,46083.55,70518.86,120082.92,26964.38,99167.39,189839.47,300991.45,68117.56,221393.57,383246.76,569811.52,173532.3,580660.91,1029336.66,1753110.15,552180.74,1208547.69,1713620.64,2247773.3,439650.56,1023435.78,1266159.47,1538052.23,197283.79,382097.93
营业收入,18433.81,29517.99,2845.61,11219.49,20020.96,30439.88,4925.01,17761.02,26643.05,43017.53,8124.44,20571.47,40947.25,60057.74,17946.76,38221.16,61112.46,80857.0,22636.82,46083.55,70518.86,120082.92,26964.38,99167.39,189839.47,300991.45,68117.56,221393.57,383246.76,569811.52,173532.3,580660.91,1029336.66,1753110.15,552180.74,1208547.69,1713620.64,2247773.3,439650.56,1023435.78,1266159.47,1538052.23,197283.79,382097.93
二、营业总成本,17138.6,26181.98,3876.66,9259.71,15755.34,24694.81,5700.22,15398.1,22073.32,36291.69,7983.69,17053.89,34021.31,48802.75,17214.52,31953.94,48995.72,63919.63,20932.83,37625.03,55977.9,95853.36,22843.45,76606.34,154927.96,252208.4,56101.27,174838.95,314845.0,474250.72,150949.83,487565.75,887504.8,1564474.06,499387.43,1063184.77,1493498.27,1973047.78,368211.09,878256.6,1115748.6,1473508.62,195687.04,405410.94
营业成本,11849.91,18892.02,1411.81,5365.3,9401.33,15374.9,3142.78,10207.79,14744.96,25160.4,5373.13,11393.93,24819.97,34724.22,11550.27,21300.23,32443.05,43106.91,13898.51,25350.32,37996.3,67631.1,14235.19,59595.28,124222.92,206422.21,41704.01,138925.26,253360.42,384443.52,127810.24,437222.37,801150.67,1442235.05,465944.85,990133.94,1392601.1,1833018.51,326618.12,785499.57,979613.86,1220877.53,174981.59,343224.44
营业税金及附加,166.37,158.74,55.82,127.85,196.03,320.89,33.46,163.21,219.87,329.77,57.44,151.31,237.66,493.7,197.95,464.03,858.67,825.7,234.24,567.72,670.98,1023.75,267.96,320.77,808.6,2138.58,623.09,2644.55,4894.29,5911.55,1049.54,3826.76,6960.25,9806.31,1933.12,3645.53,5235.48,4519.13,2115.28,5920.84,6898.52,6238.48,980.76,1092.11
销售费用,1684.89,2226.68,641.06,1233.46,2010.21,3476.86,666.3,1334.74,2094.38,3430.45,869.34,1842.05,2862.76,4603.21,1631.11,3011.08,4444.91,6347.28,1754.25,3388.16,4811.18,7035.55,1700.35,3098.04,4766.95,8992.34,2627.1,4413.06,7042.08,9634.91,2419.18,4410.21,6426.04,8987.79,3278.92,8078.35,13644.15,12765.9,4094.96,7521.52,10986.22,16580.66,3750.59,6789.63
管理费用,2263.51,3015.21,1497.64,1911.76,3095.02,3980.62,1432.22,2477.27,3383.3,5158.2,1281.8,2564.75,3884.59,5627.99,1994.25,3885.26,5921.58,7637.73,2713.29,4761.51,6710.39,10087.42,3853.06,7083.05,10867.87,15509.45,5319.2,10424.73,17642.31,26437.28,6908.31,13997.45,21231.23,30516.43,8894.3,18597.5,30779.76,53075.48,20450.71,38967.72,36806.85,50004.23,10603.84,23598.82
财务费用,1071.26,1414.67,270.33,591.43,1069.96,1405.54,336.83,701.33,1010.25,1226.9,364.22,826.05,1596.19,2426.72,1098.74,2212.73,3501.84,4849.31,1439.51,3046.18,4792.43,6704.91,2129.39,5243.7,8937.27,12714.64,5705.85,12492.58,19035.05,29910.54,7595.23,17425.02,32201.21,49270.31,15343.29,29556.11,43673.67,52912.63,8635.89,23654.85,46021.57,59142.16,12352.04,19902.41
资产减值损失,102.65,474.67,0.0,29.91,-17.2,136.01,88.63,513.75,620.56,985.96,37.76,275.79,620.14,926.92,742.19,1080.61,1825.67,1152.7,893.03,511.14,996.61,3370.63,657.51,1265.49,5324.35,6431.19,122.01,5938.78,12870.83,17912.91,5167.34,10683.94,19535.39,23658.17,3992.95,13173.33,7564.12,16756.13,6296.12,16692.11,15837.2,91387.74,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-458.19,0.0,339.04
投资收益,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.2,-18.57,-117.05,-108.47,-180.51,-25.38,-40.65,-43.02,-8.23,-271.23,-5.46,19.31,87.67,-33.29,-29.09,-30.81,33.97,-10.39,156.75,81.55,5727.85,-16.11,-38.98,-53.89,-457.52,-15.47,-194.31
