报表日期,2007-12-31,2008-12-31,2009-12-31,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
货币资金,18922.37,28161.33,20123.91,19130.26,21089.65,235160.08,204926.52,188827.27,178382.0,176945.38,172177.55,169564.05,146745.46,152109.66,144153.73,75427.05,77060.41,66856.58,49780.45,54625.68,39275.49,87771.18,77864.16,68498.87,77174.35,84714.25,215634.33,184522.15,172814.07,156233.4,148432.55,132968.71,147988.69,123794.29,116483.78,87708.31,100792.62,138825.6,138266.52,126670.97,140809.86,152364.19,152494.56
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103741.96,0.0,0.0,0.0,0.0,0.0,127498.85,0.0,131706.55,0.0,135769.87,0.0,151982.86,144888.64,166231.52,152797.36,150347.79,161540.4,179362.23,187411.61,177824.8,187479.05,191239.01
应收票据,1937.35,3385.75,8853.14,5256.29,3837.97,4599.46,5113.28,5703.51,13571.59,12510.05,12798.8,13253.86,10450.88,11638.27,12681.27,12055.73,10603.42,9632.16,14203.62,16756.72,16880.1,18415.43,21146.08,16530.72,23026.3,15993.81,19655.57,22915.88,22392.47,17290.78,17012.97,22446.95,27794.2,21211.73,32192.03,19012.64,18209.59,19796.52,21158.59,19450.6,15592.57,15553.39,25009.7
应收账款,6386.78,13004.32,15970.58,30092.49,33305.26,43095.28,51730.5,54136.84,56371.5,64764.92,77269.55,77925.65,73364.64,79802.36,85367.01,90091.0,81577.49,83762.99,86601.15,86543.97,86861.86,89627.97,95717.6,101142.61,100470.85,111210.99,107843.28,106947.41,109314.07,115638.14,118756.91,117204.54,124188.67,123676.92,134039.49,133784.72,132138.2,141743.88,158203.64,167961.0,162232.22,171925.66,166229.31
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4069.42,6004.83,5108.89
预付款项,4792.68,5210.57,5549.15,3861.15,3375.56,7351.29,7462.89,6601.88,7509.02,6223.6,4143.6,8448.29,7767.59,13873.13,16158.86,21820.27,11738.58,8619.81,8512.05,10124.89,6795.81,10523.81,9066.0,11252.5,6604.41,10343.19,9433.56,10946.44,9030.51,18560.02,25165.09,22290.32,12949.27,15402.15,14307.75,28915.11,33091.94,33820.22,32359.49,35698.73,18053.53,19327.52,14701.2
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919.55,0.0,0.0,0.0,0.0,0.0,1567.26,0.0,1660.85,0.0,3478.09,0.0,2322.22,2892.19,1746.3,2055.94,2465.8,2594.68,2109.38,2470.47,2091.63,2202.21,2130.21
应收利息,0.0,0.0,0.0,0.0,0.0,356.24,346.33,1218.27,1749.56,2665.16,3615.9,1236.06,1885.85,2272.14,2346.91,330.29,498.57,464.19,556.47,6.09,38.91,11.76,45.6,1.78,1.39,26.52,3.96,467.94,935.19,1248.07,1670.99,500.38,915.36,1048.15,90.3,0.0,56.83,122.83,188.1,279.41,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,1558.7,2784.01,3109.75,2290.38,1944.21,1261.29,831.67,465.59,740.14,902.21,663.72,813.35,544.47,566.14,899.31,1012.18,674.33,761.4,776.84,573.19,880.64,1059.65,2087.57,2256.39,3987.77,2100.93,1563.3,1992.82,725.66,1652.15,1807.1,1641.69,1406.86,1844.04,1656.0,2055.94,2408.96,0.0,1921.28,0.0,2091.63,0.0,2130.21
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,42140.83,51340.95,37207.04,43445.6,48677.91,52019.67,52190.95,58264.25,68443.13,69239.36,81927.45,79097.56,77471.64,86361.94,87210.96,100495.45,103954.58,112917.15,110126.62,114112.64,117542.22,121192.79,127973.3,126938.71,121132.77,122109.28,124152.08,133932.37,133597.18,143632.93,159362.91,177395.23,182513.83,196536.49,196320.4,201099.57,206205.09,213303.31,220275.31,214275.78,229879.43,228675.18,243313.06
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1200.0,1200.0,1200.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1364.0
