报表日期,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-12-31,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,295703.94,834623.05,766355.41,908355.77,663484.08,695824.96,959731.13,1120561.4,503014.21,0.0,483223.66,793286.67,837364.07,491054.81,606775.38,533609.74,715146.57,585121.87,470158.27,360853.75,429828.18,783531.53,999886.81,1234167.5,1149352.86,1161860.49,890679.13,1059405.12,1307289.77,1308659.43,1311564.41,1523236.31
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205634.46
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1437581.5,1414366.05,1527262.71,1560094.89,1364976.55,958816.28
应收票据,0.0,96263.42,198135.49,182919.57,236878.0,152928.93,638645.98,302671.76,449391.7,0.0,414611.92,402322.71,458640.78,474139.32,526523.81,453186.31,418336.73,468921.17,439998.96,348416.13,401759.17,540787.97,576726.68,743496.89,703424.28,810806.9,975637.38,930702.55,1095900.04,1176124.03,949903.3,592431.77
应收账款,0.0,151562.25,116561.75,223722.69,331097.02,260793.85,305286.64,542066.67,474626.0,0.0,355950.2,549136.41,573624.35,615716.76,480463.99,690613.79,593806.67,640554.48,564495.64,653401.97,582838.62,436646.84,452347.47,539295.77,637358.89,518025.24,461944.13,483663.5,431362.67,383970.86,415073.25,366384.52
预付款项,0.0,89210.74,338056.3,306033.65,163281.97,119165.91,218019.2,255817.63,153045.33,0.0,200265.91,209211.28,116341.4,205044.46,85556.56,152867.22,153494.18,156228.63,88974.47,121055.72,115353.87,135287.86,82222.38,146140.16,165438.84,223502.97,125794.73,195502.15,230668.21,298188.48,179884.87,222717.99
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.5,79.75,72.5,36.25,6079.75,43.5
应收股利,0.0,0.0,112.64,160.08,19856.0,0.0,0.0,15000.0,24800.0,0.0,4719.69,4219.69,17219.69,9326.27,9326.27,7326.27,7026.27,13600.0,28600.0,28600.0,13276.53,22379.24,22379.24,13466.5,16366.5,4366.5,5366.5,5366.5,5366.5,4366.5,16760.0,16760.0
其他应收款,0.0,35688.26,27056.92,19607.54,27982.5,21617.54,24855.08,48816.63,32345.02,0.0,20991.33,37477.82,27585.71,25277.73,24988.95,30326.96,29244.04,31611.36,27251.81,36441.77,51487.88,33099.08,50552.3,59617.4,22381.53,37885.34,13578.23,17582.73,20544.1,24395.43,19282.06,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27440.67,0.0,0.0,0.0
存货,0.0,54217.2,55343.51,71666.19,88821.81,120424.3,171650.99,193761.18,174309.79,0.0,142556.61,201197.84,167431.29,197877.23,140604.45,200266.8,195086.3,186681.94,111564.98,159156.61,124494.36,121126.1,86013.21,151036.97,109971.42,106127.15,84107.4,96567.04,104780.68,99849.74,107360.54,105569.78
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42008.93,31553.4,54003.57,43657.92,29472.36,25905.97,49484.3,41921.13,45891.8,47427.89,72494.74,71639.26,74525.8,101016.69,123778.22,126960.88,138770.0,142669.55,144543.58,127885.55
流动资产合计,602672.6,1261564.91,1501622.03,1712465.49,1531401.38,1370755.49,2318189.01,2478695.27,1811532.06,0.0,1622319.32,2196852.42,2240216.22,2049989.99,1928242.98,2111855.01,2141613.12,2108625.41,1780528.43,1749847.08,1764930.42,2120286.48,2342622.83,2958860.46,2878820.12,2963591.27,2680958.21,2915830.22,3362195.14,3433857.53,3150451.76,3184562.29
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3383.16,4163.16,4163.16,4163.16,4542.55,16702.18,16702.18,16702.18,16702.18,13555.88,13555.88,13555.88,162762.55,276707.85,386707.85,30480.98,148043.12,253564.36,0.0
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2270.74,2270.74,2270.74,2270.74,2270.74,2270.74,2270.74,2270.74,2270.74,2270.74,2270.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期股权投资,0.0,76636.02,108016.53,190429.82,193883.2,250643.79,258850.03,263395.19,250872.34,0.0,232683.91,262208.77,264196.46,286716.6,300860.53,306676.75,334512.58,316004.43,303641.0,307513.78,311716.91,311775.1,338824.27,364355.28,376404.89,404825.02,530400.12,558823.07,985104.13,993330.06,1034973.58,1053623.7
投资性房地产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产净额,671599.09,883518.3,1493234.14,1929815.46,2000878.29,2369686.38,3062329.92,2990188.73,2983694.48,0.0,3240686.83,3157914.98,3085038.99,3046818.91,3427940.18,3414098.21,3358075.23,3302102.7,3388226.17,3330998.1,2755736.23,2719441.35,3044318.36,2987870.65,2932702.32,2892447.7,3174938.66,3117588.0,3064679.38,3477469.11,4054192.37,0.0
在建工程,326687.16,551100.48,468622.35,554427.79,636186.76,644002.77,502282.84,584139.21,732069.28,0.0,813244.53,889035.68,1014469.26,1157657.99,977295.19,1127662.82,1150673.94,1280755.12,1282119.43,1323751.28,1602513.55,1667049.48,1380556.21,1422336.68,1517141.5,1619826.81,1459383.12,1509740.61,1610873.41,1715692.43,1200771.28,0.0
工程物资,0.0,15452.88,2421.27,33093.32,30214.79,2317.16,15117.05,16124.23,13231.5,0.0,10644.39,9473.31,9080.64,5557.76,3475.41,5086.69,807.42,742.97,321.36,343.98,1703.37,1196.02,433.55,1072.78,1695.91,1223.3,3368.98,4670.41,11861.05,0.0,6502.7,0.0
固定资产清理,0.0,0.0,24.38,0.0,0.0,15.87,95.13,95.13,0.0,0.0,0.0,0.0,0.0,102.25,21.97,21.97,25.26,77.51,0.0,0.0,231.51,0.0,0.0,0.0,159.88,159.88,713.51,1249.45,672.91,0.0,568.12,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
无形资产,105551.83,667960.77,724661.35,976142.7,1978399.17,1984927.64,2192979.4,2195485.61,2191961.21,0.0,2191338.11,2181204.34,2168490.26,2157795.26,2179231.4,2166811.81,2154035.28,2141658.15,2119841.88,2107782.93,2148114.29,2137434.01,2136485.73,2124852.92,2119810.45,2130887.33,2282610.07,2291075.98,2261571.63,2256973.97,2249656.04,2228686.61
开发支出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
商誉,0.0,0.0,0.0,0.0,872.86,872.86,872.86,872.86,872.86,0.0,872.86,872.86,872.86,872.86,872.86,872.86,872.86,872.86,872.86,872.86,872.86,872.86,872.86,872.86,872.86,872.86,872.86,872.86,872.86,872.86,872.86,872.86
长期待摊费用,0.0,0.0,1427.1,2894.42,5015.39,7962.44,10955.44,11029.91,34815.6,0.0,34486.58,33978.47,33450.95,33493.63,50687.17,50213.25,48152.33,51495.58,55101.46,53712.29,51379.91,65759.68,48094.56,46742.28,45327.03,43947.25,45894.68,44625.53,43326.71,42645.52,24374.33,24105.11
递延所得税资产,0.0,16142.48,14292.56,19088.86,28607.63,35271.88,41375.85,44331.31,38709.3,0.0,52375.64,54558.13,63389.37,65905.91,72655.21,78769.2,61778.2,66146.63,43781.65,43795.39,44272.33,41371.48,54875.79,58018.06,58785.18,59464.1,73153.45,73669.05,71530.96,72247.58,70830.04,69340.76
其他非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89744.19,63804.81,54428.94,78022.66,57594.24,53348.83,54031.68,53641.8,3304.94,3929.79,5999.72,5709.45,6257.69,7568.27,11719.38,14701.38,19449.6,33264.59,6206.02,773.46
非流动资产合计,1148499.71,2210810.93,2812699.69,3705892.37,4874058.09,5295700.78,6084858.52,6105662.18,6246226.58,0.0,6576332.84,6589246.53,6728732.99,6822109.13,7073902.75,7234670.12,7172961.25,7220018.07,7266910.42,7241385.34,6938818.82,6967802.69,7026287.67,7027657.57,7074984.32,7323985.07,7859762.68,8003724.2,8100423.62,8740539.24,8902511.69,8732165.9
资产总计,1751172.31,3472375.84,4314321.72,5418357.86,6405459.47,6666456.27,8403047.53,8584357.45,8057758.64,8519066.04,8198652.16,8786098.95,8968949.22,8872099.13,9002145.73,9346525.13,9314574.36,9328643.49,9047438.84,8991232.42,8703749.24,9088089.18,9368910.49,9986518.02,9953804.44,10287576.34,10540720.89,10919554.42,11462618.76,12174396.77,12052963.45,11916728.19
短期借款,93475.0,228536.8,255075.0,109500.0,299300.0,49500.0,1041916.0,1099916.0,621368.09,0.0,945000.0,875000.0,647180.0,544600.0,701300.0,741665.0,682600.0,652600.0,765100.0,584000.0,550500.0,560500.0,658500.0,615000.0,350365.0,210000.0,330000.0,290000.0,323000.0,311000.0,0.0,15000.0
交易性金融负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付票据及应付账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1341145.79,1192393.79,1287351.42,1288822.71,1545866.66,1438595.22
应付票据,0.0,1765.8,55745.83,55710.26,25741.29,56966.4,249538.71,262521.29,124588.59,0.0,81510.44,78959.16,156277.69,174416.99,137996.77,130708.66,257141.68,281866.32,155584.02,134323.16,120603.36,235072.38,289466.29,421185.84,306937.61,306366.98,459875.58,336740.65,412421.44,0.0,534509.65,0.0
应付账款,0.0,277551.57,356777.94,571600.29,539010.38,684052.41,911161.3,800078.32,720048.33,0.0,930985.54,818810.81,854731.15,936416.52,1076919.73,1138359.23,1016151.0,1021306.52,1148160.26,1114533.61,911964.43,897065.88,894376.76,883185.73,885855.92,857314.7,881270.2,855653.13,874929.98,0.0,1011357.01,0.0
预收款项,0.0,84235.5,165443.47,218333.68,295531.83,209405.78,187197.21,204996.58,139519.2,0.0,215738.72,177860.23,106746.97,123040.46,87483.21,89284.98,95824.01,112571.6,78792.38,90643.79,109290.75,237853.63,179335.86,266815.68,226685.76,386367.6,294340.1,323829.72,354819.51,536779.21,332324.76,272664.52
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,0.0,40985.62,60938.55,85388.14,118413.14,93178.02,133133.1,134624.22,132603.93,0.0,143321.84,148649.39,154560.89,149672.14,150547.37,141136.09,153727.42,176199.36,206040.01,196815.99,111836.5,100933.99,122120.62,110263.85,92323.3,83594.77,124956.64,123973.61,107585.79,114568.2,123414.62,125853.95
应交税费,0.0,82014.23,168007.34,284218.7,336571.02,432962.12,181210.24,242376.09,210934.68,0.0,97650.59,134022.98,156880.86,138007.46,129320.23,139490.75,107450.88,104391.06,108717.03,110604.46,82733.42,134991.0,243711.84,246454.02,203753.49,248715.4,352098.72,286072.42,229612.3,283919.45,421433.53,256253.03
应付利息,0.0,0.0,996.44,9866.19,18641.16,6363.0,17030.08,27107.99,21523.07,0.0,7448.56,9630.97,16477.01,561.18,9184.35,15343.32,19811.74,4823.61,8051.05,10806.27,12384.74,3310.79,7384.15,10632.01,12555.75,15943.51,4089.82,5645.22,8307.02,6912.82,10459.44,14078.48
应付股利,0.0,1619.13,3.75,53.43,88467.48,66.16,1932.0,11897.0,269201.64,0.0,30476.18,37069.87,254864.45,156163.61,41718.8,36268.8,82600.56,132998.57,65556.09,61362.51,51557.36,41720.24,16468.9,11768.9,132062.4,13432.39,17793.13,16809.37,452460.79,5948.12,32521.07,8005.07
其他应付款,0.0,452579.68,341081.19,292505.59,148202.24,140962.91,205041.57,147005.87,143823.17,0.0,122480.24,143125.34,154544.95,160944.83,150568.32,195243.35,192347.72,210616.19,171384.55,192666.75,155347.51,151273.52,115441.01,134916.46,114064.4,132549.89,99059.8,128573.98,125393.44,145094.23,128853.47,0.0
预提费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,0.0,71358.74,54333.24,46462.0,76452.55,76204.2,78366.26,109103.02,134367.07,0.0,75247.44,69647.44,67957.5,61855.51,111751.42,97750.0,43646.0,745346.0,185018.85,288218.85,657938.0,576549.7,832698.66,807298.66,760769.12,492169.12,293826.16,371626.16,205450.0,291950.0,258250.0,299650.0
其他流动负债,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17863.49,11015.16,19797.94,16161.05,18905.59,24567.64,21815.52,18228.62,14794.9,5802.91
流动负债合计,623675.48,1240647.07,1458602.74,1673638.27,1946331.1,1749661.01,3006526.47,3039626.37,2517977.77,0.0,2649859.55,2492776.19,2570221.48,2445678.68,2596790.19,2725250.17,2651301.0,3442719.24,2892404.24,2783975.39,2764156.07,2939271.14,3377367.57,3518536.31,3105170.68,2762615.41,2876216.59,2763492.74,3115796.63,2990363.28,2867918.44,2559472.24
长期借款,178657.65,266180.0,596461.04,888016.8,883042.85,837714.47,844510.0,795060.0,801449.14,0.0,900518.32,1125083.32,1371135.11,1411266.01,1423311.82,1591585.19,1765116.91,1118966.91,1578905.6,1598805.6,1254608.33,1331646.63,910869.78,929369.78,980269.78,1143819.78,1072206.52,1064606.52,1090353.56,1001303.56,1194108.45,1052108.45
应付债券,102420.83,102420.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0,99665.53,99693.55,99720.96,299088.55,299173.9,299255.59,299337.78
长期应付款,154104.72,207150.56,71118.74,46101.31,536517.77,524851.04,501576.19,501576.19,521817.25,0.0,517067.38,516790.06,516387.41,516138.05,515739.1,515969.54,516199.97,507516.77,516608.93,516819.37,517049.81,517280.24,517655.38,517885.81,518116.25,518346.69,518770.37,518998.8,519231.24,528513.1,519432.34,0.0
长期应付职工薪酬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
专项应付款,0.0,2692.0,4111.0,6771.0,6891.0,24177.98,30529.98,30829.98,31339.98,0.0,33466.01,33466.01,33466.01,33466.01,12016.01,12332.01,12925.01,12925.01,8523.03,9423.03,5019.03,5019.03,3922.03,3922.03,3922.03,3922.03,3922.03,3922.03,3922.03,0.0,13855.54,0.0
预计非流动负债,0.0,23847.57,65681.95,74121.53,76460.07,78983.9,83722.94,88229.9,89550.82,0.0,92153.37,93378.4,94912.18,97392.14,98561.37,99855.04,101164.56,102465.7,98013.3,99202.87,84544.59,85571.03,86080.1,86998.3,87916.51,88834.72,92666.25,93646.22,94626.82,533839.67,501743.96,505333.44
递延所得税负债,0.0,163.79,163.79,163.79,163.79,163.79,163.79,163.79,217.69,0.0,163.79,163.79,163.79,807.23,163.79,163.79,163.79,163.79,163.79,163.79,163.79,163.79,163.79,163.79,163.79,163.79,163.79,163.79,163.79,163.79,0.0,0.0
长期递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18868.37,18637.29,18115.16,17856.04,20506.38,20560.59,13419.17,12517.91,15982.04,16086.58,16238.59,17541.98,20080.68,19614.99,19308.11,18905.83,17760.05,17545.1
其他非流动负债,0.0,200.0,1554.0,2604.0,2604.0,6857.0,14664.32,13621.15,14736.36,0.0,15483.4,15425.42,15367.44,14567.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非流动负债合计,523141.36,602654.75,739090.52,1017778.43,1505679.48,1472748.18,1475167.22,1429481.02,1459111.23,0.0,1558852.28,1784307.0,2031431.94,2073637.4,2068660.47,2238542.86,2413685.4,1759894.22,2227721.03,2249975.24,1879804.71,1952198.63,1534673.12,1554426.29,1606626.95,1872294.51,1807503.18,1800673.3,2026694.1,2381899.85,2546155.94,2407612.64
