报表日期,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-12-31,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
负债合计,1146816.84,1843301.83,2197693.26,2691416.69,3452010.58,3222409.18,4481693.69,4469107.39,3977089.01,0.0,4208711.83,4277083.19,4601653.42,4519316.08,4665450.66,4963793.03,5064986.41,5202613.46,5120125.26,5033950.63,4643960.78,4891469.76,4912040.69,5072962.59,4711797.63,4634909.92,4683719.76,4564166.04,5142490.72,5372263.13,5414074.38,4967084.88
实收资本(或股本),498715.96,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,0.0,900000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
资本公积,0.0,475405.43,583970.69,517497.6,443849.03,444326.4,444326.4,444326.4,444326.4,0.0,446052.88,727026.79,727026.79,728107.21,734925.45,734925.45,734872.66,734872.66,737047.43,737047.43,738914.65,738914.65,738916.14,738916.14,738916.14,738916.14,739342.07,739342.07,739440.32,739440.32,739507.07,739507.07
减：库存股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127920.43,250312.98
其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,1331.8,-1106.06,-5589.71,-5.0
专项储备,0.0,39078.3,59094.09,84747.17,151415.43,53010.63,29895.06,71930.72,43355.02,0.0,31453.08,62698.6,73278.09,98318.63,25957.49,63438.08,56646.48,84894.73,20652.35,32895.97,43848.24,63834.44,57102.22,97956.06,134758.36,163988.64,112436.52,156613.08,186347.55,220074.38,210509.61,248958.79
盈余公积,0.0,0.0,423.37,19867.76,19867.76,58976.97,103751.11,103751.11,103751.11,0.0,148014.85,148014.85,148014.85,148014.85,177343.35,177343.35,177343.35,177343.35,197146.95,197146.95,197146.95,197146.95,197146.95,197146.95,197146.95,197146.95,205869.01,205869.01,205869.01,205869.01,272204.47,272204.47
一般风险准备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未分配利润,0.0,2527.97,218735.5,606352.58,784895.42,1204655.19,1486561.43,1570271.81,1531876.53,0.0,1565920.07,1625860.44,1528500.92,1538242.87,1511741.26,1482419.98,1386258.4,1301175.2,1163083.5,1159198.79,1185178.25,1262746.71,1438572.03,1705950.52,1875852.75,2135405.77,2364789.98,2648931.67,2541205.77,2833201.48,2977730.25,3249599.53
归属于母公司股东权益合计,604355.47,1417011.7,1762223.65,2128465.1,2300027.64,2660969.19,2964534.0,3090280.04,3023309.07,3096948.29,3091440.88,3563600.68,3476820.65,3512683.57,3449967.56,3458126.86,3355120.89,3298285.94,3117930.23,3126289.14,3165088.09,3262642.76,3436727.35,3744959.67,3951664.2,4235457.5,4422437.9,4750756.15,4674194.45,4997479.13,5066441.26,5259951.89
少数股东权益,0.0,212062.32,354404.81,598476.06,653421.25,783077.9,956819.84,1024970.02,1057360.56,0.0,898499.45,945415.08,890475.14,840099.48,886727.52,924605.24,894467.06,827744.09,809383.35,830992.65,894700.36,933976.66,1020142.45,1168595.76,1290342.61,1417208.92,1434563.22,1604632.23,1645933.59,1804654.51,1572447.82,1689691.41
所有者权益(或股东权益)合计,604355.47,1629074.01,2116628.46,2726941.17,2953448.89,3444047.09,3921353.84,4115250.06,4080669.63,4105796.9,3989940.34,4509015.76,4367295.79,4352783.05,4336695.08,4382732.1,4249587.95,4126030.03,3927313.58,3957281.79,4059788.45,4196619.41,4456869.81,4913555.43,5242006.81,5652666.42,5857001.12,6355388.38,6320128.04,6802133.64,6638889.07,6949643.3
负债和所有者权益(或股东权益)总计,1751172.31,3472375.84,4314321.72,5418357.86,6405459.47,6666456.27,8403047.53,8584357.45,8057758.64,0.0,8198652.16,8786098.95,8968949.22,8872099.13,9002145.73,9346525.13,9314574.36,9328643.49,9047438.84,8991232.42,8703749.24,9088089.18,9368910.49,9986518.02,9953804.44,10287576.34,10540720.89,10919554.42,11462618.76,12174396.77,12052963.45,11916728.19
