报表日期,2007-12-31,2008-12-31,2009-06-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
一、营业总收入,710195.97,1020688.07,407742.06,915252.66,144644.77,296894.08,504162.61,859123.09,132582.18,311904.2,514821.26,874920.08,145481.35,388839.94,597908.8,831852.0,151023.97,337625.46,555353.76,836875.58,93525.92,337631.0,712346.67,732799.67,105780.5,240588.56,342463.33,501217.65,52220.77,150425.04,237784.27,320440.32,159594.72,398631.57,660079.41,1025182.52,279699.46,539826.1,676392.85,1051138.35,248030.59,555569.35
营业收入,710195.97,1020688.07,407742.06,915252.66,144644.77,296894.08,504162.61,859123.09,132582.18,311904.2,514821.26,874920.08,145481.35,388839.94,597908.8,831852.0,151023.97,337625.46,555353.76,836875.58,93525.92,252173.98,470581.59,732799.67,105780.5,240588.56,342463.33,501217.65,52220.77,150425.04,237784.27,320440.32,159594.72,398631.57,660079.41,1025182.52,279699.46,539826.1,676392.85,1051138.35,248030.59,555569.35
二、营业总成本,571834.41,895592.67,369814.24,829153.19,129510.24,265458.11,448976.05,795782.96,129936.2,306339.11,504395.93,842734.35,142581.95,381178.92,600332.03,856488.47,161040.79,376331.34,600087.94,840555.01,128677.39,407409.4,793865.43,807670.06,138414.39,299792.97,456455.21,699811.66,84981.45,218879.18,445156.52,883535.73,160420.2,400387.55,659461.88,1020388.9,276907.83,536277.25,675912.64,1082117.64,246754.04,564316.09
营业成本,482828.25,742369.36,289406.77,633482.02,96863.08,201464.12,356272.63,635372.55,103238.76,241803.35,404659.26,674990.74,109513.12,303637.05,484788.1,676886.33,124804.22,305445.01,492515.97,713514.03,91636.95,247736.49,442280.6,652321.25,93370.2,204873.38,316932.34,487399.35,45809.78,143125.62,253659.34,396426.79,125098.85,330886.36,551795.24,849827.77,244153.61,466727.75,561058.93,885450.9,212245.54,490482.14
营业税金及附加,4935.75,5007.45,3067.34,7458.02,834.79,2228.62,4068.22,6517.88,1142.7,2010.61,2888.01,4201.7,386.98,1036.25,1920.9,3147.18,1093.75,2763.39,3928.75,5971.33,274.68,1493.36,3100.73,6161.04,1633.01,2573.52,3266.43,4069.56,228.71,603.79,1371.37,8166.95,3543.24,7175.93,10759.85,13614.84,2548.6,7104.36,9479.25,12276.33,2583.59,4872.58
销售费用,9310.28,13066.97,6482.75,13238.11,2017.26,3861.79,6439.26,10265.83,2322.46,4606.38,7691.88,11903.27,2546.83,5365.01,8402.92,13037.1,2481.87,5213.05,8047.04,12059.7,3370.21,5604.74,8294.6,12412.01,2940.47,5419.48,7432.27,11407.84,2429.49,4717.69,8219.23,30248.05,2774.75,6125.12,9628.85,19319.39,3184.7,7418.87,10873.66,16261.5,3217.5,8163.27
管理费用,47634.88,76317.33,39088.16,95036.32,19877.47,42263.67,64106.44,106851.9,19204.26,46181.39,70084.55,102255.8,21989.57,48903.03,73606.95,100529.63,20024.96,39508.7,59238.54,86380.28,19845.7,40870.34,60075.15,83095.18,20037.87,40028.92,59097.18,80750.94,20304.36,39546.65,61893.38,84055.38,16118.69,29879.25,47925.13,70094.85,15699.35,32035.44,35007.82,60276.36,13472.79,25056.21
财务费用,20251.92,41110.36,19529.45,45621.5,9917.65,14093.09,16542.69,23645.81,4028.02,9087.58,16429.41,25127.56,8145.45,17683.18,27058.76,44084.59,12635.99,26513.97,39508.93,57180.82,13549.87,28515.21,44582.35,62970.46,20432.84,38695.75,53486.14,69154.25,16209.11,32541.06,49385.66,68698.96,14056.86,31423.68,47620.67,64845.37,13181.98,28961.56,42720.57,47156.24,13142.65,27136.83
资产减值损失,6873.34,17721.2,12239.77,34317.22,-0.0,1546.82,1546.82,13128.99,0.0,2649.81,2642.83,24255.27,0.0,4554.39,4554.39,18803.65,0.0,-3112.78,-3151.3,-34551.17,0.0,-2267.76,-6233.08,-9289.89,0.0,8201.91,16240.84,47029.72,0.0,-1655.64,70627.52,295939.6,-1172.19,-5102.78,-8267.86,2686.66,-1860.41,-5970.73,2896.12,35111.95,-2251.81,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资收益,22.8,22.8,38.0,36.86,0.0,0.0,95.18,74.35,0.0,-19.38,-976.65,-629.3,0.0,-24.85,19.55,2598.57,0.0,1649.58,3741.52,6626.1,1422.5,2132.79,3014.44,5805.14,3712.94,7164.99,9558.04,11334.78,383.79,179.54,443.63,986.89,33.21,-155.83,-102.52,14206.76,0.51,338.44,441.48,19682.23,5.91,11.64
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.83,0.0,0.0,0.0,-57.85,0.0,-24.85,0.0,-44.85,0.0,-59.35,-59.35,0.0,0.0,0.0,0.0,-58.22,0.0,-316.51,-316.51,155.76,0.0,-570.16,-570.16,-137.0,0.0,-191.12,-191.12,58.48,0.0,-200.8,-200.8,-849.71,0.0,0.0
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,138384.36,125118.2,37965.82,86136.32,15134.53,31435.98,55281.74,63414.48,2645.98,5545.71,9448.67,31556.43,2899.4,7636.16,-2403.69,-22037.9,-10016.82,-37056.3,-40992.65,2946.67,-33728.97,-67645.61,-78504.33,-69065.25,-28920.95,-52039.42,-104433.84,-187259.23,-32376.88,-68274.6,-206928.61,-562108.52,-792.26,-1911.82,515.0,20987.48,2792.14,4130.84,2998.39,-3314.74,3271.33,4373.08
加:营业外收入,5627.26,14188.34,27659.08,47821.08,170.67,6559.28,6859.44,53636.33,188.62,2586.04,6061.73,21586.75,318.67,1127.18,12872.65,30443.1,560.12,1636.98,2479.53,13406.26,352.91,929.5,15611.16,77326.12,155.71,733.23,1078.37,6624.91,154.2,739.18,1412.16,10410.69,2294.9,5746.89,6553.77,2606.31,819.01,2681.04,5552.54,17247.92,732.59,3324.44
减：营业外支出,15845.98,1784.85,191.42,1028.26,312.1,457.56,671.47,2338.98,61.67,180.71,254.58,309.45,8.59,41.64,78.25,226.36,6.02,69.25,486.93,802.7,11.75,67.24,146.83,171.28,89.0,155.08,468.75,564.05,46.36,291.85,834.12,3012.77,462.07,624.94,884.38,13062.4,107.55,332.01,1651.82,1891.3,83.6,128.04
其中：非流动资产处置损失,0.0,386.32,0.0,0.0,3.19,0.0,113.5,1703.96,39.09,0.0,124.86,133.49,1.26,8.67,20.12,87.58,0.26,7.78,12.95,93.22,3.88,8.81,28.22,28.44,0.32,4.3,18.71,28.56,0.32,98.68,275.87,1562.87,85.87,131.34,345.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,128165.64,137521.68,65433.49,132929.14,14993.09,37537.7,61469.72,114711.83,2772.93,7951.04,15255.82,52833.73,3209.48,8721.71,10390.72,8178.84,-9462.72,-35488.58,-39000.05,15550.23,-33387.81,-66783.35,-63040.0,8089.59,-28854.25,-51461.27,-103824.22,-181198.37,-32269.04,-67827.27,-206350.57,-554710.6,1040.56,3210.14,6184.39,10531.39,3503.59,6479.88,6899.12,12041.88,3920.32,7569.48
减：所得税费用,45113.29,37584.86,15242.64,14483.22,5837.29,7650.14,15103.79,34668.18,621.88,1886.18,4888.51,9590.83,1203.63,3439.31,5296.34,5525.09,616.44,3734.91,5958.64,14169.37,327.47,942.01,2756.93,6160.49,708.94,1092.81,1375.8,233.86,199.28,1823.3,-8829.75,24291.13,883.14,1993.92,3206.56,2976.15,1220.49,2780.02,1961.67,5440.88,1596.03,2803.06
五、净利润,83052.36,99936.82,50190.84,118445.92,9155.8,29887.56,46365.93,80043.65,2151.05,6064.86,10367.31,43242.9,2005.85,5282.4,5094.38,2653.76,-10079.16,-39223.49,-44958.69,1380.85,-33715.28,-67725.37,-65796.93,1929.09,-29563.19,-52554.08,-105200.02,-181432.23,-32468.31,-69650.57,-197520.83,-579001.73,157.42,1216.22,2977.83,7555.24,2283.1,3699.86,4937.45,6601.0,2324.29,4766.42
归属于母公司所有者的净利润,47001.04,100636.23,50427.02,118921.83,9211.54,30047.3,46525.66,78980.54,2151.05,5584.81,9900.21,42298.37,2326.88,5973.69,5139.88,2933.99,-9357.68,-38381.59,-43731.35,1719.87,-33192.28,-66727.82,-64067.4,2567.93,-28903.74,-51726.67,-104313.21,-179505.8,-31915.44,-67847.53,-195301.05,-573401.85,596.61,1960.35,4145.88,8418.34,2697.65,4602.72,10287.29,12871.05,2381.34,4753.39
少数股东损益,36051.31,-699.41,-236.17,-475.91,-55.74,-159.73,-159.73,1063.11,0.0,480.06,467.1,944.53,-321.03,-691.3,-45.5,-280.23,-721.48,-841.9,-1227.34,-339.02,-523.0,-997.55,-1729.54,-638.83,-659.45,-827.4,-886.81,-1926.43,-552.87,-1803.04,-2219.77,-5599.87,-439.19,-744.13,-1168.05,-863.1,-414.55,-902.86,-5349.85,-6270.05,-57.05,13.03
基本每股收益(元/股),0.0,0.22,0.11,0.26,0.02,0.05,0.08,0.13,0.0033,0.0085,0.02,0.06,0.0036,0.0091,0.0079,0.0045,-0.0143,-0.0587,-0.0669,0.0026,-0.0508,-0.1021,-0.098,0.0039,-0.0442,-0.0791,-0.1595,-0.2746,-0.0488,-0.1038,-0.2987,-0.877,0.0009,0.003,0.0063,0.0128,0.0039,0.0067,0.015,0.0188,0.0035,0.0069
稀释每股收益(元/股),0.0,0.22,0.11,0.26,0.02,0.05,0.08,0.13,0.0033,0.0085,0.02,0.06,0.0036,0.0091,0.0079,0.0045,-0.0143,-0.0587,-0.0669,0.0026,-0.0508,-0.1021,-0.098,0.0039,-0.0442,-0.0791,-0.1595,-0.2746,-0.0488,-0.1038,-0.2987,-0.877,0.0009,0.003,0.0063,0.0128,0.0039,0.0067,0.015,0.0188,0.0035,0.0069
七、其他综合收益,0.0,0.0,72.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.05,7.43,90.99,90.92,59.69,1.11,46.62,-16.49,-16.34,3.44,0.94,11.73,2887.54,4.29,10.74,5.96,-5877.43,0.65,0.8,0.84,2204.88,-0.06,0.13,13.01,28.92,0.05,-357.35,136.68,-379.1,-0.1,284.36
八、综合收益总额,83052.36,99936.82,50263.49,118445.92,9155.8,29887.56,46365.93,80043.65,2151.05,6064.86,10367.31,43229.85,2013.29,5373.39,5185.29,2713.44,-10078.05,-39176.87,-44975.18,1364.52,-33711.84,-67724.43,-65785.2,4816.63,-29558.89,-52543.33,-105194.06,-187309.66,-32467.66,-69649.77,-197519.98,-576796.84,157.36,1216.35,2990.84,7584.16,2283.15,3342.51,5074.13,6221.9,2324.19,5050.78
归属于母公司所有者的综合收益总额,47001.04,100636.23,50499.67,118921.83,9211.54,30047.3,46525.66,78980.54,2151.05,5584.81,9900.21,42285.32,2334.32,6064.68,5230.8,2993.67,-9356.57,-38334.97,-43747.84,1703.54,-33188.84,-66726.89,-64055.67,5455.46,-28899.44,-51715.93,-104307.25,-185383.23,-31914.79,-67846.73,-195300.21,-571196.97,596.55,1960.48,4158.89,8447.26,2697.7,4245.36,10423.98,12491.95,2381.24,5037.75
归属于少数股东的综合收益总额,36051.31,-699.41,-236.17,-475.91,-55.74,-159.73,-159.73,1063.11,0.0,480.06,467.1,944.53,-321.03,-691.3,-45.5,-280.23,-721.48,-841.9,-1227.34,-339.02,-523.0,-997.55,-1729.54,-638.83,-659.45,-827.4,-886.81,-1926.43,-552.87,-1803.04,-2219.77,-5599.87,-439.19,-744.13,-1168.05,-863.1,-414.55,-902.86,-5349.85,-6270.05,-57.05,13.03
