报表日期,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
一、营业总收入,66494.66,144078.12,224229.51,310591.66,67134.92,143024.69,220666.9,300041.91,62189.75,138492.22,216196.25,301059.89,73025.47,155581.35,247949.34,349564.65,85655.21,181169.36,289312.16,408917.64,100344.59,205378.65,334963.39,479406.2,112701.22,246982.32,377894.4,522832.53,66521.03,183401.29,307492.83,452516.91,97384.14,212700.36,323577.26,430869.93,90560.27,160354.73,269532.05
营业收入,66494.66,144078.12,224229.51,310591.66,67134.92,143024.69,220666.9,300041.91,62189.75,138492.22,216196.25,301059.89,73025.47,155581.35,247949.34,349564.65,85655.21,181169.36,289312.16,408917.64,100344.59,205378.65,334963.39,479406.2,112701.22,246982.32,377894.4,522832.53,66521.03,183401.29,307492.83,452516.91,97384.14,212700.36,323577.26,430869.93,90560.27,160354.73,269532.05
二、营业总成本,62629.33,132773.92,205395.82,285885.38,63185.01,130401.28,200075.17,273289.24,57832.79,125950.81,195496.68,276049.84,69699.58,148895.54,236321.41,333468.08,83362.03,175480.9,278445.83,394601.36,97623.16,198466.66,322234.47,459309.51,109062.45,238103.67,365158.2,499611.26,69828.57,182740.03,300694.75,437102.11,94015.95,203275.16,304830.13,403308.55,87778.35,157104.58,260665.28
营业成本,50126.85,107914.78,168146.58,234733.34,51982.59,107568.78,164920.89,224896.9,45790.7,100789.22,156648.22,223558.3,57114.61,121840.16,195767.52,277927.04,70206.83,147220.51,237429.03,335011.26,81915.96,168271.84,276976.78,395422.0,94569.37,207996.04,317705.61,432736.53,55146.55,155530.21,260225.98,378834.19,78747.44,173657.79,260139.78,343501.65,72157.48,128599.18,217681.0
营业税金及附加,913.59,1877.9,2884.33,4078.08,840.15,1855.93,2970.09,4253.9,913.63,2121.57,3269.84,4409.99,900.78,1861.47,2482.15,3357.89,466.53,1068.72,1570.84,2330.91,525.13,1065.88,1615.64,2483.09,557.61,1179.56,1639.37,2176.52,759.78,1216.79,1530.85,1901.5,434.26,996.02,1588.78,2046.62,293.01,649.49,943.52
销售费用,4972.15,10477.09,16121.88,21994.84,4189.08,9104.32,14619.66,20184.15,4570.51,9908.6,15882.49,21542.16,5388.58,10442.33,16106.7,22307.61,5632.28,11486.63,17657.83,24979.15,6191.11,10964.38,17053.33,23573.26,5579.09,11874.36,19031.41,26370.88,5136.8,10222.48,15827.64,23870.96,5278.22,11101.95,17298.49,23028.14,5545.32,10694.19,16752.12
管理费用,6064.51,11433.19,16598.37,23427.79,5663.46,10798.98,16027.54,22412.34,6224.77,12261.64,18019.21,24265.14,6004.89,13108.44,19200.3,25697.41,6544.1,13735.12,19644.54,26863.6,7330.77,13608.46,21050.34,28116.03,6491.89,12989.97,20017.36,28677.61,6687.33,11827.03,17238.28,22836.32,7251.24,12741.19,18219.31,24579.12,7443.72,12528.99,18236.14
财务费用,372.08,785.64,1214.42,1555.81,413.98,861.64,1210.21,1424.88,241.8,470.91,1401.57,1988.62,186.1,1250.42,2603.62,4072.74,386.83,1838.02,2175.15,3660.07,1703.9,4831.26,5723.24,9615.99,1846.95,4063.74,6764.45,9649.73,2098.12,3943.53,5872.02,8253.31,1756.87,3737.18,6098.95,8082.02,1698.79,3497.5,5436.88
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1405.82,547.91,1041.03,1484.81,2071.01,640.02,1135.23,1615.62
资产减值损失,180.16,285.33,430.24,95.53,95.75,211.63,326.77,117.06,91.37,398.87,275.35,285.63,104.63,392.71,161.12,105.39,125.46,131.89,-31.57,1756.35,-43.7,-275.16,-184.85,99.13,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资收益,0.0,-0.08,50.73,245.79,-0.05,185.38,234.0,198.33,0.0,273.78,343.5,-2179.62,0.0,526.67,1364.17,1185.75,200.19,799.6,935.97,161.53,357.26,550.13,546.58,-1002.1,0.0,82.13,82.13,-2015.11,22.53,104.66,142.51,-1168.61,0.0,109.51,109.51,-307.43,0.0,54.76,75.15
其中:对联营企业和合营企业的投资收益,0.0,-0.08,-0.08,7.98,-0.05,-25.22,-40.96,-76.63,0.0,0.0,0.0,-3193.94,0.0,0.0,0.0,-1033.56,0.0,0.0,0.0,-1344.0,0.0,0.0,0.0,-1640.79,0.0,0.0,0.0,-2097.24,0.0,0.0,0.0,-1311.11,0.0,0.0,0.0,-458.02,0.0,0.0,0.0
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,3865.34,11304.11,18884.43,24952.07,3949.86,12808.8,20825.73,26951.01,4356.96,12815.19,21043.07,22830.43,3325.89,7212.48,12992.09,17282.31,2493.37,6488.07,11802.3,15005.87,3116.96,7718.93,13592.25,19563.75,3722.95,9166.15,13276.27,17865.54,-3252.18,811.58,7088.56,12566.55,3878.97,9640.48,18974.34,27193.63,2707.75,2676.06,8562.53
加:营业外收入,79.22,211.36,250.75,311.15,19.15,73.78,102.39,290.95,40.24,263.33,371.56,889.2,125.37,184.5,250.32,512.66,149.04,316.35,501.32,2919.05,9.95,53.03,55.4,1226.77,2.06,70.94,155.1,513.4,8.51,28.65,55.22,133.18,0.0,46.11,80.53,78.14,19.74,30.72,502.81
减：营业外支出,1.17,20.74,52.26,141.26,3.74,45.1,51.42,91.8,75.96,81.78,94.84,173.77,6.67,8.49,51.68,85.64,9.36,11.21,41.53,170.56,14.13,28.66,70.96,400.36,152.43,174.4,296.73,268.96,140.42,143.18,151.94,358.9,15.32,15.34,819.93,1191.7,2.66,6.28,18.82
其中：非流动资产处置损失,0.74,20.32,40.16,139.37,3.71,44.98,50.09,87.13,69.72,65.75,72.76,88.04,6.45,7.89,50.06,64.13,8.85,9.98,36.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四、利润总额,3943.39,11494.73,19082.92,25121.95,3965.27,12837.48,20876.7,27150.15,4321.23,12996.74,21319.78,23545.86,3444.58,7388.49,13190.74,17709.33,2633.05,6793.21,12262.09,17754.36,3112.78,7743.3,13576.69,20390.16,3572.59,9062.69,13134.64,18109.98,-3384.1,697.05,6991.84,12340.83,3863.65,9671.25,18234.95,26080.08,2724.83,2700.5,9046.51
减：所得税费用,1272.37,3077.57,5032.08,6969.25,1195.86,3360.68,5361.73,7150.48,1151.53,3256.13,5315.95,7053.54,978.63,2011.96,3545.93,5163.08,893.61,2091.48,3679.6,5941.04,985.4,2208.57,4644.75,7314.45,2212.32,3729.33,5420.99,7744.89,1060.13,1946.19,4627.1,5121.59,1494.16,2891.11,4866.27,7147.36,1221.54,2217.6,3551.67
五、净利润,2671.02,8417.16,14050.84,18152.7,2769.41,9476.8,15514.98,19999.67,3169.71,9740.6,16003.83,16492.32,2465.95,5376.53,9644.81,12546.26,1739.44,4701.74,8582.49,11813.31,2127.38,5534.74,8931.94,13075.71,1360.27,5333.35,7713.65,10365.09,-4444.23,-1249.14,2364.74,7219.24,2369.49,6780.14,13368.68,18932.71,1503.28,482.9,5494.84
归属于母公司所有者的净利润,2942.11,8154.05,13467.9,17423.54,2991.72,8905.04,14468.44,18858.04,3023.55,9044.75,14557.47,14612.94,2508.35,5090.13,8974.26,11773.41,1879.63,4531.23,8099.61,10285.68,1514.3,4003.96,6432.59,10279.58,1704.86,5322.45,6878.9,8715.67,-3873.93,-581.78,2489.71,6818.07,1751.92,5121.11,10152.82,13274.22,718.07,503.22,3603.43
少数股东损益,-271.09,263.11,582.94,729.16,-222.3,571.76,1046.54,1141.63,146.16,695.85,1446.36,1879.37,-42.4,286.4,670.55,772.85,-140.19,170.51,482.88,1527.63,613.08,1530.78,2499.34,2796.14,-344.6,10.9,834.75,1649.42,-570.29,-667.36,-124.97,401.17,617.57,1659.03,3215.86,5658.5,785.22,-20.32,1891.41
基本每股收益(元/股),0.07,0.2,0.334,0.43,0.07,0.22,0.359,0.47,0.07,0.22,0.36,0.36,0.06,0.13,0.22,0.29,0.05,0.06,0.1,0.13,0.02,0.05,0.08,0.13,0.02,0.07,0.09,0.11,-0.05,-0.01,0.03,0.09,0.02,0.06,0.13,0.17,0.01,0.01,0.05
稀释每股收益(元/股),0.07,0.2,0.334,0.43,0.07,0.22,0.359,0.47,0.07,0.22,0.36,0.36,0.06,0.13,0.22,0.29,0.05,0.06,0.0,0.13,0.02,0.05,0.08,0.13,0.02,0.07,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
