报表日期,2010-12-31,2011-12-31,2012-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
一、营业总收入,1242668.69,1597278.83,1771519.87,442053.69,972007.54,1517907.14,2085312.35,418845.77,959996.23,1629472.19,2683971.38,686491.2,1308014.0,2008647.22,3302641.89,1001963.16,2141661.3,3351574.34,4563796.45,1091954.71,2301040.43,3705705.57,5082791.92,1287562.23,2652268.14,4313875.21,6087517.63,1374650.29,3150667.19,4989521.55,7058471.06,1714825.35,3686567.23,5913484.87
营业收入,0.0,0.0,0.0,442053.69,972007.54,1517907.14,2085312.35,418845.77,959996.23,1629472.19,2683971.38,686491.2,1308014.0,2008647.22,3302641.89,1001963.16,2141661.3,3351574.34,4563796.45,1091954.71,2301040.43,3705705.57,5082791.92,1287562.23,2652268.14,4313875.21,6087517.63,1374650.29,3150667.19,4989521.55,7058471.06,1714825.35,3686567.23,5913484.87
二、营业总成本,0.0,255700.0,402700.0,309673.69,669494.06,1024678.5,1505757.2,267677.8,658144.83,1083953.3,2007789.29,435819.61,887239.48,1341914.01,2574966.85,716621.91,1536178.45,2372514.18,3536257.98,775697.49,1690824.2,2617766.61,3850603.59,959096.77,2024770.5,3185456.13,4801093.98,1116423.26,2413428.39,3798032.81,5686851.18,1332747.14,2843430.54,4564921.11
营业成本,0.0,0.0,0.0,207054.71,444107.82,702426.54,1046486.92,207377.11,480695.62,774529.52,1427565.61,299056.78,629090.52,964918.16,1808500.96,493670.1,1077426.64,1705279.43,2518504.41,577667.74,1259482.97,1960139.43,2850385.46,715024.78,1483081.82,2372747.53,3547146.01,806304.07,1808957.91,2925884.41,4441929.18,1080457.22,2317415.98,3783282.94
营业税金及附加,0.0,0.0,0.0,5989.2,12128.55,19714.69,30415.34,7679.13,17273.95,27020.03,45973.6,9843.83,18881.21,29473.56,43706.58,12643.23,27780.5,43774.2,62754.8,14310.89,27623.41,43309.69,63277.01,18278.64,34407.53,51704.51,69986.83,15033.62,31581.07,44913.31,62173.81,13899.97,32078.92,43060.59
销售费用,100.0,100.0,400.0,95.51,155.18,204.44,404.86,41.34,78.11,113.79,17593.69,42.46,94.58,146.54,9970.21,1983.17,4032.16,5909.35,9108.71,2016.65,4479.69,6669.9,10212.06,1675.31,3173.91,5355.89,7899.79,1792.68,2523.02,3904.21,7115.86,3776.25,4600.82,5864.76
管理费用,67200.0,99600.0,97300.0,23856.44,56450.17,80432.56,160303.59,25147.36,56412.44,88261.35,240878.29,43282.93,79995.97,115224.17,291630.48,53851.77,115210.73,155428.92,305347.11,47133.49,96653.82,153686.79,236289.81,56744.82,119812.06,172570.76,257943.32,70076.26,116541.8,171986.83,239258.97,60830.98,110802.83,163219.33
财务费用,37200.0,156000.0,305000.0,70353.03,153515.09,217790.84,263617.91,27432.85,101212.44,191556.33,256840.22,83593.61,159177.19,232151.58,405530.75,152042.49,311912.1,462124.57,610681.34,134568.71,285801.68,440346.43,600086.88,161718.05,361609.94,553295.34,769773.64,212517.17,431441.47,613092.65,782774.51,152720.63,326412.91,495862.32
资产减值损失,0.0,0.0,0.0,2324.8,3137.25,4109.42,4528.59,0.0,2472.27,2472.27,18937.89,0.0,0.0,0.0,15627.86,2431.14,-183.68,-2.29,29861.62,0.0,0.0,-405.39,10718.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,-10524.28,-15796.25,-29008.4,-35415.73,-1749.71,230.38,35.57,1555.01,4563.48,5410.22,5037.96,12040.91,1343.42,7468.7,9671.06,20744.37,-1951.82,1061.8,2921.87,1607.61,-986.65,-286.89,-551.28,447.1,-261.71,1796.76,1632.71,526.69,0.0,-952.92,-5952.93
