报表日期,2007-03-31,2007-09-30,2007-12-31,2008-03-31,2008-12-31,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
一、营业总收入,6956.01,62293.5,109049.33,26367.5,253535.77,292863.34,415859.8,90762.61,257629.07,566914.51,790190.61,164734.7,401679.36,700819.0,887559.98,152513.79,355291.95,700386.91,1029273.98,241322.63,601571.4,926305.14,1357995.24,412968.6,859458.61,1208682.25,1560843.64,348897.6,838596.78,1169337.03,1296084.44,288076.73,544522.22,862679.31,1155202.78,328147.7,648126.29,910682.12,1284757.69,296540.09,646994.16,1131387.08,1551647.9,443771.92,1058850.94,1631547.16
营业收入,6915.41,61837.66,109049.33,26367.5,253535.77,292863.34,415859.8,90762.61,257629.07,566914.51,790190.61,164734.7,401679.36,700819.0,887559.98,152513.79,355291.95,700386.91,1029273.98,241322.63,601571.4,926305.14,1357995.24,412968.6,859458.61,1208682.25,1560843.64,348897.6,838596.78,1169337.03,1296084.44,288076.73,544522.22,862679.31,1155202.78,328147.7,648126.29,910682.12,1284757.69,296540.09,646994.16,1131387.08,1551647.9,443771.92,1058850.94,1631547.16
二、营业总成本,9393.53,39514.31,80147.92,28976.73,204263.08,244890.42,349786.94,95594.55,236564.57,403469.93,592731.74,162090.76,350628.16,523384.71,678071.01,148984.52,319613.03,500604.88,739462.71,188279.4,418878.94,671154.07,941335.65,250786.3,547677.86,857930.87,1133130.38,273759.1,616520.12,929665.14,1110498.37,245610.58,493077.87,752847.53,1035885.96,256042.37,520260.85,779817.56,1086758.51,271503.4,540297.56,859254.96,1232624.79,332589.57,700240.82,1044280.21
营业成本,8382.23,31539.03,69937.7,26668.94,177065.13,198298.09,275292.65,74569.05,171977.26,286682.5,427619.03,113497.16,250020.6,374576.16,473111.23,93706.74,205735.14,318421.05,477772.2,116201.61,261717.56,419717.84,542296.79,147951.01,334230.73,540322.48,646795.36,157317.13,378899.08,585300.79,660313.67,143919.48,296229.36,456563.58,642799.46,158380.54,321990.66,481007.05,674037.3,163815.15,332263.19,531067.08,761580.95,200267.74,438084.93,658096.8
营业税金及附加,139.24,1068.63,1480.79,150.44,2356.57,4447.17,6308.23,896.87,2829.69,7946.46,14482.48,3118.44,7661.52,13431.84,17785.09,2803.43,7487.99,13747.44,20315.03,3864.0,10462.64,16175.25,24879.15,7983.77,14809.32,20083.84,30325.7,7450.43,17182.31,23146.27,29381.47,6265.78,12585.33,18964.86,27636.58,8302.18,16476.5,23158.68,31003.79,7163.9,14872.14,21632.69,29902.94,8368.62,17687.99,24772.43
销售费用,0.0,0.0,0.0,236.25,1903.82,1662.86,2138.62,557.39,1012.39,1629.29,2423.57,551.67,1078.09,1728.88,2369.0,401.36,901.96,1364.05,2049.22,504.69,1082.65,1148.11,1704.51,314.12,661.03,1016.18,1803.84,448.14,853.53,1297.22,2041.99,179.91,343.15,519.97,927.59,158.47,334.16,632.81,1761.98,568.58,830.07,1165.5,2152.19,483.04,1231.24,1902.2
管理费用,254.34,1026.3,1250.37,461.94,1521.63,2330.55,3682.75,1155.67,2885.58,5229.89,7223.55,1426.37,3797.97,5929.4,13222.08,2985.71,6253.8,11463.99,17377.1,2628.86,5778.66,11625.88,18463.56,2674.64,5889.85,9832.83,20024.83,3160.34,7060.83,10618.56,19630.44,4013.35,7884.26,12123.28,18202.71,3377.73,6807.59,10763.82,20124.82,3599.04,7372.78,11184.57,21823.04,5349.02,12086.84,18495.14
财务费用,617.73,5880.34,7479.05,1459.16,21415.93,38151.74,62364.69,18415.57,57859.65,101981.8,140983.11,43497.11,88069.99,127718.43,171583.61,49087.28,99234.14,155608.36,221949.16,65080.24,139837.43,222486.99,351548.77,91862.76,192086.93,286675.54,434555.8,105383.06,212524.37,309302.3,397895.79,91232.06,174124.16,262764.24,344593.82,85756.9,174043.3,263910.92,356379.56,96019.26,184147.58,292348.41,406513.06,116974.68,230753.24,340365.32
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.39,853.72,188.18,396.59,648.32
资产减值损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2442.86,0.0,0.0,0.0,-375.15,0.0,0.0,0.0,1235.02,0.0,1911.6,1911.6,1725.81,66.54,608.63,344.28,3451.06,337.47,811.8,1407.32,9798.89,958.29,0.0,0.0
