报表日期,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-12-31,2016-06-30,2016-12-31,2017-06-30,2017-12-31,2018-06-30,2018-12-31,2019-06-30
货币资金,0.0,0.0,364095.11,422509.57,602453.64,650976.2,854511.1,937715.35,967187.13,808725.54,737233.7,663874.76,657707.06,740170.63
交易性金融资产,0.0,0.0,0.0,3048.73,72.55,2185.7,15716.74,4481.77,70214.33,27675.92,8181.75,12983.55,16714.42,65541.37
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.23,1556.55,3348.48,4569.18
应收票据,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,1052.59
应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.75,0.0,0.0,575.23,1106.55,0.0,3516.59
预付款项,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5309.08,18686.06,20523.78,20537.86
应收利息,0.0,0.0,271.19,3205.36,7148.85,6341.73,9217.31,11052.32,1124.24,3475.5,2264.09,2209.42,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,2.51,0.0,0.0
其他应收款,0.0,0.0,965.04,3660.85,1568.85,2300.05,23169.4,4555.72,10449.95,29154.32,55468.43,67465.22,39966.53,23854.04
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,1800.01,0.0,1540.02,0.0,0.4,0.0,350.0,0.0
存货,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1447.09,2981.68,16227.3,24065.82,16789.86,37950.56
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4682.99,0.0,0.0
流动资产合计,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165712.98,0.0,0.0
