报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
在建工程,18416.71,3928.76,17275.49,15960.74,82872.96,89887.81,69548.72,110554.42,112067.28,72252.81,81348.62,82540.47,85196.05,20689.58,25568.73,0.0,39036.48,0.0,55399.17,0.0,91214.29
工程物资,0.0,0.0,237.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产及清理(合计),0.0,0.0,0.0,0.0,0.0,254880.88,256237.02,253594.26,249776.56,0.0,297060.79,294864.6,293316.88,512889.51,522447.57,520980.33,521543.05,522268.0,532236.57,529046.22,519819.65
固定资产净额,95356.39,114293.77,236341.07,270569.87,260201.17,254880.88,256237.02,253594.26,249776.56,291442.31,297060.79,294864.6,293316.88,512889.51,522447.57,0.0,521543.05,0.0,532236.57,0.0,519819.65
固定资产清理,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
使用权资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
无形资产,25274.08,24602.03,70744.05,68834.27,66824.25,65822.77,58639.22,58198.43,57749.7,57374.61,57467.44,65400.21,68380.01,101874.05,111151.08,113717.13,113366.05,112479.52,120566.74,119743.96,118866.77
开发支出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
商誉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期待摊费用,11239.99,12218.73,11711.21,9157.65,6577.15,5062.89,12765.68,12285.5,11969.02,11593.11,11899.06,11910.81,12619.88,22421.81,42241.45,46782.69,50620.2,52331.55,51131.4,50083.95,48993.55
递延所得税资产,1759.61,2012.72,2312.67,2346.35,2356.59,2047.89,2555.95,1873.42,1814.3,1983.97,2312.1,2413.09,2060.95,3251.67,3480.47,2587.54,2026.69,1727.12,2708.12,2509.62,2354.87
其他非流动资产,0.0,102553.87,10000.0,61940.07,0.0,0.0,0.0,0.0,0.0,500.0,10068.3,2595.3,3205.23,3700.11,13263.94,11388.67,7470.26,7470.26,73.49,73.49,73.49
非流动资产合计,160673.3,269512.73,358284.35,438645.29,428325.45,427157.99,437941.34,474388.2,470934.09,472404.01,496928.3,496185.41,500928.9,700665.58,753965.28,764159.45,769310.26,781160.08,796729.27,806109.43,823026.8
资产总计,505392.27,578007.74,641526.58,667967.32,675789.42,658836.67,705876.55,685682.89,756139.37,803135.02,782057.6,807456.65,820841.32,1261482.67,1286291.28,1173012.44,1136146.47,1164073.09,1203513.81,1192142.82,1264782.22
短期借款,93800.0,182400.0,174100.0,212169.36,203839.4,192800.0,174217.8,160217.8,78417.8,63000.0,68000.0,66000.0,81000.0,106000.0,116000.0,144000.0,176000.0,194000.0,226298.6,231922.11,221231.26
交易性金融负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付票据及应付账款,0.0,0.0,0.0,0.0,0.0,110616.75,148147.96,122567.21,131387.02,0.0,151279.31,161987.46,155902.31,197940.93,220605.34,210666.89,181265.45,165763.53,195309.02,182883.67,153518.1
应付票据,60071.52,58792.97,63051.78,35737.96,44611.7,37504.22,51803.54,41107.54,48169.97,57099.44,48834.86,47639.78,53870.64,0.0,63194.82,0.0,48571.33,41543.44,55282.4,41141.55,36591.42
应付账款,94571.58,89221.58,92433.36,80636.18,79128.77,73112.54,96344.42,81459.66,83217.05,96235.87,102444.45,114347.68,102031.68,0.0,157410.52,0.0,132694.13,124220.09,140026.62,141742.12,116926.69
预收款项,4476.87,6507.49,8432.27,8476.11,11639.93,6636.89,8516.86,9250.11,8890.88,9936.59,11348.95,9256.48,8852.84,74847.9,68939.41,59673.61,46076.92,46306.08,63588.53,73573.63,6677.28
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,1167.66,2233.73,2805.87,4368.34,6028.55,6957.39,7769.25,8768.74,9109.09,9506.45,9923.86,11002.12,11251.63,12790.98,13344.58,11974.93,11830.94,11623.33,11206.72,10852.52,10618.34
应交税费,23637.72,5833.1,10538.01,9658.59,10168.52,12223.77,12082.01,11696.05,10160.17,11259.41,12425.53,13687.57,10885.42,12548.47,17158.32,13988.45,10347.98,9851.91,13786.21,11547.15,10032.68
其他应付款(合计),0.0,0.0,0.0,0.0,0.0,45229.18,55935.24,65795.54,62601.5,0.0,55903.18,58551.09,71210.11,310962.98,290434.32,170965.12,159455.91,187819.05,148262.74,143140.76,109270.62
应付利息,221.22,363.44,325.45,612.65,363.88,281.53,293.01,251.53,118.04,107.91,131.01,128.13,125.26,255.91,293.36,333.32,315.44,325.14,0.0,0.0,0.0
应付股利,5.66,0.0,0.0,0.0,0.0,832.67,0.0,0.0,0.0,0.0,0.0,0.0,17210.01,0.0,0.0,0.0,17210.01,0.0,0.0,0.0,12599.91
其他应付款,63935.5,45404.36,78762.59,52531.53,43063.25,44114.99,55642.23,65544.01,62483.45,94532.72,55772.17,58422.96,53874.85,0.0,290140.96,0.0,141930.46,0.0,148262.74,0.0,96670.7
预提费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,2000.0,2000.0,0.0,10875.0,3875.0,3875.0,3875.0,3875.0,3481.56,3481.56,3481.56,3481.56,3481.56,16281.56,16281.56,16281.56,16281.56,16281.56,12820.24,12820.24,12818.07
其他流动负债,1547.2,654.81,1228.24,1737.72,2234.06,2508.84,2826.91,601.86,975.92,1254.6,1674.33,608.4,974.57,904.7,1592.08,449.1,868.92,1300.74,1024.29,1101.56,7073.78
流动负债合计,345434.95,393411.46,431677.58,416803.43,404953.05,380847.84,413371.04,382772.31,305023.93,346414.54,314036.72,324574.67,343558.45,732277.51,744355.6,627999.66,602127.67,632946.19,672296.35,667841.64,585653.79
长期借款,7000.0,5000.0,7000.0,25979.17,22104.17,20166.67,18229.17,17260.42,14717.9,13847.51,12977.12,12106.73,11236.34,61565.95,60695.56,53425.17,52554.78,45284.39,38460.72,38423.16,32045.17
应付债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175289.45
租赁负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付职工薪酬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
专项应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计非流动负债,769.0,799.0,1023.0,405.61,410.45,343.45,315.0,315.0,285.0,285.0,285.0,285.0,285.0,285.0,306.4,298.02,285.0,285.0,433.79,433.79,433.79
递延所得税负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23005.54,23559.7,23288.21,23012.25,22755.37,22539.78,22213.0
长期递延收益,0.0,0.0,0.0,1545.48,1537.59,1395.97,1254.36,1183.55,1112.74,1041.93,1008.82,992.67,936.97,909.28,881.58,855.56,830.36,805.17,1244.08,1630.56,1537.26
其他非流动负债,849.15,1675.4,1721.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非流动负债合计,8618.15,7474.4,9744.88,27930.26,24052.2,21906.08,19798.52,18758.96,16115.64,15174.44,14270.94,13384.39,12458.31,62760.23,84889.09,78138.45,76958.35,69386.81,62893.97,63027.29,231518.66
负债合计,354053.09,400885.86,441422.45,444733.69,429005.25,402753.92,433169.56,401531.28,321139.57,361588.98,328307.66,337959.07,356016.76,795037.74,829244.69,706138.1,679086.02,702332.99,735190.32,730868.92,817172.45
实收资本(或股本),68450.05,68450.05,68450.05,68450.05,68450.05,68450.05,68450.05,68450.05,86050.05,86050.05,86050.05,86050.05,86050.05,86050.05,86050.05,86050.05,86050.05,86050.05,86050.05,86050.05,86050.05
资本公积,43840.25,43840.25,43840.25,43840.25,43840.25,43840.25,43840.25,43840.25,176267.39,176267.39,176267.39,176267.39,176267.39,176267.39,176551.63,176551.63,176578.0,176578.0,176551.63,176267.39,176267.39
减：库存股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11971.2
其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,16.59,-26.04,28.76,84.65,69.2,114.36,87.65
专项储备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
盈余公积,13655.77,18220.3,20840.23,23479.72,26121.24,26121.24,29201.96,29201.96,29201.96,29201.96,32962.48,32962.48,32962.48,32962.48,34958.83,34958.83,34958.83,34958.83,39026.74,39026.74,39026.74
一般风险准备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未分配利润,25361.33,46578.35,66942.9,87427.7,108335.18,117632.4,131173.48,142617.91,143438.53,149984.42,158261.01,174007.99,169163.37,170764.12,159262.26,168955.08,159064.05,163588.91,165881.33,159074.24,152358.99
归属于母公司股东权益合计,151307.4,177088.94,200073.42,223197.72,246746.71,256043.93,272665.73,284110.17,434957.93,441503.81,453540.93,469287.91,464443.28,466065.74,456839.35,466489.55,456679.69,461260.44,467578.94,460532.78,446870.57
少数股东权益,31.78,32.94,30.7,35.92,37.46,38.82,41.26,41.44,41.87,42.23,209.02,209.67,381.28,379.2,207.24,384.78,380.76,479.66,744.55,741.12,739.19
所有者权益(或股东权益)合计,151339.18,177121.88,200104.13,223233.63,246784.17,256082.75,272706.99,284151.61,434999.8,441546.04,453749.94,469497.58,464824.56,466444.93,457046.59,466874.33,457060.45,461740.1,468323.49,461273.89,447609.77
负债和所有者权益(或股东权益)总计,505392.27,578007.74,641526.58,667967.32,675789.42,658836.67,705876.55,685682.89,756139.37,803135.02,782057.6,807456.65,820841.32,1261482.67,1286291.28,1173012.44,1136146.47,1164073.09,1203513.81,1192142.82,1264782.22
