报表日期,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
一、营业总收入,86678.64,570288.49,1487898.51,145438.57,629469.51,1197089.99,1999686.08,371164.12,935958.07,1913592.38,2961126.54,998185.57,2026384.42,3285570.65,4578802.06,903079.41,1882945.31,3152248.09,5031948.77,1916668.52,4407456.06,7336154.55,13035579.64,4867841.91
营业收入,86678.64,570288.49,1487898.51,145438.57,629469.51,1197089.99,1999686.08,371164.12,935958.07,1913592.38,2961126.54,998185.57,2026384.42,3285570.65,4578802.06,903079.41,1882945.31,3152248.09,5031948.77,1916668.52,4407456.06,7336154.55,13035579.64,4867841.91
二、营业总成本,86652.07,465815.56,1158473.95,155197.43,548417.87,1040280.49,1687525.57,335369.81,842021.3,1653442.73,2572917.54,881789.05,1719570.96,2823281.12,3895470.23,808317.33,1631690.57,2694255.81,4348584.35,1643677.91,3769858.99,6246387.31,11136729.06,4713295.16
营业成本,64372.98,349920.2,837680.19,90525.93,393460.29,769766.41,1274018.71,249564.04,643156.65,1315047.78,1990228.42,711613.48,1422672.7,2330140.55,3248276.05,676486.55,1371711.71,2288345.38,3634915.36,1393810.48,3206173.53,5317903.19,9609372.23,4162757.42
营业税金及附加,1.03,3962.98,10921.53,441.1,2402.55,4433.77,9590.05,1479.22,3536.9,10146.26,17118.39,8663.92,11790.51,20150.9,27222.81,5401.53,10144.54,17485.57,29512.99,10832.45,24718.63,33338.35,48653.42,15828.27
销售费用,4329.42,33092.03,63219.07,7463.32,26939.74,50416.17,79576.61,14774.93,44879.54,84687.6,137886.84,40117.62,80407.36,147752.96,215655.35,35256.63,79214.01,130107.15,221670.95,69175.39,159322.09,262800.27,436786.94,153347.71
管理费用,15232.16,62057.53,215222.89,53843.36,115884.13,90523.36,295648.83,56503.36,132033.53,98382.25,159065.96,52504.81,106194.7,162901.87,183267.39,41274.75,80966.36,115424.05,176811.52,71715.92,142529.72,222693.42,336893.71,124595.51
财务费用,2457.37,10918.65,8044.38,2923.72,4813.43,5769.78,4216.97,276.52,-2297.93,-15071.74,-27973.32,-11046.23,-42805.49,-63260.57,-78162.13,-13968.43,-40191.4,-69122.35,-71264.24,-19934.88,-42260.36,-49840.26,-64120.0,-37.41
研发费用,0.0,0.0,0.0,0.0,0.0,107858.78,0.0,0.0,0.0,114784.77,199100.04,74858.61,141311.18,225595.41,299210.75,63866.3,129845.34,212016.01,356937.77,118078.54,279375.38,459492.33,769142.76,256803.66
资产减值损失,259.11,5864.17,23385.89,0.0,4917.72,11512.2,24474.4,12771.75,20712.61,45465.8,97491.22,3620.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31424.75,0.0,0.0,0.0,2733.16,28691.59,28691.59,28691.59,28691.59,0.0,0.0,0.0,0.0,0.0
