报表日期,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-06-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
现金及存放中央银行款项,77345000.0,99351900.0,111373400.0,122570800.0,138975900.0,115998664.0,113123100.0,120705800.0,131027300.0,136677300.0,134853500.0,137710400.0,141196200.0,0.0,0.0,124617800.0,120293500.0,116042100.0,116354500.0,113355500.0
存放同业款项,74678700.0,82261900.0,89974000.0,104460400.0,73021700.0,54462458.0,32413700.0,14910800.0,17577600.0,14773900.0,25185700.0,25561800.0,29675800.0,0.0,0.0,23905800.0,14035100.0,7425000.0,4936100.0,5080000.0
拆出资金,2538600.0,2339300.0,4227800.0,9348200.0,11375400.0,23325836.0,20048500.0,27403900.0,19328700.0,22724700.0,21533100.0,22769400.0,31599900.0,0.0,0.0,27512200.0,28562200.0,29261100.0,27540500.0,24624400.0
贵金属,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
交易性金融资产,591200.0,712500.0,550500.0,448200.0,989800.0,1614040.0,2771900.0,6455000.0,6897600.0,9770300.0,12372600.0,12069200.0,11999200.0,0.0,0.0,28324700.0,34166200.0,34890400.0,31623600.0,26276600.0
衍生金融工具资产,0.0,0.0,1200.0,28900.0,42600.0,5135.0,107300.0,133500.0,617900.0,346600.0,330400.0,630000.0,658400.0,0.0,0.0,739100.0,716600.0,451900.0,375500.0,1208000.0
买入返售金融资产,9714000.0,20157200.0,41062400.0,38718700.0,55752300.0,30506572.0,14886800.0,34043800.0,7313100.0,21814400.0,12933300.0,12656700.0,14197400.0,0.0,0.0,20153800.0,23968700.0,43251900.0,14459500.0,16774400.0
应收利息,1973000.0,2382200.0,2810500.0,3515100.0,3352300.0,3617145.0,3083700.0,3504300.0,3344800.0,0.0,0.0,0.0,4187800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
发放贷款及垫款,85226800.0,105373800.0,123126000.0,149260500.0,187538200.0,0.0,247185300.0,275953400.0,301064800.0,318991400.0,334045400.0,350058600.0,363013500.0,0.0,0.0,415809200.0,427686500.0,453373400.0,470167300.0,484684500.0
代理业务资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,8051600.0,16856900.0,22134700.0,13657200.0,13833100.0,12878915.0,39068300.0,87624600.0,116018700.0,86695700.0,76635300.0,77505800.0,68674800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
持有至到期投资,66046300.0,59240600.0,67532200.0,68160400.0,66151300.0,66802735.0,68476700.0,74494800.0,73615400.0,79407100.0,82651400.0,85413400.0,93573500.0,0.0,0.0,0.0,286192200.0,0.0,323704300.0,0.0
长期股权投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收投资款项,10964700.0,19734800.0,25399900.0,45471700.0,77048000.0,118375648.0,188349800.0,151685600.0,149852400.0,152472000.0,149108900.0,148593000.0,142455800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产合计,1449300.0,2542300.0,2849300.0,3151100.0,3633100.0,3608957.0,3654600.0,3639400.0,3928200.0,3932700.0,3989900.0,4044700.0,4380400.0,0.0,0.0,4410100.0,4539900.0,4506000.0,4474400.0,4482500.0
无形资产,50000.0,212400.0,236400.0,262500.0,272700.0,274817.0,337600.0,350600.0,356600.0,0.0,0.0,0.0,355400.0,0.0,0.0,0.0,343500.0,0.0,342900.0,0.0
商誉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延税款借项,106600.0,94300.0,219700.0,431500.0,699800.0,661176.0,919900.0,992300.0,1346500.0,1421300.0,1578100.0,1609100.0,2225800.0,0.0,0.0,3221200.0,3588700.0,3790300.0,4078000.0,4359100.0
投资性房地产,0.0,0.0,0.0,0.0,0.0,76711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他资产,1467100.0,1302800.0,1112100.0,894400.0,1477800.0,6560035.0,1135000.0,1828700.0,1415700.0,7200100.0,7066800.0,6224100.0,1917600.0,0.0,0.0,7493700.0,1870400.0,4397500.0,2041800.0,4071400.0
资产总计,339069000.0,410788000.0,490310300.0,557445100.0,629832500.0,676720331.0,729636400.0,797447500.0,826562200.0,848686700.0,854382600.0,876495500.0,901255100.0,922735300.0,932616300.0,935085700.0,951621100.0,1014380000.0,1006717500.0,1011052400.0
向中央银行借款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
同业存入及拆入,2116100.0,2150700.0,2452100.0,3741500.0,5888300.0,6707501.0,16221000.0,37772500.0,29584500.0,12422500.0,6538600.0,7266800.0,12207100.0,0.0,0.0,13399600.0,11401000.0,10380000.0,10565300.0,7421700.0
其中:同业存放款项,862500.0,1359200.0,1938400.0,2516000.0,4061900.0,6511536.0,9135100.0,32284800.0,28168700.0,11305000.0,5562100.0,3783200.0,4845400.0,0.0,0.0,5910100.0,7416500.0,6271600.0,7196500.0,4373200.0
拆入资金,1253600.0,791500.0,513700.0,1225500.0,1826400.0,195965.0,7085900.0,5487700.0,1415800.0,1117500.0,976500.0,3483600.0,7361700.0,0.0,0.0,7489500.0,3984500.0,4108400.0,3368800.0,3048500.0
衍生金融工具负债,0.0,200.0,1100.0,30400.0,42000.0,4319.0,103900.0,134600.0,640400.0,379200.0,316200.0,661600.0,661600.0,0.0,0.0,705300.0,646300.0,450700.0,404900.0,1267200.0
交易性金融负债,0.0,0.0,0.0,0.0,0.0,3192.0,413900.0,644300.0,1062300.0,855700.0,1848600.0,3234600.0,4219300.0,0.0,0.0,559500.0,236000.0,6200.0,0.0,0.0
卖出回购金融资产款,2197400.0,1503700.0,1387600.0,7549400.0,11591800.0,20205193.0,39481700.0,26744700.0,12978900.0,1470700.0,8062700.0,10024200.0,11514300.0,0.0,0.0,13543500.0,13491900.0,24306700.0,17229900.0,16196000.0
