报表日期,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
货币资金,2730.41,8507.39,15806.55,54115.79,48403.55,44999.75,40857.78,38487.22,29648.23,30520.1,28181.07,0.0,28292.49,29020.84,28548.22,28210.13,25927.5,25834.75,29261.47,29543.08,32588.12,31846.71,33653.76,34840.1,37440.95,63654.44,59422.05,55079.89,39340.41,35006.61,52230.05,29669.63,20603.44,37394.75,41931.82,41784.43,29391.51,38582.0,18523.15,11152.61,11667.97,10273.63
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31480.36,24776.43,24755.28,26009.01,30482.94,25729.18,25849.86,29600.62,29097.23,29600.87,28651.77,28812.5,28127.99,14372.87,13537.51,14443.62,36099.39,58736.98,52322.53,58936.19,66456.79,93067.99,79316.65,82798.4,77518.77,90396.88,122393.46,126101.19,105129.42,105741.58
应收票据,2553.0,3978.71,8112.58,9385.26,16458.17,16309.09,14212.38,12729.37,16852.75,18316.69,18612.47,0.0,19679.06,14836.99,15251.66,13658.26,17837.67,14814.48,15375.92,16386.24,15689.13,17776.28,18586.25,16480.3,14887.8,5117.48,1475.02,210.0,103.65,328.18,6189.65,154.49,939.88,969.85,1141.13,1342.54,765.65,184.05,230.66,250.52,462.0,438.92
应收账款,4842.22,5529.06,6992.5,7789.19,7342.95,6092.51,6635.62,9691.42,8326.9,8296.48,8837.57,0.0,11801.3,9939.44,9503.62,12350.75,12645.28,10914.7,10473.94,13214.38,13408.1,11824.59,10065.52,12332.2,13240.19,9255.39,12062.5,14233.62,35995.74,58408.8,46132.88,58781.7,65516.9,92098.14,78175.52,81455.87,76753.13,90212.83,122162.8,125850.68,104667.42,105302.67
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,1383.97,1800.21,2624.21,2553.33,2685.18,4423.1,5418.03,4060.3,4666.49,10017.42,7255.21,0.0,2669.17,3328.68,5058.63,6169.77,5783.88,3601.51,2895.84,4319.85,2716.84,1715.66,1862.85,1966.15,2372.84,10376.71,3371.85,5384.18,1482.85,4396.47,9072.55,12936.89,11867.62,12010.98,7301.67,12764.8,7412.13,5391.55,5683.73,5619.77,7432.39,8403.09
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.34,384.46,3088.11,3186.08,3140.82,3163.49,231.06,225.16,229.5,237.86,182.57,211.18,188.61,1086.47,1214.5,1635.4,3062.05,3432.73,3460.17,5461.81,5685.17,8377.95,8313.3,12276.03,9414.92,8401.56,6419.76,6324.54,6855.86,2552.76
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.85,285.05,291.26,15.58,52.56,0.0,0.0,0.0,0.0,18.02,0.0,0.0,0.0,0.0,0.0,0.0
