行业类别,股票代码,股票名称
保险业,SH601628,中国人寿
保险业,SH601601,中国太保
保险业,SH601318,中国平安
保险业,SH601336,新华保险
仓储业,SZ002492,恒基达鑫
仓储业,SZ300350,华鹏飞
仓储业,SZ200053,深基地B
仓储业,SZ300013,新宁物流
仓储业,SZ002711,欧浦智网
仓储业,SZ300240,飞力达
仓储业,SH600794,保税科技
仓储业,SH600787,中储股份
畜牧业,SZ002477,雏鹰农牧
畜牧业,SH600965,福成股份
畜牧业,SZ002714,牧原股份
畜牧业,SZ300106,西部牧业
畜牧业,SZ002299,圣农发展
畜牧业,SH600975,新五丰
畜牧业,SZ002458,益生股份
畜牧业,SZ002505,大康农业
畜牧业,SZ002234,民和股份
畜牧业,SZ002321,华英农业
畜牧业,SZ300313,天山生物
畜牧业,SZ002746,仙坛股份
畜牧业,SZ000735,罗牛山
餐饮业,SZ000796,凯撒旅游
餐饮业,SZ002306,*ST云网
餐饮业,SZ002186,全聚德
餐饮业,SZ000721,西安饮食
电力、热力生产和供应业,SZ000899,赣能股份
电力、热力生产和供应业,SH600021,上海电力
电力、热力生产和供应业,SH600027,华电国际
电力、热力生产和供应业,SH600758,红阳能源
电力、热力生产和供应业,SH600167,联美控股
电力、热力生产和供应业,SH600726,华电能源
电力、热力生产和供应业,SH600098,广州发展
电力、热力生产和供应业,SH600011,华能国际
电力、热力生产和供应业,SH600900,长江电力
电力、热力生产和供应业,SH600578,京能电力
电力、热力生产和供应业,SZ000027,深圳能源
电力、热力生产和供应业,SH601991,大唐发电
电力、热力生产和供应业,SZ000301,东方市场
电力、热力生产和供应业,SH600979,广安爱众
电力、热力生产和供应业,SZ000539,粤电力A
电力、热力生产和供应业,SH600212,江泉实业
电力、热力生产和供应业,SH601016,节能风电
电力、热力生产和供应业,SZ000939,凯迪生态
电力、热力生产和供应业,SH600236,桂冠电力
电力、热力生产和供应业,SZ002039,黔源电力
电力、热力生产和供应业,SZ000543,皖能电力
电力、热力生产和供应业,SH600116,三峡水利
电力、热力生产和供应业,SH900948,伊泰B股
电力、热力生产和供应业,SH600023,浙能电力
电力、热力生产和供应业,SH600863,内蒙华电
电力、热力生产和供应业,SH600674,川投能源
电力、热力生产和供应业,SZ000600,建投能源
电力、热力生产和供应业,SZ000875,吉电股份
电力、热力生产和供应业,SZ000966,长源电力
电力、热力生产和供应业,SH600795,国电电力
电力、热力生产和供应业,SH600886,国投电力
电力、热力生产和供应业,SZ000883,湖北能源
电力、热力生产和供应业,SZ000690,宝新能源
电力、热力生产和供应业,SZ000958,东方能源
电力、热力生产和供应业,SZ000767,漳泽电力
电力、热力生产和供应业,SH600292,远达环保
电力、热力生产和供应业,SZ200037,深南电B
电力、热力生产和供应业,SZ002479,富春环保
电力、热力生产和供应业,SH600101,明星电力
电力、热力生产和供应业,SH600864,哈投股份
电力、热力生产和供应业,SH600780,通宝能源
电力、热力生产和供应业,SH900937,华电B股
电力、热力生产和供应业,SZ001896,豫能控股
电力、热力生产和供应业,SH600995,文山电力
电力、热力生产和供应业,SH600744,华银电力
电力、热力生产和供应业,SZ000993,闽东电力
电力、热力生产和供应业,SZ000720,*ST新能
电力、热力生产和供应业,SH600396,金山股份
电力、热力生产和供应业,SZ200539,粤电力B
电力、热力生产和供应业,SH600969,郴电国际
电力、热力生产和供应业,SZ300335,迪森股份
电力、热力生产和供应业,SH600310,桂东电力
电力、热力生产和供应业,SZ000695,滨海能源
电力、热力生产和供应业,SH600719,大连热电
电力、热力生产和供应业,SZ000601,韶能股份
电力、热力生产和供应业,SH600770,综艺股份
电力、热力生产和供应业,SH600131,岷江水电
电力、热力生产和供应业,SH600644,乐山电力
电力、热力生产和供应业,SH600452,涪陵电力
电力、热力生产和供应业,SZ000531,穗恒运A
电力、热力生产和供应业,SH600483,福能股份
电力、热力生产和供应业,SZ000037,深南电A
电力、热力生产和供应业,SZ000692,惠天热电
电力、热力生产和供应业,SH600868,梅雁吉祥
电力、热力生产和供应业,SZ000722,湖南发展
电力、热力生产和供应业,SZ000862,银星能源
电力、热力生产和供应业,SH600982,宁波热电
电力、热力生产和供应业,SZ000791,甘肃电投
电力、热力生产和供应业,SH600509,天富能源
电力、热力生产和供应业,SH600505,西昌电力
道路运输业,SZ000088,盐田港
道路运输业,SH600708,光明地产
道路运输业,SZ000429,粤高速A
道路运输业,SH600033,XD福建高
道路运输业,SZ002357,富临运业
道路运输业,SH600377,宁沪高速
道路运输业,SH601107,四川成渝
道路运输业,SH900903,大众B股
道路运输业,SH600269,赣粤高速
道路运输业,SZ002627,宜昌交运
道路运输业,SZ200429,粤高速B
道路运输业,SH600020,中原高速
道路运输业,SH600662,强生控股
道路运输业,SH600561,江西长运
道路运输业,SH600548,XD深高速
道路运输业,SH600611,大众交通
道路运输业,SH600350,XD山东高
道路运输业,SH600834,申通地铁
道路运输业,SH600676,交运股份
道路运输业,SH900914,锦投B股
道路运输业,SZ000900,现代投资
道路运输业,SH601188,龙江交通
道路运输业,SH600368,五洲交通
道路运输业,SH600106,重庆路桥
道路运输业,SH600035,楚天高速
道路运输业,SH600650,锦江投资
道路运输业,SZ000548,湖南投资
道路运输业,SZ000828,东莞控股
道路运输业,SH600119,长江投资
道路运输业,SZ002682,龙洲股份
道路运输业,SH600012,皖通高速
道路运输业,SH601518,吉林高速
电气机械和器材制造业,SZ300242,佳云科技
电气机械和器材制造业,SH600847,万里股份
电气机械和器材制造业,SH600983,惠而浦
电气机械和器材制造业,SZ300068,南都电源
电气机械和器材制造业,SZ002647,民盛金科
电气机械和器材制造业,SH603519,立霸股份
电气机械和器材制造业,SH601369,陕鼓动力
电气机械和器材制造业,SH600550,保变电气
电气机械和器材制造业,SZ002358,森源电气
电气机械和器材制造业,SH600690,青岛海尔
电气机械和器材制造业,SH600482,中国动力
电气机械和器材制造业,SZ002622,融钰集团
电气机械和器材制造业,SZ000333,美的集团
电气机械和器材制造业,SH601311,骆驼股份
电气机械和器材制造业,SZ300001,特锐德
电气机械和器材制造业,SH603366,日出东方
电气机械和器材制造业,SZ002706,良信电器
电气机械和器材制造业,SZ000651,格力电器
电气机械和器材制造业,SZ002298,中电鑫龙
电气机械和器材制造业,SH600580,卧龙电气
电气机械和器材制造业,SZ002670,国盛金控
电气机械和器材制造业,SZ002692,睿康股份
电气机械和器材制造业,SH600261,阳光照明
电气机械和器材制造业,SZ002617,露笑科技
电气机械和器材制造业,SZ002668,奥马电器
电气机械和器材制造业,SZ000967,盈峰环境
电气机械和器材制造业,SZ300342,天银机电
电气机械和器材制造业,SZ002309,中利集团
电气机械和器材制造业,SZ002005,德豪润达
电气机械和器材制造业,SZ002610,爱康科技
电气机械和器材制造业,SZ002723,金莱特
电气机械和器材制造业,SH603333,明星电缆
电气机械和器材制造业,SZ300317,珈伟股份
电气机械和器材制造业,SZ002665,首航节能
电气机械和器材制造业,SZ000806,银河生物
电气机械和器材制造业,SZ200541,粤照明B
电气机械和器材制造业,SZ000633,合金投资
电气机械和器材制造业,SH601179,XD中国西
电气机械和器材制造业,SZ200512,闽灿坤B
电气机械和器材制造业,SZ300140,中环装备
电气机械和器材制造业,SZ300423,鲁亿通
电气机械和器材制造业,SH603355,莱克电气
电气机械和器材制造业,SH600537,亿晶光电
电气机械和器材制造业,SZ200521,皖美菱B
电气机械和器材制造业,SZ002471,中超控股
电气机械和器材制造业,SZ002123,梦网集团
电气机械和器材制造业,SZ300048,合康新能
电气机械和器材制造业,SH603606,东方电缆
电气机械和器材制造业,SZ002227,奥特迅
电气机械和器材制造业,SH600089,特变电工
电气机械和器材制造业,SH600884,杉杉股份
电气机械和器材制造业,SZ000521,美菱电器
电气机械和器材制造业,SZ000541,佛山照明
电气机械和器材制造业,SH600577,精达股份
电气机械和器材制造业,SZ002242,九阳股份
电气机械和器材制造业,SZ002364,中恒电气
电气机械和器材制造业,SZ300217,东方电热
电气机械和器材制造业,SZ002508,老板电器
电气机械和器材制造业,SZ002139,拓邦股份
电气机械和器材制造业,SZ002090,金智科技
电气机械和器材制造业,SH600651,飞乐音响
电气机械和器材制造业,SH603618,杭电股份
电气机械和器材制造业,SH600854,春兰股份
电气机械和器材制造业,SZ002169,智光电气
电气机械和器材制造业,SH600105,永鼎股份
电气机械和器材制造业,SZ002129,中环股份
电气机械和器材制造业,SH601877,XD正泰电
电气机械和器材制造业,SZ300124,汇川技术
电气机械和器材制造业,SH601616,广电电气
电气机械和器材制造业,SZ002759,天际股份
电气机械和器材制造业,SZ002176,江特电机
电气机械和器材制造业,SZ300105,龙源技术
电气机械和器材制造业,SZ002056,横店东磁
电气机械和器材制造业,SH600869,智慧能源
电气机械和器材制造业,SH600885,宏发股份
电气机械和器材制造业,SZ002339,积成电子
电气机械和器材制造业,SH600268,国电南自
电气机械和器材制造业,SZ000921,海信科龙
电气机械和器材制造业,SZ000400,许继电气
电气机械和器材制造业,SZ002543,万和电气
电气机械和器材制造业,SZ002028,思源电气
电气机械和器材制造业,SH600478,科力远
电气机械和器材制造业,SZ000836,鑫茂科技
电气机械和器材制造业,SH603703,盛洋科技
电气机械和器材制造业,SZ000682,东方电子
电气机械和器材制造业,SZ002677,浙江美大
电气机械和器材制造业,SZ002334,英威腾
电气机械和器材制造业,SZ002322,理工环科
电气机械和器材制造业,SZ002141,贤丰控股
电气机械和器材制造业,SZ000049,德赛电池
电气机械和器材制造业,SH600487,亨通光电
电气机械和器材制造业,SZ002527,新时达
电气机械和器材制造业,SZ002724,海洋王
电气机械和器材制造业,SZ002518,科士达
电气机械和器材制造业,SZ300129,泰胜风能
电气机械和器材制造业,SZ002705,新宝股份
电气机械和器材制造业,SZ300283,温州宏丰
电气机械和器材制造业,SZ002380,科远股份
电气机械和器材制造业,SZ002168,深圳惠程
电气机械和器材制造业,SH600379,宝光股份
电气机械和器材制造业,SZ002606,大连电瓷
电气机械和器材制造业,SH600629,华建集团
电气机械和器材制造业,SZ002212,南洋股份
电气机械和器材制造业,SH600192,长城电工
电气机械和器材制造业,SZ002035,华帝股份
电气机械和器材制造业,SZ002218,拓日新能
电气机械和器材制造业,SZ002616,长青集团
电气机械和器材制造业,SZ300407,凯发电气
电气机械和器材制造业,SZ300018,中元股份
电气机械和器材制造业,SZ000070,特发信息
电气机械和器材制造业,SZ002533,金杯电工
电气机械和器材制造业,SH600973,宝胜股份
电气机械和器材制造业,SZ002074,国轩高科
电气机械和器材制造业,SZ002491,通鼎互联
电气机械和器材制造业,SZ300014,亿纬锂能
电气机械和器材制造业,SZ000418,小天鹅A
电气机械和器材制造业,SZ002546,新联电子
电气机械和器材制造业,SZ002638,勤上股份
电气机械和器材制造业,SZ300153,科泰电源
电气机械和器材制造业,SZ002684,猛狮科技
电气机械和器材制造业,SZ300376,易事特
电气机械和器材制造业,SZ002576,通达动力
电气机械和器材制造业,SH600336,澳柯玛
电气机械和器材制造业,SZ002276,万马股份
电气机械和器材制造业,SZ300141,和顺电气
电气机械和器材制造业,SZ300438,鹏辉能源
