行业类别,股票代码,股票名称
保险,02318,中国平安
保险,00662,亚洲金融
保险,02328,中国财险
保险,02378,保诚
保险,01299,友邦保险
保险,00966,中国太平
保险,02601,中国太保
保险,02628,中国人寿
保险,00945,宏利金融-S
保险,01336,新华保险
包装食品与肉类,00834,康大食品
包装食品与肉类,01068,雨润食品
包装食品与肉类,00220,统一企业中国
包装食品与肉类,00142,第一太平
包装食品与肉类,00288,万洲国际
包装食品与肉类,01262,蜡笔小新食品
包装食品与肉类,01210,克莉丝汀
包装食品与肉类,00829,神冠控股
包装食品与肉类,08269,富誉控股
包装食品与肉类,01174,太平洋恩利
包装食品与肉类,00411,南顺(香港)
包装食品与肉类,02226,老恒和酿造
包装食品与肉类,00322,康师傅控股
包装食品与肉类,00197,亨泰
包装食品与肉类,00151,中国旺旺
包装食品与肉类,00374,四洲集团
包装食品与肉类,00060,香港食品投资
包装食品与肉类,01699,普甜食品
包装食品与肉类,01076,博华太平洋
半导体,00243,品质国际
半导体,08102,利宝阁集团
半导体,08046,恒芯中国
半导体,02336,海亮国际
半导体,01010,太睿国际控股
半导体,00085,中电华大科技
半导体,00522,ASM 太平洋
半导体,02878,晶门科技
半导体,00595,AV CONCEPT HOLD
半导体,00981,中芯国际
半导体,03355,先进半导体
半导体,08242,宏创高科
殡仪服务,08085,香港生命科学
殡仪服务,08082,仁智国际集团
殡仪服务,08296,中国生命集团
殡仪服务,00922,安贤园中国
百货公司,01212,利福国际
百货公司,00848,茂业国际
百货公司,03308,金鹰商贸集团
百货公司,00162,世纪金花
百货公司,03368,百盛集团
百货公司,00331,丰盛服务集团
百货公司,00244,先施
百货公司,00312,岁宝百货
百货公司,01833,平安好医生
百货公司,00984,永旺
百货公司,00289,永安百货
百货公司,00825,新世界百货中国
百货公司,00602,佳华百货控股
出版,00685,世界华文媒体
出版,00426,万华媒体
出版,00708,恒大健康
出版,00343,文化传信
出版,00282,壹传媒
出版,01105,星岛
出版,00550,KK文化
出版,00018,东方报业集团
出版,00583,长城环亚控股
出版,00811,新华文轩
出版,00423,经济日报集团
成衣及服饰零售,00891,利邦
成衣及服饰零售,00928,莲和医疗
成衣及服饰零售,03813,宝胜国际
成衣及服饰零售,00647,JOYCE BOUTIQUE
成衣及服饰零售,00128,安宁控股
成衣及服饰零售,00990,荣晖国际
成衣及服饰零售,00999,I.T Limited
成衣及服饰零售,00113,迪生创建
成衣及服饰零售,01150,米兰站
地产投资,01972,太古地产
地产投资,00495,PALADIN
地产投资,00163,英皇国际
地产投资,00108,国锐地产
地产投资,00499,青岛控股
地产投资,00014,希慎兴业
地产投资,00089,大生地产
地产投资,00174,盛洋投资
地产投资,00041,鹰君
地产投资,00158,万邦投资
地产投资,00010,恒隆集团
地产投资,00266,天德地产
地产投资,00131,卓能(集团)
地产投资,00997,普汇中金国际
地产投资,00655,香港华人有限公司
地产投资,00277,太兴置业
地产投资,01009,国际娱乐
地产投资,00225,博富临置业
地产投资,00105,凯联国际酒店
地产投资,00191,丽新国际
地产投资,00079,世纪建业
地产投资,00715,中泛控股
地产投资,00287,永发置业
地产投资,00224,建生国际
地产投资,00160,汉国置业
地产投资,01036,万科置业海外
地产投资,00237,安全货仓
地产投资,00212,南洋集团
地产投资,00613,渝港国际
地产投资,00075,渝太地产
地产投资,00101,恒隆地产
电力公用事业,00916,龙源电力
电力公用事业,00002,中电控股
电力公用事业,00006,电能实业
电力公用事业,01071,华电国际电力股份
电力公用事业,02380,中国电力
电力公用事业,00836,华润电力
电力公用事业,00902,华能国际电力股份
电力公用事业,00090,琥珀能源
电力公用事业,00991,大唐发电
电器部件及设备,01282,中国金洋
电器部件及设备,01888,建滔积层板
电器部件及设备,08150,无缝绿色
电器部件及设备,01997,九仓置业
电器部件及设备,00698,通达集团
电器部件及设备,00099,王氏国际
电器部件及设备,00759,CEC国际
电器部件及设备,08100,智易控股
电器部件及设备,00622,威华达控股
电器部件及设备,00327,百富环球
电器部件及设备,01151,依利安达
电器部件及设备,02018,瑞声科技
电器部件及设备,02308,研祥智能
电器部件及设备,01043,光宇国际集团科技
电器部件及设备,08301,明华科技
电器部件及设备,00532,王氏港建
电器部件及设备,01366,江南集团
电器部件及设备,01195,京维集团
电器部件及设备,08210,龙杰智能卡
电器部件及设备,00725,恒都集团
电器部件及设备,08080,北亚策略
电器部件及设备,00591,中国高精密
电器部件及设备,00822,嘉瑞国际
电器部件及设备,03823,德普科技
电器部件及设备,00675,坚宝国际
电器部件及设备,01399,飞毛腿
电器部件及设备,08159,辉煌科技
电器部件及设备,00724,瑞鑫国际集团
电器部件及设备,01991,大洋集团
电器部件及设备,00469,凯普松国际
电器部件及设备,01213,万保刚集团
电器部件及设备,00176,先机企业集团
电器部件及设备,02662,承兴国际控股
电器部件及设备,00877,昂纳科技集团
电器部件及设备,02323,中国港桥
电器部件及设备,00580,赛晶电力电子
电器部件及设备,01037,云智汇科技
电器部件及设备,00894,万裕科技
电器部件及设备,08051,讯智海
电器部件及设备,01166,星凯控股
电器部件及设备,00213,乐声电子
电器部件及设备,00842,理士国际
电器部件及设备,00451,协鑫新能源
电器部件及设备,01184,时捷集团
电器部件及设备,08066,品创控股
电器部件及设备,00567,大昌微綫集团
电器部件及设备,00876,佳兆业健康
电器部件及设备,01159,星光文化
电器部件及设备,01079,松景科技
电器部件及设备,00889,连达科技控股
电器部件及设备,00031,航天控股
电器部件及设备,00515,达进东方照明
电器部件及设备,02310,申基国际
