code,name,type,report_date,pre_eps,range
600892,大晟文化,预增,2018-04-24,1.09,96.5
600847,*ST万里,预盈,2018-04-24,-0.28,0
300152,科融环境,预盈,2018-04-24,-0.18,128.41
600177,雅戈尔,预减,2018-04-24,1.51,-91.95
002468,申通快递,预升,2018-04-24,1.23,17.93
002513,蓝丰生化,预减,2018-04-24,0.32,-67.2
600783,鲁信创投,预减,2018-04-24,0.5,-90%~-50%
002323,雅百特,预升,2018-04-24,0.32299999999999995,10.56
002052,同洲电子,预盈,2018-04-24,-0.82,101.46
002719,麦趣尔,预降,2018-04-24,0.26,-33.06
000018,神州长城,预升,2018-04-16,0.28,6.24
002642,荣之联,预亏,2018-04-23,0.379,-184.16
300306,远方信息,预升,2018-04-23,0.36,47.3
300062,中能电气,预亏,2018-04-23,0.51,-189.22
300191,潜能恒信,预亏,2018-04-23,0.04,0
300022,吉峰农机,预亏,2018-04-23,0.0309,0
002046,轴研科技,预减,2018-04-21,0.04,-83.7
600313,农发种业,预亏,2018-04-21,0.0413,0
002505,大康农业,预降,2018-04-21,0.0139,-23.21
600119,长江投资,预亏,2018-04-21,0.46,-167
000603,盛达矿业,预升,2018-04-21,0.28,40.1
300358,楚天科技,预升,2018-04-21,0.33,33.59
002089,新海宜,预亏,2018-04-21,0.04,-511.16
300116,坚瑞沃能,预亏,2018-04-20,0.58,-967.18
002897,意华股份,预降,2018-04-20,1.24,-5.17
600169,太原重工,预盈,2018-04-20,-0.7922,0
300048,合康新能,预减,2018-04-20,0.23,-62.22
002356,赫美集团,预升,2018-04-20,0.4485,3.43
002329,皇氏集团,预减,2018-04-20,0.3469,-80.53
603315,福鞍股份,预减,2018-04-20,0.17,0
300189,神农基因,预亏,2018-04-20,0.0166,-195.94
300234,开尔新材,预亏,2018-04-20,0.1,-121.39
300392,腾信股份,减亏,2018-04-20,-0.69,50
002848,高斯贝尔,预减,2018-04-19,0.4797,-76.58
600652,游久游戏,预亏,2018-04-19,0.14,0
002548,金新农,预减,2018-04-19,0.42,-59.77
002163,中航三鑫,预亏,2018-04-19,0.01,-250.05
002347,泰尔股份,预亏,2018-04-19,0.0223,-801.48
002618,丹邦科技,预升,2018-04-19,0.07,3.19
002190,成飞集成,预亏,2018-04-18,0.4,-178.66
002467,二六三,预盈,2018-04-18,-0.48,108.19
002207,*ST准油,预盈,2018-04-18,-0.38,110.22
002447,晨鑫科技,预降,2018-04-18,0.31,-12.08
000571,新大洲A,预盈,2018-04-18,0.0404,0
000058,深赛格,预降,2018-04-18,0.1371,-10.77
300050,世纪鼎利,预降,2018-04-18,0.24,-3.36
002342,巨力索具,预亏,2018-04-17,0.02,-183.17
002755,东方新星,预增,2018-04-17,0.05,138.78
